,language,anterior,elevation
abid1235,Abidji,6,96
adam1253,Adamawa Fulfulde,7,370
adan1247,Adangme,6,50
adio1239,Adioukrou,7,68
ajab1235,Aja (Benin),13,152
akan1250,Akan,7,166
akoo1248,Akoose,7,859
anuf1239,Anufo,5,137
anyi1244,Anyin Morofo,5,79
avok1242,Avokaya,15,853
baan1242,Baangi,9,410
baat1238,Baatonum,6,379
bafu1246,Bafut,9,822
baka1272,Baka (Cameroon),7,548
bamb1269,Bambara,7,386
band1345,Banda-Ndélé,17,824
band1352,Bandi,6,385
baou1238,Baoulé,7,9
basa1284,Basa (Cameroon),7,179
bekw1241,Bekwarra,6,96
beng1286,Beng,7,214
bero1242,Berom,8,1221
bhel1238,Bhele,6,1142
bial1238,Biali,6,147
bimo1239,Bimoba,6,177
bini1246,Bini,7,126
biss1248,Bissa,7,263
boko1266,Boko (Benin),6,320
bulu1251,Bulu (Cameroon),7,706
came1252,Donga Mambila,6,781
cent2018,Central-Eastern Niger Fulfulde,8,471
cent2050,Central Kanuri,8,314
cerm1238,Cerma,6,314
chum1261,Chumburung,6,93
cros1244,Cross River Mbembe,9,41
dagb1246,Dagbani,6,181
dann1241,Dan,6,324
daza1242,Dazaga,7,304
degg1238,Deg,6,163
dita1238,Ditammari,5,313
doya1240,Doyayo,8,309
dual1243,Duala,7,9
duru1249,Duruma,13,221
dyul1238,Dyula,7,274
east2426,Eastern Maninkakan,6,632
ebir1243,Ebira,6,200
ejag1239,Ejagham,5,220
emai1241,Emai-Iuleha-Ora,8,148
enge1239,Engenni,8,20
ewee1241,Ewe,8,114
ewon1239,Ewondo,6,593
fefe1239,Fe'fe',6,1444
fonn1241,Fon,7,154
fuli1240,Fuliiru,9,1629
gaaa1244,Ga,6,94
gagn1235,Gagnoa Bété,6,211
gand1255,Ganda,6,1295
gbay1287,Gbaya-Bossangoa,9,476
gbay1288,Gbaya (Sudan),14,596
genn1243,Gen,12,0
godi1239,Godié,6,205
gonj1241,Gonja,7,93
gour1243,Gourmanchéma,5,201
gude1246,Gude,13,874
guin1254,Guinea Kpelle,10,446
hain1253,Hainyaxo Bozo,6,283
hang1258,Hanga,6,153
haus1257,Hausa,18,600
ifee1241,Ifè,6,214
iged1239,Igede,7,76
igoo1238,Igo,6,722
izii1239,Izi,13,72
jola1263,Jola-Fonyi,6,31
jurm1239,Jur Modo,10,492
kabi1261,Kabiyé,7,191
kako1242,Kako,8,594
kara1478,Karang,10,596
kase1253,Kasem,13,277
kiku1240,Kikuyu,5,2715
kita1249,Kita Maninkakan,6,344
kitu1245,Kituba (Congo),6,466
komc1235,Kom (Cameroon),21,1789
komo1260,Komo (Democratic Republic of Congo),10,586
konk1269,Konkomba,6,149
koon1245,Koonzime,6,675
koyr1240,Koyra Chiini Songhay,7,264
krio1253,Krio,7,11
kuri1259,Kuria,5,1176
kusa1250,Kusaal,7,173
lako1244,Lakota Dida,6,165
lama1275,Lama (Togo),5,457
lamn1239,Lamnso',6,1352
lele1276,Lele (Chad),8,399
lend1245,Lendu,15,1676
libe1247,Liberia Kpelle,7,285
ligb1244,Ligbi,6,315
limb1268,Limbum,6,1057
ling1263,Lingala,6,342
