,language,approximant,elevation
abid1235,Abidji,22,96
adam1253,Adamawa Fulfulde,14,370
adan1247,Adangme,15,50
adio1239,Adioukrou,11,68
ajab1235,Aja (Benin),33,152
akan1250,Akan,13,166
akoo1248,Akoose,21,859
anuf1239,Anufo,22,137
anyi1244,Anyin Morofo,19,79
avok1242,Avokaya,19,853
baan1242,Baangi,31,410
baat1238,Baatonum,16,379
bafu1246,Bafut,22,822
baka1272,Baka (Cameroon),10,548
bamb1269,Bambara,25,386
band1345,Banda-Ndélé,28,824
band1352,Bandi,24,385
baou1238,Baoulé,16,9
basa1284,Basa (Cameroon),12,179
bekw1241,Bekwarra,14,96
beng1286,Beng,23,214
bero1242,Berom,11,1221
bhel1238,Bhele,10,1142
bial1238,Biali,14,147
bimo1239,Bimoba,22,177
bini1246,Bini,27,126
biss1248,Bissa,19,263
boko1266,Boko (Benin),15,320
bulu1251,Bulu (Cameroon),10,706
came1252,Donga Mambila,15,781
cent2018,Central-Eastern Niger Fulfulde,14,471
cent2050,Central Kanuri,12,314
cerm1238,Cerma,25,314
chum1261,Chumburung,13,93
cros1244,Cross River Mbembe,11,41
dagb1246,Dagbani,9,181
dann1241,Dan,26,324
daza1242,Dazaga,15,304
degg1238,Deg,34,163
dita1238,Ditammari,15,313
doya1240,Doyayo,26,309
dual1243,Duala,10,9
duru1249,Duruma,9,221
dyul1238,Dyula,18,274
east2426,Eastern Maninkakan,18,632
ebir1243,Ebira,12,200
ejag1239,Ejagham,10,220
emai1241,Emai-Iuleha-Ora,25,148
enge1239,Engenni,14,20
ewee1241,Ewe,15,114
ewon1239,Ewondo,10,593
fefe1239,Fe'fe',19,1444
fonn1241,Fon,18,154
fuli1240,Fuliiru,14,1629
gaaa1244,Ga,15,94
gagn1235,Gagnoa Bété,29,211
gand1255,Ganda,13,1295
gbay1287,Gbaya-Bossangoa,16,476
gbay1288,Gbaya (Sudan),17,596
genn1243,Gen,32,0
godi1239,Godié,16,205
gonj1241,Gonja,18,93
gour1243,Gourmanchéma,13,201
gude1246,Gude,8,874
guin1254,Guinea Kpelle,11,446
hain1253,Hainyaxo Bozo,18,283
hang1258,Hanga,9,153
haus1257,Hausa,25,600
ifee1241,Ifè,16,214
iged1239,Igede,14,76
igoo1238,Igo,10,722
izii1239,Izi,15,72
jola1263,Jola-Fonyi,14,31
jurm1239,Jur Modo,22,492
kabi1261,Kabiyé,27,191
kako1242,Kako,17,594
kara1478,Karang,10,596
kase1253,Kasem,47,277
kiku1240,Kikuyu,17,2715
kita1249,Kita Maninkakan,18,344
kitu1245,Kituba (Congo),8,466
komc1235,Kom (Cameroon),15,1789
komo1260,Komo (Democratic Republic of Congo),8,586
konk1269,Konkomba,16,149
koon1245,Koonzime,27,675
koyr1240,Koyra Chiini Songhay,19,264
krio1253,Krio,14,11
kuri1259,Kuria,10,1176
kusa1250,Kusaal,27,173
lako1244,Lakota Dida,30,165
lama1275,Lama (Togo),37,457
lamn1239,Lamnso',16,1352
lele1276,Lele (Chad),14,399
lend1245,Lendu,13,1676
libe1247,Liberia Kpelle,25,285
ligb1244,Ligbi,17,315
limb1268,Limbum,11,1057
ling1263,Lingala,10,342
loko1255,Loko,10,90
loma1260,Loma (Liberia),17,474
lugb1240,Lugbara,14,1225
lukp1238,Lukpa,23,397
luok1236,Luo (Kenya and Tanzania),13,1467
lyel1241,Lyélé,23,275
maas1239,Maasina Fulfulde,14,298
madi1260,Ma'di,14,1387
maka1304,Makaa,24,693
mama1271,Mamara Senoufo,22,323
mamp1244,Mampruli,13,152
mang1394,Mangbetu,13,736
mboc1235,Mbo (Cameroon),10,835
mend1266,Mende (Sierra Leone),10,172
meta1238,Meta',11,1032
mofu1248,Mofu-Gudur,11,730
moss1236,Mossi,28,157
mund1326,Mündü,13,872
mund1327,Mundani,17,321
murl1244,Murle,18,452
mwag1236,Mwaghavul,16,1330
mwan1250,Mwan,15,281
nafa1258,Nafaanra,23,307
nawd1238,Nawdm,18,333
ngam1268,Ngambay,17,479
ngan1299,Ngangam,18,161
ngas1240,Ngas,11,1130
ngba1285,Ngbaka Minagende,15,363
ngie1241,Ngiemboon,10,1797
nige1255,Western Mambila,20,1281
noma1260,Nomaande,17,759
nort2765,Northern Kissi,23,416
nort2774,Northern Ngbandi,15,404
nort2775,Northwest Gbaya,24,961
nort2780,Northern Dagara,12,305
nort2784,Northern Nuni,34,285
nort2787,Northern Toussian,18,417
nort2810,Northern Grebo,16,205
nort2819,Northern Bobo Madaré,22,467
ntch1242,Ntcham,10,243
nucl1347,Wolof,21,53
nucl1417,Igbo,12,8
nucl1418,Bassa,9,56
nucl1683,Daba,11,813
nugu1242,Nugunu (Cameroon),9,481
nupe1254,Nupe-Nupe-Tako,12,127
nyab1255,Nyabwa,19,254
park1239,Parkwa,9,541
pula1262,Pular,14,123
pula1263,Pulaar,14,47
rend1243,Rendille,14,532
saba1262,Sabaot,22,3036
sang1328,Sango,32,503
sena1262,Senara Sénoufo,31,361
sere1260,Sereer,14,4
siss1242,Sissala of Burkina Faso,52,292
soni1259,Soninke,38,157
sout2774,Southeast Ijo,22,7
sout2789,Central Dagaare,30,342
suda1236,Sudanese Arabic,16,504
susu1250,Susu,18,238
swah1253,Swahili,9,200
tama1365,Tamasheq,25,292
taro1263,Tarok,11,210
tawa1286,Tawallammat Tamajaq,18,282
teda1241,Tedaga,15,477
teen1242,Téén,17,329
temm1241,Tem,13,383
tepo1239,Tepo Krumen,22,192
tika1246,Tikar,17,815
timn1235,Timne,13,48
tofi1235,Tofin Gbe,17,0
topo1242,Toposa,13,458
toro1252,Toro So Dogon,26,279
tour1242,Toura (Côte d'Ivoire),30,546
vagl1239,Vagla,34,345
veng1238,Vengo,22,1680
vute1244,Vute,28,894
waam1244,Waama,27,477
wann1242,Wan,15,274
weno1238,Wobe-Wè Northern,30,314
west2450,West-Central Limba,11,63
west2454,Western Niger Fulfulde,9,293
west2466,Western Karaboro,25,292
west2500,Western Maninkakan,11,71
yamb1251,Yamba,12,1160
yamb1252,Yambeta,11,717
yaou1238,Yaouré,22,235
yemb1246,Yemba,11,1324
yomm1242,Yom,13,418
yoru1245,Yoruba,31,105
zand1248,Zande,8,638
zarm1239,Zarma-Kaado,20,178
zulg1242,Zulgo-Gemzek,6,719
