Glottocode,language,consonantal,elevation
abid1235,Abidji,18,96
adam1253,Adamawa Fulfulde,21,370
adan1247,Adangme,20,50
adio1239,Adioukrou,18,68
ajab1235,Aja (Benin),46,152
akan1250,Akan,15,166
akoo1248,Akoose,19,859
anuf1239,Anufo,19,137
anyi1244,Anyin Morofo,18,79
avok1242,Avokaya,33,853
baan1242,Baangi,25,410
baat1238,Baatonum,14,379
bafu1246,Bafut,19,822
baka1272,Baka (Cameroon),22,548
bamb1269,Bambara,17,386
band1345,Banda-Ndélé,59,824
band1352,Bandi,20,385
baou1238,Baoulé,19,9
basa1284,Basa (Cameroon),25,179
bekw1241,Bekwarra,20,96
beng1286,Beng,21,214
bero1242,Berom,21,1221
bhel1238,Bhele,16,1142
bial1238,Biali,11,147
bimo1239,Bimoba,19,177
bini1246,Bini,21,126
biss1248,Bissa,20,263
boko1266,Boko (Benin),16,320
bulu1251,Bulu (Cameroon),22,706
came1252,Donga Mambila,21,781
cent2018,Central-Eastern Niger Fulfulde,24,471
cent2050,Central Kanuri,15,314
cerm1238,Cerma,18,314
chum1261,Chumburung,18,93
cros1244,Cross River Mbembe,26,41
dagb1246,Dagbani,20,181
dann1241,Dan,18,324
daza1242,Dazaga,18,304
degg1238,Deg,19,163
dita1238,Ditammari,14,313
doya1240,Doyayo,19,309
dual1243,Duala,19,9
duru1249,Duruma,39,221
dyul1238,Dyula,20,274
east2426,Eastern Maninkakan,17,632
ebir1243,Ebira,16,200
ejag1239,Ejagham,19,220
emai1241,Emai-Iuleha-Ora,24,148
enge1239,Engenni,18,20
ewee1241,Ewe,24,114
ewon1239,Ewondo,13,593
fefe1239,Fe'fe',20,1444
fonn1241,Fon,21,154
fuli1240,Fuliiru,22,1629
gaaa1244,Ga,21,94
gagn1235,Gagnoa Bété,21,211
gand1255,Ganda,17,1295
gbay1287,Gbaya-Bossangoa,26,476
gbay1288,Gbaya (Sudan),38,596
genn1243,Gen,46,0
godi1239,Godié,24,205
gonj1241,Gonja,20,93
gour1243,Gourmanchéma,18,201
gude1246,Gude,28,874
guin1254,Guinea Kpelle,23,446
hain1253,Hainyaxo Bozo,17,283
hang1258,Hanga,20,153
haus1257,Hausa,50,600
ifee1241,Ifè,16,214
iged1239,Igede,21,76
igoo1238,Igo,20,722
izii1239,Izi,38,72
jola1263,Jola-Fonyi,16,31
jurm1239,Jur Modo,29,492
kabi1261,Kabiyé,21,191
kako1242,Kako,30,594
kara1478,Karang,27,596
kase1253,Kasem,35,277
kiku1240,Kikuyu,15,2715
kita1249,Kita Maninkakan,16,344
kitu1245,Kituba (Congo),14,466
komc1235,Kom (Cameroon),56,1789
komo1260,Komo (Democratic Republic of Congo),24,586
konk1269,Konkomba,19,149
koon1245,Koonzime,19,675
koyr1240,Koyra Chiini Songhay,18,264
krio1253,Krio,20,11
kuri1259,Kuria,12,1176
kusa1250,Kusaal,18,173
lako1244,Lakota Dida,25,165
lama1275,Lama (Togo),14,457
lamn1239,Lamnso',23,1352
lele1276,Lele (Chad),20,399
lend1245,Lendu,39,1676
libe1247,Liberia Kpelle,19,285
ligb1244,Ligbi,19,315
limb1268,Limbum,19,1057
ling1263,Lingala,13,342
loko1255,Loko,15,90
loma1260,Loma (Liberia),25,474
lugb1240,Lugbara,23,1225
lukp1238,Lukpa,14,397
luok1236,Luo (Kenya and Tanzania),23,1467
lyel1241,Lyélé,20,275
maas1239,Maasina Fulfulde,24,298
madi1260,Ma'di,22,1387
maka1304,Makaa,27,693
mama1271,Mamara Senoufo,27,323
mamp1244,Mampruli,20,152
mang1394,Mangbetu,33,736
mboc1235,Mbo (Cameroon),17,835
mend1266,Mende (Sierra Leone),20,172
meta1238,Meta',18,1032
mofu1248,Mofu-Gudur,31,730
moss1236,Mossi,14,157
mund1326,Mündü,27,872
mund1327,Mundani,21,321
murl1244,Murle,18,452
mwag1236,Mwaghavul,22,1330
mwan1250,Mwan,19,281
nafa1258,Nafaanra,22,307
nawd1238,Nawdm,18,333
ngam1268,Ngambay,15,479
ngan1299,Ngangam,19,161
ngas1240,Ngas,23,1130
ngba1285,Ngbaka Minagende,19,363
ngie1241,Ngiemboon,14,1797
nige1255,Western Mambila,22,1281
noma1260,Nomaande,11,759
nort2765,Northern Kissi,18,416
nort2774,Northern Ngbandi,16,404
nort2775,Northwest Gbaya,27,961
nort2780,Northern Dagara,25,305
nort2784,Northern Nuni,18,285
nort2787,Northern Toussian,14,417
nort2810,Northern Grebo,17,205
nort2819,Northern Bobo Madaré,17,467
ntch1242,Ntcham,19,243
nucl1347,Wolof,36,53
nucl1417,Igbo,25,8
nucl1418,Bassa,19,56
nucl1683,Daba,32,813
nugu1242,Nugunu (Cameroon),13,481
nupe1254,Nupe-Nupe-Tako,22,127
nyab1255,Nyabwa,22,254
park1239,Parkwa,27,541
pula1262,Pular,25,123
pula1263,Pulaar,25,47
rend1243,Rendille,18,532
saba1262,Sabaot,11,3036
sang1328,Sango,46,503
sena1262,Senara Sénoufo,17,361
sere1260,Sereer,30,4
siss1242,Sissala of Burkina Faso,40,292
soni1259,Soninke,52,157
sout2774,Southeast Ijo,21,7
sout2789,Central Dagaare,21,342
suda1236,Sudanese Arabic,48,504
susu1250,Susu,18,238
swah1253,Swahili,29,200
tama1365,Tamasheq,19,292
taro1263,Tarok,25,210
tawa1286,Tawallammat Tamajaq,20,282
teda1241,Tedaga,21,477
teen1242,Téén,23,329
temm1241,Tem,22,383
tepo1239,Tepo Krumen,14,192
tika1246,Tikar,24,815
timn1235,Timne,14,48
tofi1235,Tofin Gbe,20,0
topo1242,Toposa,15,458
toro1252,Toro So Dogon,17,279
tour1242,Toura (Côte d'Ivoire),17,546
vagl1239,Vagla,21,345
veng1238,Vengo,53,1680
vute1244,Vute,27,894
waam1244,Waama,11,477
wann1242,Wan,19,274
weno1238,Wobe-Wè Northern,13,314
west2450,West-Central Limba,14,63
west2454,Western Niger Fulfulde,24,293
west2466,Western Karaboro,18,292
west2500,Western Maninkakan,17,71
yamb1251,Yamba,23,1160
yamb1252,Yambeta,16,717
yaou1238,Yaouré,21,235
yemb1246,Yemba,18,1324
yomm1242,Yom,22,418
yoru1245,Yoruba,31,105
zand1248,Zande,22,638
zarm1239,Zarma-Kaado,17,178
zulg1242,Zulgo-Gemzek,26,719
