,language,constrictedGlottis,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,2,370
akoo1248,Akoose,1,859
avok1242,Avokaya,3,853
baan1242,Baangi,3,410
bafu1246,Bafut,1,822
baka1272,Baka (Cameroon),1,548
band1345,Banda-Ndélé,2,824
boko1266,Boko (Benin),1,320
bulu1251,Bulu (Cameroon),1,706
cent2018,Central-Eastern Niger Fulfulde,2,471
fefe1239,Fe'fe',1,1444
gbay1287,Gbaya-Bossangoa,1,476
gbay1288,Gbaya (Sudan),1,596
gude1246,Gude,1,874
haus1257,Hausa,4,600
jurm1239,Jur Modo,1,492
kako1242,Kako,1,594
kara1478,Karang,1,596
komc1235,Kom (Cameroon),1,1789
komo1260,Komo (Democratic Republic of Congo),1,586
kusa1250,Kusaal,1,173
lamn1239,Lamnso',1,1352
lend1245,Lendu,2,1676
limb1268,Limbum,1,1057
lugb1240,Lugbara,1,1225
maas1239,Maasina Fulfulde,2,298
madi1260,Ma'di,1,1387
mboc1235,Mbo (Cameroon),1,835
meta1238,Meta',1,1032
mofu1248,Mofu-Gudur,1,730
mund1326,Mündü,1,872
mund1327,Mundani,1,321
nawd1238,Nawdm,1,333
ngas1240,Ngas,1,1130
nort2775,Northwest Gbaya,1,961
nort2780,Northern Dagara,3,305
nort2787,Northern Toussian,1,417
nucl1683,Daba,1,813
pula1262,Pular,2,123
pula1263,Pulaar,2,47
sena1262,Senara Sénoufo,1,361
sere1260,Sereer,2,4
soni1259,Soninke,2,157
suda1236,Sudanese Arabic,2,504
tama1365,Tamasheq,1,292
tika1246,Tikar,1,815
veng1238,Vengo,1,1680
west2454,Western Niger Fulfulde,2,293
west2466,Western Karaboro,1,292
yamb1251,Yamba,1,1160
yamb1252,Yambeta,1,717
yemb1246,Yemba,1,1324
zulg1242,Zulgo-Gemzek,1,719
0,Adioukrou,0,68
1,Aja (Benin),0,152
2,Anyin Morofo,0,79
3,Igo,0,722
4,Akan,0,166
5,Anufo,0,137
6,Bambara,0,386
7,Bandi,0,385
8,Baoulé,0,9
9,Baatonum,0,379
10,Basa (Cameroon),0,179
11,Bassa,0,56
12,Ntcham,0,243
13,Gagnoa Bété,0,211
14,Bekwarra,0,96
15,Berom,0,1221
16,Beng,0,214
17,Bhele,0,1142
18,Biali,0,147
19,Bimoba,0,177
20,Bissa,0,263
21,Northern Bobo Madaré,0,467
22,Hainyaxo Bozo,0,283
23,Cerma,0,314
24,Chumburung,0,93
25,Central Dagaare,0,342
26,Dagbani,0,181
27,Dan,0,324
28,Adangme,0,50
29,Dazaga,0,304
30,Luo (Kenya and Tanzania),0,1467
31,Lakota Dida,0,165
32,Dyula,0,274
33,Ditammari,0,313
34,Doyayo,0,309
35,Toro So Dogon,0,279
36,Duala,0,9
37,Duruma,0,221
38,Ebira,0,200
39,Ewe,0,114
40,Bini,0,126
42,Ejagham,0,220
43,Emai-Iuleha-Ora,0,148
44,Engenni,0,20
45,Ewondo,0,593
46,Fon,0,154
47,Fuliiru,0,1629
48,Ga,0,94
49,Ngangam,0,161
50,Gen,0,0
51,Godié,0,205
52,Gonja,0,93
53,Northern Grebo,0,205
54,Gourmanchéma,0,201
55,Hanga,0,153
56,Ifè,0,214
57,Igbo,0,8
58,Igede,0,76
59,Southeast Ijo,0,7
61,Izi,0,72
62,Jola-Fonyi,0,31
63,Kabiyé,0,191
64,Central Kanuri,0,314
65,Kasem,0,277
66,Koonzime,0,675
67,Kikuyu,0,2715
68,Northern Kissi,0,416
69,Konkomba,0,149
70,Liberia Kpelle,0,285
71,Guinea Kpelle,0,446
72,Krio,0,11
73,Tepo Krumen,0,192
74,Kuria,0,1176
75,Lama (Togo),0,457
76,Lele (Chad),0,399
77,Loma (Liberia),0,474
78,Loko,0,90
79,Ligbi,0,315
80,West-Central Limba,0,63
81,Lingala,0,342
82,Lukpa,0,397
83,Ganda,0,1295
84,Lyélé,0,275
85,Donga Mambila,0,781
86,Western Mambila,0,1281
87,Mampruli,0,152
88,Western Maninkakan,0,71
89,Eastern Maninkakan,0,632
90,Mangbetu,0,736
91,Kita Maninkakan,0,344
92,Cross River Mbembe,0,41
93,Makaa,0,693
94,Mende (Sierra Leone),0,172
95,Mamara Senoufo,0,323
96,Deg,0,163
97,Mossi,0,157
98,Mwan,0,281
99,Kituba (Congo),0,466
100,Murle,0,452
101,Mwaghavul,0,1330
102,Nafaanra,0,307
103,Northern Nuni,0,285
104,Nomaande,0,759
105,Ngambay,0,479
106,Ngbaka Minagende,0,363
107,Northern Ngbandi,0,404
108,Ngiemboon,0,1797
109,Nyabwa,0,254
110,Nugunu (Cameroon),0,481
111,Nupe-Nupe-Tako,0,127
112,Parkwa,0,541
113,Rendille,0,532
114,Sabaot,0,3036
115,Sango,0,503
116,Sissala of Burkina Faso,0,292
117,Koyra Chiini Songhay,0,264
118,Susu,0,238
119,Swahili,0,200
120,Tawallammat Tamajaq,0,282
121,Tarok,0,210
122,Téén,0,329
123,Tedaga,0,477
124,Tem,0,383
125,Tofin Gbe,0,0
126,Timne,0,48
127,Toposa,0,458
128,Toura (Côte d'Ivoire),0,546
129,Vagla,0,345
130,Vute,0,894
131,Waama,0,477
132,Wan,0,274
133,Wobe-Wè Northern,0,314
134,Wolof,0,53
135,Yaouré,0,235
136,Yom,0,418
137,Yoruba,0,105
138,Zande,0,638
139,Zarma-Kaado,0,178
