,language,continuant,elevation
abid1235,Abidji,25,96
adam1253,Adamawa Fulfulde,18,370
adan1247,Adangme,20,50
adio1239,Adioukrou,14,68
ajab1235,Aja (Benin),48,152
akan1250,Akan,16,166
akoo1248,Akoose,23,859
anuf1239,Anufo,26,137
anyi1244,Anyin Morofo,23,79
avok1242,Avokaya,24,853
baan1242,Baangi,37,410
baat1238,Baatonum,19,379
bafu1246,Bafut,28,822
baka1272,Baka (Cameroon),13,548
bamb1269,Bambara,29,386
band1345,Banda-Ndélé,42,824
band1352,Bandi,29,385
baou1238,Baoulé,20,9
basa1284,Basa (Cameroon),16,179
bekw1241,Bekwarra,18,96
beng1286,Beng,28,214
bero1242,Berom,17,1221
bhel1238,Bhele,12,1142
bial1238,Biali,17,147
bimo1239,Bimoba,25,177
bini1246,Bini,35,126
biss1248,Bissa,24,263
boko1266,Boko (Benin),20,320
bulu1251,Bulu (Cameroon),14,706
came1252,Donga Mambila,19,781
cent2018,Central-Eastern Niger Fulfulde,17,471
cent2050,Central Kanuri,16,314
cerm1238,Cerma,29,314
chum1261,Chumburung,16,93
cros1244,Cross River Mbembe,19,41
dagb1246,Dagbani,14,181
dann1241,Dan,30,324
daza1242,Dazaga,20,304
degg1238,Deg,38,163
dita1238,Ditammari,18,313
doya1240,Doyayo,31,309
dual1243,Duala,11,9
duru1249,Duruma,17,221
dyul1238,Dyula,23,274
east2426,Eastern Maninkakan,22,632
ebir1243,Ebira,16,200
ejag1239,Ejagham,14,220
emai1241,Emai-Iuleha-Ora,34,148
enge1239,Engenni,18,20
ewee1241,Ewe,24,114
ewon1239,Ewondo,14,593
fefe1239,Fe'fe',27,1444
fonn1241,Fon,24,154
fuli1240,Fuliiru,21,1629
gaaa1244,Ga,21,94
gagn1235,Gagnoa Bété,35,211
gand1255,Ganda,17,1295
gbay1287,Gbaya-Bossangoa,21,476
gbay1288,Gbaya (Sudan),29,596
genn1243,Gen,48,0
godi1239,Godié,21,205
gonj1241,Gonja,23,93
gour1243,Gourmanchéma,15,201
gude1246,Gude,15,874
guin1254,Guinea Kpelle,18,446
hain1253,Hainyaxo Bozo,22,283
hang1258,Hanga,14,153
haus1257,Hausa,38,600
ifee1241,Ifè,21,214
iged1239,Igede,19,76
igoo1238,Igo,15,722
izii1239,Izi,25,72
jola1263,Jola-Fonyi,17,31
jurm1239,Jur Modo,24,492
kabi1261,Kabiyé,32,191
kako1242,Kako,21,594
kara1478,Karang,16,596
kase1253,Kasem,56,277
kiku1240,Kikuyu,22,2715
kita1249,Kita Maninkakan,21,344
kitu1245,Kituba (Congo),13,466
komc1235,Kom (Cameroon),26,1789
komo1260,Komo (Democratic Republic of Congo),10,586
konk1269,Konkomba,19,149
koon1245,Koonzime,32,675
koyr1240,Koyra Chiini Songhay,24,264
krio1253,Krio,19,11
kuri1259,Kuria,15,1176
kusa1250,Kusaal,32,173
lako1244,Lakota Dida,36,165
lama1275,Lama (Togo),40,457
lamn1239,Lamnso',23,1352
lele1276,Lele (Chad),16,399
lend1245,Lendu,22,1676
libe1247,Liberia Kpelle,30,285
ligb1244,Ligbi,22,315
limb1268,Limbum,17,1057
ling1263,Lingala,13,342
loko1255,Loko,13,90
loma1260,Loma (Liberia),24,474
lugb1240,Lugbara,19,1225
lukp1238,Lukpa,27,397
luok1236,Luo (Kenya and Tanzania),18,1467
lyel1241,Lyélé,29,275
maas1239,Maasina Fulfulde,17,298
madi1260,Ma'di,18,1387
maka1304,Makaa,31,693
mama1271,Mamara Senoufo,30,323
mamp1244,Mampruli,17,152
mang1394,Mangbetu,20,736
mboc1235,Mbo (Cameroon),14,835
mend1266,Mende (Sierra Leone),14,172
meta1238,Meta',16,1032
mofu1248,Mofu-Gudur,19,730
moss1236,Mossi,33,157
mund1326,Mündü,17,872
mund1327,Mundani,21,321
murl1244,Murle,20,452
mwag1236,Mwaghavul,23,1330
mwan1250,Mwan,19,281
nafa1258,Nafaanra,29,307
nawd1238,Nawdm,22,333
ngam1268,Ngambay,20,479
ngan1299,Ngangam,21,161
ngas1240,Ngas,19,1130
ngba1285,Ngbaka Minagende,20,363
ngie1241,Ngiemboon,14,1797
nige1255,Western Mambila,24,1281
noma1260,Nomaande,20,759
nort2765,Northern Kissi,27,416
nort2774,Northern Ngbandi,20,404
nort2775,Northwest Gbaya,29,961
nort2780,Northern Dagara,18,305
nort2784,Northern Nuni,39,285
nort2787,Northern Toussian,21,417
nort2810,Northern Grebo,18,205
nort2819,Northern Bobo Madaré,27,467
ntch1242,Ntcham,12,243
nucl1347,Wolof,24,53
nucl1417,Igbo,19,8
nucl1418,Bassa,14,56
nucl1683,Daba,19,813
nugu1242,Nugunu (Cameroon),12,481
nupe1254,Nupe-Nupe-Tako,19,127
nyab1255,Nyabwa,23,254
park1239,Parkwa,16,541
pula1262,Pular,18,123
pula1263,Pulaar,17,47
rend1243,Rendille,19,532
saba1262,Sabaot,23,3036
sang1328,Sango,42,503
sena1262,Senara Sénoufo,35,361
sere1260,Sereer,18,4
siss1242,Sissala of Burkina Faso,62,292
soni1259,Soninke,50,157
sout2774,Southeast Ijo,27,7
sout2789,Central Dagaare,35,342
suda1236,Sudanese Arabic,40,504
susu1250,Susu,22,238
swah1253,Swahili,19,200
tama1365,Tamasheq,33,292
taro1263,Tarok,18,210
tawa1286,Tawallammat Tamajaq,27,282
teda1241,Tedaga,23,477
teen1242,Téén,23,329
temm1241,Tem,18,383
tepo1239,Tepo Krumen,25,192
tika1246,Tikar,25,815
timn1235,Timne,17,48
tofi1235,Tofin Gbe,23,0
topo1242,Toposa,14,458
toro1252,Toro So Dogon,30,279
tour1242,Toura (Côte d'Ivoire),34,546
vagl1239,Vagla,39,345
veng1238,Vengo,32,1680
vute1244,Vute,32,894
waam1244,Waama,29,477
wann1242,Wan,19,274
weno1238,Wobe-Wè Northern,32,314
west2450,West-Central Limba,15,63
west2454,Western Niger Fulfulde,12,293
west2466,Western Karaboro,28,292
west2500,Western Maninkakan,15,71
yamb1251,Yamba,18,1160
yamb1252,Yambeta,13,717
yaou1238,Yaouré,27,235
yemb1246,Yemba,17,1324
yomm1242,Yom,19,418
yoru1245,Yoruba,39,105
zand1248,Zande,12,638
zarm1239,Zarma-Kaado,24,178
zulg1242,Zulgo-Gemzek,13,719
