,language,delayedRelease,elevation
abid1235,Abidji,3,96
adam1253,Adamawa Fulfulde,4,370
adan1247,Adangme,7,50
adio1239,Adioukrou,5,68
ajab1235,Aja (Benin),19,152
akan1250,Akan,3,166
akoo1248,Akoose,5,859
anuf1239,Anufo,6,137
anyi1244,Anyin Morofo,6,79
avok1242,Avokaya,9,853
baan1242,Baangi,9,410
baat1238,Baatonum,3,379
bafu1246,Bafut,8,822
baka1272,Baka (Cameroon),3,548
bamb1269,Bambara,6,386
band1345,Banda-Ndélé,23,824
band1352,Bandi,6,385
baou1238,Baoulé,4,9
basa1284,Basa (Cameroon),4,179
bekw1241,Bekwarra,6,96
beng1286,Beng,5,214
bero1242,Berom,9,1221
bhel1238,Bhele,3,1142
bial1238,Biali,3,147
bimo1239,Bimoba,5,177
bini1246,Bini,8,126
biss1248,Bissa,7,263
boko1266,Boko (Benin),5,320
bulu1251,Bulu (Cameroon),5,706
came1252,Donga Mambila,8,781
cent2018,Central-Eastern Niger Fulfulde,4,471
cent2050,Central Kanuri,4,314
cerm1238,Cerma,6,314
chum1261,Chumburung,5,93
cros1244,Cross River Mbembe,10,41
dagb1246,Dagbani,7,181
dann1241,Dan,4,324
daza1242,Dazaga,7,304
degg1238,Deg,6,163
dita1238,Ditammari,4,313
doya1240,Doyayo,5,309
dual1243,Duala,1,9
duru1249,Duruma,17,221
dyul1238,Dyula,7,274
east2426,Eastern Maninkakan,6,632
ebir1243,Ebira,6,200
ejag1239,Ejagham,6,220
emai1241,Emai-Iuleha-Ora,11,148
enge1239,Engenni,4,20
ewee1241,Ewe,11,114
ewon1239,Ewondo,4,593
fefe1239,Fe'fe',10,1444
fonn1241,Fon,8,154
fuli1240,Fuliiru,9,1629
gaaa1244,Ga,8,94
gagn1235,Gagnoa Bété,6,211
gand1255,Ganda,6,1295
gbay1287,Gbaya-Bossangoa,5,476
gbay1288,Gbaya (Sudan),15,596
genn1243,Gen,20,0
godi1239,Godié,5,205
gonj1241,Gonja,7,93
gour1243,Gourmanchéma,4,201
gude1246,Gude,11,874
