Glottocode,language,distributed,elevation
abid1235,Abidji,3,96
adam1253,Adamawa Fulfulde,3,370
adan1247,Adangme,3,50
adio1239,Adioukrou,2,68
ajab1235,Aja (Benin),8,152
akoo1248,Akoose,3,859
anuf1239,Anufo,4,137
anyi1244,Anyin Morofo,4,79
avok1242,Avokaya,1,853
baan1242,Baangi,3,410
bafu1246,Bafut,2,822
baka1272,Baka (Cameroon),3,548
bamb1269,Bambara,3,386
band1345,Banda-Ndélé,12,824
band1352,Bandi,1,385
baou1238,Baoulé,3,9
basa1284,Basa (Cameroon),4,179
bekw1241,Bekwarra,4,96
beng1286,Beng,3,214
bero1242,Berom,3,1221
bhel1238,Bhele,2,1142
bimo1239,Bimoba,3,177
bini1246,Bini,1,126
biss1248,Bissa,3,263
bulu1251,Bulu (Cameroon),3,706
came1252,Donga Mambila,4,781
cent2018,Central-Eastern Niger Fulfulde,4,471
cent2050,Central Kanuri,2,314
cerm1238,Cerma,2,314
chum1261,Chumburung,3,93
cros1244,Cross River Mbembe,3,41
dagb1246,Dagbani,3,181
daza1242,Dazaga,4,304
degg1238,Deg,3,163
dita1238,Ditammari,1,313
dual1243,Duala,4,9
duru1249,Duruma,7,221
dyul1238,Dyula,3,274
east2426,Eastern Maninkakan,3,632
ebir1243,Ebira,3,200
ejag1239,Ejagham,3,220
emai1241,Emai-Iuleha-Ora,4,148
ewee1241,Ewe,1,114
fefe1239,Fe'fe',4,1444
fonn1241,Fon,3,154
fuli1240,Fuliiru,4,1629
gaaa1244,Ga,4,94
gagn1235,Gagnoa Bété,3,211
gand1255,Ganda,3,1295
gbay1287,Gbaya-Bossangoa,1,476
gbay1288,Gbaya (Sudan),5,596
genn1243,Gen,6,0
godi1239,Godié,3,205
gonj1241,Gonja,4,93
gour1243,Gourmanchéma,3,201
guin1254,Guinea Kpelle,1,446
hain1253,Hainyaxo Bozo,3,283
hang1258,Hanga,3,153
haus1257,Hausa,7,600
ifee1241,Ifè,2,214
iged1239,Igede,3,76
igoo1238,Igo,3,722
izii1239,Izi,4,72
jola1263,Jola-Fonyi,3,31
jurm1239,Jur Modo,4,492
kabi1261,Kabiyé,3,191
kako1242,Kako,4,594
kara1478,Karang,1,596
kase1253,Kasem,6,277
kiku1240,Kikuyu,4,2715
kita1249,Kita Maninkakan,3,344
kitu1245,Kituba (Congo),1,466
komc1235,Kom (Cameroon),9,1789
komo1260,Komo (Democratic Republic of Congo),1,586
konk1269,Konkomba,3,149
koon1245,Koonzime,2,675
koyr1240,Koyra Chiini Songhay,4,264
krio1253,Krio,3,11
kuri1259,Kuria,2,1176
lako1244,Lakota Dida,3,165
lama1275,Lama (Togo),2,457
lamn1239,Lamnso',4,1352
lele1276,Lele (Chad),2,399
lend1245,Lendu,10,1676
ligb1244,Ligbi,3,315
