,language,front,elevation
abid1235,Abidji,12,96
adam1253,Adamawa Fulfulde,9,370
adan1247,Adangme,7,50
adio1239,Adioukrou,5,68
ajab1235,Aja (Benin),15,152
akan1250,Akan,5,166
akoo1248,Akoose,8,859
anuf1239,Anufo,10,137
anyi1244,Anyin Morofo,9,79
avok1242,Avokaya,9,853
baan1242,Baangi,11,410
baat1238,Baatonum,6,379
bafu1246,Bafut,7,822
baka1272,Baka (Cameroon),7,548
bamb1269,Bambara,11,386
band1345,Banda-Ndélé,9,824
band1352,Bandi,10,385
baou1238,Baoulé,9,9
basa1284,Basa (Cameroon),9,179
bekw1241,Bekwarra,6,96
beng1286,Beng,12,214
bero1242,Berom,4,1221
bhel1238,Bhele,5,1142
bial1238,Biali,4,147
bimo1239,Bimoba,8,177
bini1246,Bini,10,126
biss1248,Bissa,10,263
boko1266,Boko (Benin),6,320
bulu1251,Bulu (Cameroon),6,706
came1252,Donga Mambila,6,781
cent2018,Central-Eastern Niger Fulfulde,9,471
cent2050,Central Kanuri,7,314
cerm1238,Cerma,10,314
chum1261,Chumburung,6,93
cros1244,Cross River Mbembe,5,41
dagb1246,Dagbani,4,181
dann1241,Dan,9,324
daza1242,Dazaga,6,304
degg1238,Deg,14,163
dita1238,Ditammari,6,313
doya1240,Doyayo,10,309
dual1243,Duala,8,9
duru1249,Duruma,4,221
dyul1238,Dyula,8,274
east2426,Eastern Maninkakan,7,632
ebir1243,Ebira,6,200
ejag1239,Ejagham,4,220
emai1241,Emai-Iuleha-Ora,11,148
enge1239,Engenni,5,20
ewee1241,Ewe,7,114
ewon1239,Ewondo,3,593
fefe1239,Fe'fe',5,1444
fonn1241,Fon,8,154
fuli1240,Fuliiru,7,1629
gaaa1244,Ga,7,94
gagn1235,Gagnoa Bété,12,211
gand1255,Ganda,6,1295
gbay1287,Gbaya-Bossangoa,7,476
gbay1288,Gbaya (Sudan),6,596
genn1243,Gen,15,0
godi1239,Godié,8,205
gonj1241,Gonja,8,93
gour1243,Gourmanchéma,6,201
gude1246,Gude,1,874
guin1254,Guinea Kpelle,5,446
hain1253,Hainyaxo Bozo,8,283
hang1258,Hanga,4,153
haus1257,Hausa,17,600
ifee1241,Ifè,6,214
iged1239,Igede,6,76
igoo1238,Igo,5,722
izii1239,Izi,10,72
jola1263,Jola-Fonyi,8,31
jurm1239,Jur Modo,10,492
