,language,high,elevation
abid1235,Abidji,17,96
adam1253,Adamawa Fulfulde,13,370
adan1247,Adangme,13,50
adio1239,Adioukrou,10,68
ajab1235,Aja (Benin),26,152
akan1250,Akan,10,166
akoo1248,Akoose,11,859
anuf1239,Anufo,15,137
anyi1244,Anyin Morofo,17,79
avok1242,Avokaya,18,853
baan1242,Baangi,16,410
baat1238,Baatonum,10,379
bafu1246,Bafut,12,822
baka1272,Baka (Cameroon),13,548
bamb1269,Bambara,12,386
band1345,Banda-Ndélé,25,824
band1352,Bandi,15,385
baou1238,Baoulé,13,9
basa1284,Basa (Cameroon),16,179
bekw1241,Bekwarra,13,96
beng1286,Beng,17,214
bero1242,Berom,9,1221
bhel1238,Bhele,9,1142
bial1238,Biali,7,147
bimo1239,Bimoba,15,177
bini1246,Bini,15,126
biss1248,Bissa,14,263
boko1266,Boko (Benin),10,320
bulu1251,Bulu (Cameroon),12,706
came1252,Donga Mambila,11,781
cent2018,Central-Eastern Niger Fulfulde,14,471
cent2050,Central Kanuri,11,314
cerm1238,Cerma,13,314
chum1261,Chumburung,12,93
cros1244,Cross River Mbembe,11,41
dagb1246,Dagbani,12,181
dann1241,Dan,14,324
daza1242,Dazaga,11,304
degg1238,Deg,20,163
dita1238,Ditammari,10,313
doya1240,Doyayo,13,309
dual1243,Duala,11,9
duru1249,Duruma,15,221
dyul1238,Dyula,12,274
east2426,Eastern Maninkakan,10,632
ebir1243,Ebira,10,200
ejag1239,Ejagham,12,220
emai1241,Emai-Iuleha-Ora,14,148
enge1239,Engenni,10,20
ewee1241,Ewe,13,114
ewon1239,Ewondo,7,593
fefe1239,Fe'fe',12,1444
fonn1241,Fon,12,154
fuli1240,Fuliiru,11,1629
gaaa1244,Ga,13,94
gagn1235,Gagnoa Bété,23,211
gand1255,Ganda,10,1295
gbay1287,Gbaya-Bossangoa,15,476
gbay1288,Gbaya (Sudan),15,596
genn1243,Gen,28,0
godi1239,Godié,20,205
gonj1241,Gonja,12,93
gour1243,Gourmanchéma,13,201
gude1246,Gude,9,874
guin1254,Guinea Kpelle,12,446
hain1253,Hainyaxo Bozo,10,283
hang1258,Hanga,12,153
haus1257,Hausa,28,600
ifee1241,Ifè,10,214
iged1239,Igede,13,76
igoo1238,Igo,10,722
izii1239,Izi,21,72
jola1263,Jola-Fonyi,12,31
jurm1239,Jur Modo,19,492
kabi1261,Kabiyé,21,191
kako1242,Kako,21,594
kara1478,Karang,13,596
kase1253,Kasem,28,277
kiku1240,Kikuyu,12,2715
kita1249,Kita Maninkakan,10,344
kitu1245,Kituba (Congo),7,466
komc1235,Kom (Cameroon),31,1789
komo1260,Komo (Democratic Republic of Congo),13,586
konk1269,Konkomba,13,149
koon1245,Koonzime,19,675
koyr1240,Koyra Chiini Songhay,12,264
krio1253,Krio,9,11
kuri1259,Kuria,9,1176
kusa1250,Kusaal,18,173
lako1244,Lakota Dida,26,165
lama1275,Lama (Togo),21,457
lamn1239,Lamnso',14,1352
lele1276,Lele (Chad),11,399
lend1245,Lendu,16,1676
libe1247,Liberia Kpelle,14,285
ligb1244,Ligbi,12,315
limb1268,Limbum,9,1057
ling1263,Lingala,7,342
loko1255,Loko,10,90
loma1260,Loma (Liberia),15,474
lugb1240,Lugbara,13,1225
lukp1238,Lukpa,16,397
luok1236,Luo (Kenya and Tanzania),14,1467
lyel1241,Lyélé,13,275
maas1239,Maasina Fulfulde,12,298
madi1260,Ma'di,14,1387
maka1304,Makaa,17,693
mama1271,Mamara Senoufo,18,323
mamp1244,Mampruli,15,152
mang1394,Mangbetu,15,736
mboc1235,Mbo (Cameroon),8,835
mend1266,Mende (Sierra Leone),11,172
meta1238,Meta',9,1032
mofu1248,Mofu-Gudur,13,730
moss1236,Mossi,16,157
mund1326,Mündü,13,872
mund1327,Mundani,15,321
murl1244,Murle,10,452
mwag1236,Mwaghavul,13,1330
mwan1250,Mwan,15,281
nafa1258,Nafaanra,15,307
nawd1238,Nawdm,12,333
ngam1268,Ngambay,8,479
ngan1299,Ngangam,13,161
ngas1240,Ngas,8,1130
ngba1285,Ngbaka Minagende,12,363
ngie1241,Ngiemboon,8,1797
nige1255,Western Mambila,11,1281
noma1260,Nomaande,10,759
nort2765,Northern Kissi,13,416
nort2774,Northern Ngbandi,11,404
nort2775,Northwest Gbaya,17,961
nort2780,Northern Dagara,14,305
nort2784,Northern Nuni,18,285
nort2787,Northern Toussian,8,417
nort2810,Northern Grebo,14,205
nort2819,Northern Bobo Madaré,11,467
ntch1242,Ntcham,11,243
nucl1347,Wolof,16,53
nucl1417,Igbo,14,8
nucl1418,Bassa,9,56
nucl1683,Daba,15,813
nugu1242,Nugunu (Cameroon),7,481
nupe1254,Nupe-Nupe-Tako,10,127
nyab1255,Nyabwa,20,254
park1239,Parkwa,11,541
pula1262,Pular,13,123
pula1263,Pulaar,12,47
rend1243,Rendille,11,532
saba1262,Sabaot,12,3036
sang1328,Sango,26,503
sena1262,Senara Sénoufo,14,361
sere1260,Sereer,16,4
siss1242,Sissala of Burkina Faso,36,292
soni1259,Soninke,31,157
sout2774,Southeast Ijo,15,7
sout2789,Central Dagaare,21,342
suda1236,Sudanese Arabic,16,504
susu1250,Susu,11,238
swah1253,Swahili,12,200
tama1365,Tamasheq,12,292
taro1263,Tarok,12,210
tawa1286,Tawallammat Tamajaq,12,282
teda1241,Tedaga,13,477
teen1242,Téén,17,329
temm1241,Tem,13,383
tepo1239,Tepo Krumen,16,192
tika1246,Tikar,13,815
timn1235,Timne,7,48
tofi1235,Tofin Gbe,12,0
topo1242,Toposa,10,458
toro1252,Toro So Dogon,13,279
