,language,labial,elevation
abid1235,Abidji,15,96
adam1253,Adamawa Fulfulde,11,370
adan1247,Adangme,13,50
adio1239,Adioukrou,10,68
ajab1235,Aja (Benin),26,152
akan1250,Akan,11,166
akoo1248,Akoose,12,859
anuf1239,Anufo,15,137
anyi1244,Anyin Morofo,14,79
avok1242,Avokaya,17,853
baan1242,Baangi,19,410
baat1238,Baatonum,12,379
bafu1246,Bafut,10,822
baka1272,Baka (Cameroon),12,548
bamb1269,Bambara,14,386
band1345,Banda-Ndélé,31,824
band1352,Bandi,18,385
baou1238,Baoulé,13,9
basa1284,Basa (Cameroon),15,179
bekw1241,Bekwarra,11,96
beng1286,Beng,16,214
bero1242,Berom,11,1221
bhel1238,Bhele,10,1142
bial1238,Biali,8,147
bimo1239,Bimoba,16,177
bini1246,Bini,18,126
biss1248,Bissa,12,263
boko1266,Boko (Benin),13,320
bulu1251,Bulu (Cameroon),12,706
came1252,Donga Mambila,14,781
cent2018,Central-Eastern Niger Fulfulde,11,471
cent2050,Central Kanuri,7,314
cerm1238,Cerma,17,314
chum1261,Chumburung,11,93
cros1244,Cross River Mbembe,14,41
dagb1246,Dagbani,10,181
dann1241,Dan,17,324
daza1242,Dazaga,10,304
degg1238,Deg,20,163
dita1238,Ditammari,11,313
doya1240,Doyayo,18,309
dual1243,Duala,9,9
duru1249,Duruma,16,221
dyul1238,Dyula,14,274
east2426,Eastern Maninkakan,12,632
ebir1243,Ebira,9,200
ejag1239,Ejagham,11,220
emai1241,Emai-Iuleha-Ora,19,148
enge1239,Engenni,13,20
ewee1241,Ewe,15,114
ewon1239,Ewondo,8,593
fefe1239,Fe'fe',12,1444
fonn1241,Fon,14,154
fuli1240,Fuliiru,11,1629
gaaa1244,Ga,13,94
gagn1235,Gagnoa Bété,19,211
gand1255,Ganda,10,1295
gbay1287,Gbaya-Bossangoa,16,476
gbay1288,Gbaya (Sudan),16,596
genn1243,Gen,29,0
godi1239,Godié,17,205
gonj1241,Gonja,13,93
gour1243,Gourmanchéma,11,201
gude1246,Gude,9,874
guin1254,Guinea Kpelle,16,446
hain1253,Hainyaxo Bozo,11,283
hang1258,Hanga,11,153
haus1257,Hausa,20,600
ifee1241,Ifè,12,214
iged1239,Igede,12,76
igoo1238,Igo,11,722
izii1239,Izi,23,72
jola1263,Jola-Fonyi,9,31
jurm1239,Jur Modo,17,492
kabi1261,Kabiyé,16,191
kako1242,Kako,19,594
kara1478,Karang,15,596
kase1253,Kasem,28,277
kiku1240,Kikuyu,10,2715
kita1249,Kita Maninkakan,12,344
kitu1245,Kituba (Congo),8,466
komc1235,Kom (Cameroon),28,1789
