,language,labiodental,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,2,370
adan1247,Adangme,2,50
adio1239,Adioukrou,1,68
ajab1235,Aja (Benin),4,152
akan1250,Akan,1,166
anuf1239,Anufo,1,137
anyi1244,Anyin Morofo,1,79
avok1242,Avokaya,3,853
baan1242,Baangi,2,410
baat1238,Baatonum,1,379
bafu1246,Bafut,1,822
bamb1269,Bambara,1,386
band1345,Banda-Ndélé,7,824
band1352,Bandi,2,385
baou1238,Baoulé,2,9
basa1284,Basa (Cameroon),2,179
bekw1241,Bekwarra,1,96
beng1286,Beng,2,214
bero1242,Berom,2,1221
bial1238,Biali,1,147
bimo1239,Bimoba,1,177
bini1246,Bini,2,126
biss1248,Bissa,2,263
boko1266,Boko (Benin),2,320
bulu1251,Bulu (Cameroon),3,706
came1252,Donga Mambila,3,781
cent2018,Central-Eastern Niger Fulfulde,1,471
cent2050,Central Kanuri,1,314
cerm1238,Cerma,2,314
chum1261,Chumburung,1,93
cros1244,Cross River Mbembe,3,41
dagb1246,Dagbani,2,181
dann1241,Dan,2,324
daza1242,Dazaga,1,304
degg1238,Deg,2,163
dita1238,Ditammari,1,313
doya1240,Doyayo,2,309
duru1249,Duruma,3,221
dyul1238,Dyula,2,274
east2426,Eastern Maninkakan,1,632
ebir1243,Ebira,1,200
ejag1239,Ejagham,1,220
emai1241,Emai-Iuleha-Ora,2,148
enge1239,Engenni,2,20
ewee1241,Ewe,2,114
ewon1239,Ewondo,2,593
fefe1239,Fe'fe',2,1444
fonn1241,Fon,2,154
fuli1240,Fuliiru,2,1629
gaaa1244,Ga,2,94
gagn1235,Gagnoa Bété,2,211
gand1255,Ganda,2,1295
gbay1287,Gbaya-Bossangoa,2,476
gbay1288,Gbaya (Sudan),3,596
genn1243,Gen,4,0
godi1239,Godié,2,205
gonj1241,Gonja,1,93
gour1243,Gourmanchéma,1,201
gude1246,Gude,3,874
guin1254,Guinea Kpelle,2,446
hain1253,Hainyaxo Bozo,1,283
hang1258,Hanga,2,153
haus1257,Hausa,2,600
ifee1241,Ifè,2,214
iged1239,Igede,2,76
