,language,lateral,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,1,370
adan1247,Adangme,1,50
adio1239,Adioukrou,1,68
ajab1235,Aja (Benin),2,152
akan1250,Akan,1,166
akoo1248,Akoose,1,859
anuf1239,Anufo,1,137
anyi1244,Anyin Morofo,1,79
avok1242,Avokaya,1,853
baan1242,Baangi,1,410
baat1238,Baatonum,1,379
bafu1246,Bafut,1,822
baka1272,Baka (Cameroon),1,548
bamb1269,Bambara,1,386
band1345,Banda-Ndélé,2,824
band1352,Bandi,1,385
baou1238,Baoulé,1,9
basa1284,Basa (Cameroon),1,179
bekw1241,Bekwarra,1,96
beng1286,Beng,1,214
bero1242,Berom,1,1221
bhel1238,Bhele,1,1142
bial1238,Biali,1,147
bimo1239,Bimoba,1,177
bini1246,Bini,1,126
biss1248,Bissa,1,263
boko1266,Boko (Benin),1,320
bulu1251,Bulu (Cameroon),1,706
came1252,Donga Mambila,1,781
cent2018,Central-Eastern Niger Fulfulde,1,471
cent2050,Central Kanuri,1,314
cerm1238,Cerma,1,314
chum1261,Chumburung,1,93
cros1244,Cross River Mbembe,1,41
dagb1246,Dagbani,1,181
dann1241,Dan,1,324
daza1242,Dazaga,1,304
degg1238,Deg,1,163
doya1240,Doyayo,1,309
dual1243,Duala,1,9
duru1249,Duruma,1,221
dyul1238,Dyula,1,274
east2426,Eastern Maninkakan,1,632
emai1241,Emai-Iuleha-Ora,1,148
enge1239,Engenni,1,20
ewee1241,Ewe,1,114
ewon1239,Ewondo,1,593
fefe1239,Fe'fe',1,1444
fonn1241,Fon,1,154
fuli1240,Fuliiru,1,1629
gaaa1244,Ga,1,94
gagn1235,Gagnoa Bété,1,211
gand1255,Ganda,1,1295
gbay1287,Gbaya-Bossangoa,1,476
gbay1288,Gbaya (Sudan),2,596
genn1243,Gen,2,0
godi1239,Godié,1,205
gonj1241,Gonja,1,93
gour1243,Gourmanchéma,1,201
gude1246,Gude,2,874
guin1254,Guinea Kpelle,1,446
hain1253,Hainyaxo Bozo,1,283
hang1258,Hanga,1,153
haus1257,Hausa,2,600
ifee1241,Ifè,1,214
iged1239,Igede,1,76
igoo1238,Igo,1,722
izii1239,Izi,2,72
jola1263,Jola-Fonyi,1,31
jurm1239,Jur Modo,1,492
kabi1261,Kabiyé,1,191
kako1242,Kako,1,594
kara1478,Karang,1,596
kase1253,Kasem,2,277
kita1249,Kita Maninkakan,1,344
kitu1245,Kituba (Congo),1,466
komc1235,Kom (Cameroon),3,1789
komo1260,Komo (Democratic Republic of Congo),1,586
konk1269,Konkomba,1,149
koon1245,Koonzime,1,675
koyr1240,Koyra Chiini Songhay,1,264
krio1253,Krio,1,11
kusa1250,Kusaal,1,173
lako1244,Lakota Dida,1,165
lama1275,Lama (Togo),1,457
lamn1239,Lamnso',1,1352
lele1276,Lele (Chad),1,399
lend1245,Lendu,1,1676
libe1247,Liberia Kpelle,1,285
ligb1244,Ligbi,1,315
limb1268,Limbum,1,1057
ling1263,Lingala,1,342
loko1255,Loko,1,90
loma1260,Loma (Liberia),1,474
lugb1240,Lugbara,1,1225
lukp1238,Lukpa,1,397
luok1236,Luo (Kenya and Tanzania),1,1467
lyel1241,Lyélé,2,275
maas1239,Maasina Fulfulde,1,298
madi1260,Ma'di,1,1387
maka1304,Makaa,1,693
mama1271,Mamara Senoufo,1,323
mamp1244,Mampruli,1,152
mang1394,Mangbetu,1,736
mboc1235,Mbo (Cameroon),1,835
mend1266,Mende (Sierra Leone),1,172
mofu1248,Mofu-Gudur,3,730
