,language,periodicGlottalSource,elevation
abid1235,Abidji,30,96
adam1253,Adamawa Fulfulde,25,370
adan1247,Adangme,27,50
adio1239,Adioukrou,20,68
ajab1235,Aja (Benin),60,152
akan1250,Akan,20,166
akoo1248,Akoose,33,859
anuf1239,Anufo,32,137
anyi1244,Anyin Morofo,28,79
avok1242,Avokaya,40,853
baan1242,Baangi,42,410
baat1238,Baatonum,22,379
bafu1246,Bafut,32,822
baka1272,Baka (Cameroon),25,548
bamb1269,Bambara,34,386
band1345,Banda-Ndélé,63,824
band1352,Bandi,37,385
baou1238,Baoulé,26,9
basa1284,Basa (Cameroon),28,179
bekw1241,Bekwarra,24,96
beng1286,Beng,35,214
bero1242,Berom,21,1221
bhel1238,Bhele,20,1142
bial1238,Biali,18,147
bimo1239,Bimoba,32,177
bini1246,Bini,38,126
biss1248,Bissa,30,263
boko1266,Boko (Benin),23,320
bulu1251,Bulu (Cameroon),24,706
came1252,Donga Mambila,29,781
cent2018,Central-Eastern Niger Fulfulde,28,471
cent2050,Central Kanuri,18,314
cerm1238,Cerma,34,314
chum1261,Chumburung,22,93
cros1244,Cross River Mbembe,23,41
dagb1246,Dagbani,21,181
dann1241,Dan,36,324
daza1242,Dazaga,24,304
degg1238,Deg,44,163
dita1238,Ditammari,21,313
doya1240,Doyayo,37,309
dual1243,Duala,23,9
duru1249,Duruma,31,221
dyul1238,Dyula,29,274
east2426,Eastern Maninkakan,26,632
ebir1243,Ebira,22,200
ejag1239,Ejagham,21,220
emai1241,Emai-Iuleha-Ora,38,148
enge1239,Engenni,24,20
ewee1241,Ewe,29,114
ewon1239,Ewondo,18,593
fefe1239,Fe'fe',30,1444
fonn1241,Fon,29,154
fuli1240,Fuliiru,28,1629
gaaa1244,Ga,27,94
gagn1235,Gagnoa Bété,42,211
gand1255,Ganda,23,1295
gbay1287,Gbaya-Bossangoa,33,476
gbay1288,Gbaya (Sudan),36,596
genn1243,Gen,59,0
godi1239,Godié,31,205
gonj1241,Gonja,28,93
gour1243,Gourmanchéma,23,201
gude1246,Gude,25,874
guin1254,Guinea Kpelle,25,446
hain1253,Hainyaxo Bozo,26,283
hang1258,Hanga,21,153
haus1257,Hausa,46,600
ifee1241,Ifè,23,214
iged1239,Igede,26,76
igoo1238,Igo,22,722
izii1239,Izi,34,72
jola1263,Jola-Fonyi,22,31
jurm1239,Jur Modo,42,492
kabi1261,Kabiyé,39,191
kako1242,Kako,36,594
kara1478,Karang,27,596
kase1253,Kasem,67,277
kiku1240,Kikuyu,28,2715
kita1249,Kita Maninkakan,26,344
kitu1245,Kituba (Congo),16,466
komc1235,Kom (Cameroon),47,1789
komo1260,Komo (Democratic Republic of Congo),23,586
konk1269,Konkomba,26,149
koon1245,Koonzime,38,675
koyr1240,Koyra Chiini Songhay,28,264
krio1253,Krio,24,11
kuri1259,Kuria,17,1176
kusa1250,Kusaal,36,173
lako1244,Lakota Dida,46,165
lama1275,Lama (Togo),42,457
lamn1239,Lamnso',28,1352
lele1276,Lele (Chad),26,399
lend1245,Lendu,35,1676
libe1247,Liberia Kpelle,36,285
ligb1244,Ligbi,28,315
limb1268,Limbum,20,1057
ling1263,Lingala,17,342
loko1255,Loko,17,90
loma1260,Loma (Liberia),34,474
lugb1240,Lugbara,27,1225
lukp1238,Lukpa,29,397
luok1236,Luo (Kenya and Tanzania),27,1467
lyel1241,Lyélé,33,275
maas1239,Maasina Fulfulde,28,298
madi1260,Ma'di,25,1387
maka1304,Makaa,39,693
mama1271,Mamara Senoufo,38,323
mamp1244,Mampruli,25,152
mang1394,Mangbetu,36,736
mboc1235,Mbo (Cameroon),20,835
mend1266,Mende (Sierra Leone),23,172
meta1238,Meta',21,1032
mofu1248,Mofu-Gudur,31,730
moss1236,Mossi,35,157
mund1326,Mündü,30,872
mund1327,Mundani,29,321
murl1244,Murle,29,452
mwag1236,Mwaghavul,29,1330
mwan1250,Mwan,25,281
nafa1258,Nafaanra,35,307
nawd1238,Nawdm,28,333
ngam1268,Ngambay,26,479
ngan1299,Ngangam,28,161
ngas1240,Ngas,24,1130
ngba1285,Ngbaka Minagende,27,363
ngie1241,Ngiemboon,18,1797
nige1255,Western Mambila,34,1281
noma1260,Nomaande,21,759
nort2765,Northern Kissi,33,416
nort2774,Northern Ngbandi,24,404
nort2775,Northwest Gbaya,41,961
nort2780,Northern Dagara,26,305
nort2784,Northern Nuni,44,285
nort2787,Northern Toussian,24,417
nort2810,Northern Grebo,24,205
nort2819,Northern Bobo Madaré,31,467
ntch1242,Ntcham,20,243
nucl1347,Wolof,41,53
nucl1417,Igbo,26,8
nucl1418,Bassa,21,56
nucl1683,Daba,31,813
nugu1242,Nugunu (Cameroon),15,481
nupe1254,Nupe-Nupe-Tako,23,127
nyab1255,Nyabwa,32,254
park1239,Parkwa,26,541
pula1262,Pular,29,123
pula1263,Pulaar,28,47
rend1243,Rendille,23,532
saba1262,Sabaot,27,3036
sang1328,Sango,62,503
sena1262,Senara Sénoufo,39,361
sere1260,Sereer,28,4
siss1242,Sissala of Burkina Faso,76,292
soni1259,Soninke,61,157
sout2774,Southeast Ijo,34,7
sout2789,Central Dagaare,43,342
suda1236,Sudanese Arabic,40,504
susu1250,Susu,28,238
swah1253,Swahili,27,200
tama1365,Tamasheq,35,292
taro1263,Tarok,26,210
tawa1286,Tawallammat Tamajaq,27,282
teda1241,Tedaga,26,477
teen1242,Téén,28,329
temm1241,Tem,26,383
tepo1239,Tepo Krumen,27,192
tika1246,Tikar,31,815
timn1235,Timne,19,48
tofi1235,Tofin Gbe,28,0
topo1242,Toposa,21,458
toro1252,Toro So Dogon,35,279
tour1242,Toura (Côte d'Ivoire),39,546
vagl1239,Vagla,46,345
veng1238,Vengo,52,1680
vute1244,Vute,46,894
waam1244,Waama,31,477
wann1242,Wan,25,274
weno1238,Wobe-Wè Northern,34,314
west2450,West-Central Limba,17,63
west2454,Western Niger Fulfulde,23,293
west2466,Western Karaboro,34,292
west2500,Western Maninkakan,19,71
yamb1251,Yamba,24,1160
yamb1252,Yambeta,19,717
yaou1238,Yaouré,33,235
yemb1246,Yemba,18,1324
yomm1242,Yom,26,418
yoru1245,Yoruba,45,105
zand1248,Zande,23,638
zarm1239,Zarma-Kaado,29,178
zulg1242,Zulgo-Gemzek,22,719
