,language,retractedTongueRoot,elevation
nort2810,Northern Grebo,3,205
suda1236,Sudanese Arabic,8,504
teen1242,Téén,4,329
0,Abidji,0,96
1,Adioukrou,0,68
2,Aja (Benin),0,152
3,Anyin Morofo,0,79
4,Igo,0,722
5,Akan,0,166
6,Akoose,0,859
7,Ngas,0,1130
8,Anufo,0,137
9,Avokaya,0,853
10,Vengo,0,1680
11,Bafut,0,822
12,Baka (Cameroon),0,548
13,Bambara,0,386
14,Banda-Ndélé,0,824
15,Bandi,0,385
16,Baoulé,0,9
17,Baatonum,0,379
18,Basa (Cameroon),0,179
19,Bassa,0,56
20,Ntcham,0,243
21,Gagnoa Bété,0,211
22,Bekwarra,0,96
23,Berom,0,1221
24,Beng,0,214
25,Bhele,0,1142
26,Biali,0,147
27,Bimoba,0,177
28,Bissa,0,263
29,Northern Bobo Madaré,0,467
30,Boko (Benin),0,320
31,Hainyaxo Bozo,0,283
32,Bulu (Cameroon),0,706
33,Cerma,0,314
34,Chumburung,0,93
35,Daba,0,813
36,Central Dagaare,0,342
37,Northern Dagara,0,305
38,Dagbani,0,181
39,Dan,0,324
40,Adangme,0,50
41,Dazaga,0,304
42,Luo (Kenya and Tanzania),0,1467
43,Lakota Dida,0,165
44,Dyula,0,274
45,Ditammari,0,313
46,Doyayo,0,309
47,Toro So Dogon,0,279
48,Duala,0,9
49,Duruma,0,221
50,Ebira,0,200
51,Ewe,0,114
52,Bini,0,126
54,Ejagham,0,220
55,Emai-Iuleha-Ora,0,148
56,Engenni,0,20
57,Ewondo,0,593
58,Fe'fe',0,1444
59,Fon,0,154
60,Adamawa Fulfulde,0,370
61,Central-Eastern Niger Fulfulde,0,471
62,Maasina Fulfulde,0,298
63,Western Niger Fulfulde,0,293
64,Fuliiru,0,1629
65,Ga,0,94
66,Ngangam,0,161
67,Northwest Gbaya,0,961
68,Gbaya-Bossangoa,0,476
69,Gen,0,0
70,Godié,0,205
71,Gonja,0,93
72,Gude,0,874
73,Gourmanchéma,0,201
74,Hanga,0,153
75,Hausa,0,600
76,Ifè,0,214
77,Igbo,0,8
78,Igede,0,76
79,Southeast Ijo,0,7
81,Izi,0,72
82,Jola-Fonyi,0,31
83,Jur Modo,0,492
84,Kabiyé,0,191
85,Kako,0,594
86,Baangi,0,410
87,Central Kanuri,0,314
88,Western Karaboro,0,292
89,Karang,0,596
90,Kasem,0,277
91,Koonzime,0,675
92,Kikuyu,0,2715
93,Northern Kissi,0,416
94,Kom (Cameroon),0,1789
95,Komo (Democratic Republic of Congo),0,586
96,Konkomba,0,149
97,Liberia Kpelle,0,285
98,Guinea Kpelle,0,446
99,Gbaya (Sudan),0,596
100,Krio,0,11
101,Tepo Krumen,0,192
102,Kuria,0,1176
103,Kusaal,0,173
104,Lama (Togo),0,457
105,Lele (Chad),0,399
106,Lendu,0,1676
107,Loma (Liberia),0,474
108,Loko,0,90
109,Ligbi,0,315
110,West-Central Limba,0,63
111,Limbum,0,1057
112,Lingala,0,342
113,Lukpa,0,397
114,Ganda,0,1295
115,Lugbara,0,1225
116,Lyélé,0,275
117,Donga Mambila,0,781
118,Western Mambila,0,1281
119,Mampruli,0,152
120,Western Maninkakan,0,71
121,Eastern Maninkakan,0,632
122,Mangbetu,0,736
123,Kita Maninkakan,0,344
124,Mündü,0,872
125,Cross River Mbembe,0,41
126,Mbo (Cameroon),0,835
127,Makaa,0,693
128,Mende (Sierra Leone),0,172
129,Meta',0,1032
130,Mamara Senoufo,0,323
131,Deg,0,163
132,Mofu-Gudur,0,730
133,Mossi,0,157
134,Mwan,0,281
135,Mundani,0,321
136,Kituba (Congo),0,466
137,Murle,0,452
138,Mwaghavul,0,1330
139,Nafaanra,0,307
140,Nawdm,0,333
141,Northern Nuni,0,285
142,Nomaande,0,759
143,Ngambay,0,479
144,Ngbaka Minagende,0,363
145,Northern Ngbandi,0,404
146,Ngiemboon,0,1797
147,Nyabwa,0,254
148,Lamnso',0,1352
149,Nugunu (Cameroon),0,481
150,Nupe-Nupe-Tako,0,127
151,Ma'di,0,1387
152,Parkwa,0,541
153,Pulaar,0,47
154,Pular,0,123
155,Rendille,0,532
156,Sabaot,0,3036
157,Sango,0,503
158,Senara Sénoufo,0,361
159,Sereer,0,4
160,Sissala of Burkina Faso,0,292
161,Koyra Chiini Songhay,0,264
162,Soninke,0,157
163,Susu,0,238
164,Swahili,0,200
165,Tawallammat Tamajaq,0,282
166,Tamasheq,0,292
167,Tarok,0,210
168,Tedaga,0,477
169,Tem,0,383
170,Tofin Gbe,0,0
171,Timne,0,48
172,Tikar,0,815
173,Toposa,0,458
174,Toura (Côte d'Ivoire),0,546
175,Northern Toussian,0,417
176,Vagla,0,345
177,Vute,0,894
178,Waama,0,477
179,Wan,0,274
180,Wobe-Wè Northern,0,314
181,Wolof,0,53
182,Yamba,0,1160
183,Yambeta,0,717
184,Yaouré,0,235
185,Yemba,0,1324
186,Yom,0,418
187,Yoruba,0,105
188,Zande,0,638
189,Zarma-Kaado,0,178
190,Zulgo-Gemzek,0,719
