Glottocode,language,sonorant,elevation
abid1235,Abidji,25,96
adam1253,Adamawa Fulfulde,18,370
adan1247,Adangme,20,50
adio1239,Adioukrou,15,68
ajab1235,Aja (Benin),41,152
akan1250,Akan,17,166
akoo1248,Akoose,25,859
anuf1239,Anufo,27,137
anyi1244,Anyin Morofo,23,79
avok1242,Avokaya,23,853
baan1242,Baangi,33,410
baat1238,Baatonum,18,379
bafu1246,Bafut,25,822
baka1272,Baka (Cameroon),13,548
bamb1269,Bambara,29,386
band1345,Banda-Ndélé,34,824
band1352,Bandi,27,385
baou1238,Baoulé,19,9
basa1284,Basa (Cameroon),17,179
bekw1241,Bekwarra,19,96
beng1286,Beng,28,214
bero1242,Berom,14,1221
bhel1238,Bhele,13,1142
bial1238,Biali,16,147
bimo1239,Bimoba,27,177
bini1246,Bini,30,126
biss1248,Bissa,23,263
boko1266,Boko (Benin),17,320
bulu1251,Bulu (Cameroon),14,706
came1252,Donga Mambila,19,781
cent2018,Central-Eastern Niger Fulfulde,18,471
cent2050,Central Kanuri,15,314
cerm1238,Cerma,28,314
chum1261,Chumburung,17,93
cros1244,Cross River Mbembe,15,41
dagb1246,Dagbani,14,181
dann1241,Dan,27,324
daza1242,Dazaga,19,304
degg1238,Deg,38,163
dita1238,Ditammari,19,313
doya1240,Doyayo,29,309
dual1243,Duala,14,9
duru1249,Duruma,14,221
dyul1238,Dyula,22,274
east2426,Eastern Maninkakan,21,632
ebir1243,Ebira,16,200
ejag1239,Ejagham,14,220
emai1241,Emai-Iuleha-Ora,29,148
enge1239,Engenni,16,20
ewee1241,Ewe,19,114
ewon1239,Ewondo,13,593
fefe1239,Fe'fe',22,1444
fonn1241,Fon,21,154
fuli1240,Fuliiru,17,1629
gaaa1244,Ga,20,94
gagn1235,Gagnoa Bété,33,211
gand1255,Ganda,17,1295
gbay1287,Gbaya-Bossangoa,21,476
gbay1288,Gbaya (Sudan),20,596
genn1243,Gen,40,0
godi1239,Godié,21,205
gonj1241,Gonja,22,93
gour1243,Gourmanchéma,18,201
gude1246,Gude,11,874
guin1254,Guinea Kpelle,15,446
hain1253,Hainyaxo Bozo,22,283
hang1258,Hanga,14,153
haus1257,Hausa,29,600
ifee1241,Ifè,16,214
iged1239,Igede,19,76
igoo1238,Igo,14,722
izii1239,Izi,21,72
jola1263,Jola-Fonyi,18,31
jurm1239,Jur Modo,27,492
kabi1261,Kabiyé,31,191
kako1242,Kako,21,594
kara1478,Karang,13,596
kase1253,Kasem,55,277
kiku1240,Kikuyu,21,2715
kita1249,Kita Maninkakan,21,344
kitu1245,Kituba (Congo),12,466
komc1235,Kom (Cameroon),24,1789
komo1260,Komo (Democratic Republic of Congo),11,586
konk1269,Konkomba,21,149
koon1245,Koonzime,31,675
koyr1240,Koyra Chiini Songhay,23,264
krio1253,Krio,17,11
kuri1259,Kuria,13,1176
kusa1250,Kusaal,30,173
lako1244,Lakota Dida,35,165
lama1275,Lama (Togo),41,457
lamn1239,Lamnso',20,1352
lele1276,Lele (Chad),17,399
lend1245,Lendu,16,1676
libe1247,Liberia Kpelle,28,285
ligb1244,Ligbi,21,315
limb1268,Limbum,14,1057
ling1263,Lingala,14,342
loko1255,Loko,14,90
loma1260,Loma (Liberia),22,474
lugb1240,Lugbara,18,1225
lukp1238,Lukpa,28,397
luok1236,Luo (Kenya and Tanzania),17,1467
lyel1241,Lyélé,26,275
maas1239,Maasina Fulfulde,18,298
madi1260,Ma'di,18,1387
maka1304,Makaa,28,693
mama1271,Mamara Senoufo,28,323
mamp1244,Mampruli,18,152
mang1394,Mangbetu,16,736
mboc1235,Mbo (Cameroon),14,835
mend1266,Mende (Sierra Leone),14,172
meta1238,Meta',14,1032
mofu1248,Mofu-Gudur,14,730
moss1236,Mossi,30,157
mund1326,Mündü,16,872
mund1327,Mundani,22,321
murl1244,Murle,22,452
mwag1236,Mwaghavul,20,1330
mwan1250,Mwan,16,281
nafa1258,Nafaanra,28,307
nawd1238,Nawdm,22,333
ngam1268,Ngambay,19,479
ngan1299,Ngangam,23,161
ngas1240,Ngas,14,1130
ngba1285,Ngbaka Minagende,19,363
ngie1241,Ngiemboon,13,1797
nige1255,Western Mambila,24,1281
noma1260,Nomaande,21,759
nort2765,Northern Kissi,26,416
nort2774,Northern Ngbandi,18,404
nort2775,Northwest Gbaya,29,961
nort2780,Northern Dagara,17,305
nort2784,Northern Nuni,38,285
nort2787,Northern Toussian,20,417
nort2810,Northern Grebo,20,205
nort2819,Northern Bobo Madaré,25,467
ntch1242,Ntcham,15,243
nucl1347,Wolof,29,53
nucl1417,Igbo,17,8
nucl1418,Bassa,12,56
nucl1683,Daba,14,813
nugu1242,Nugunu (Cameroon),12,481
nupe1254,Nupe-Nupe-Tako,14,127
nyab1255,Nyabwa,23,254
park1239,Parkwa,13,541
pula1262,Pular,18,123
pula1263,Pulaar,18,47
rend1243,Rendille,18,532
saba1262,Sabaot,26,3036
sang1328,Sango,40,503
sena1262,Senara Sénoufo,32,361
sere1260,Sereer,18,4
siss1242,Sissala of Burkina Faso,61,292
soni1259,Soninke,49,157
sout2774,Southeast Ijo,25,7
sout2789,Central Dagaare,35,342
suda1236,Sudanese Arabic,20,504
susu1250,Susu,22,238
swah1253,Swahili,13,200
tama1365,Tamasheq,28,292
taro1263,Tarok,15,210
tawa1286,Tawallammat Tamajaq,21,282
teda1241,Tedaga,19,477
teen1242,Téén,21,329
temm1241,Tem,18,383
tepo1239,Tepo Krumen,22,192
tika1246,Tikar,21,815
timn1235,Timne,16,48
tofi1235,Tofin Gbe,20,0
topo1242,Toposa,17,458
toro1252,Toro So Dogon,30,279
tour1242,Toura (Côte d'Ivoire),31,546
vagl1239,Vagla,39,345
veng1238,Vengo,30,1680
vute1244,Vute,32,894
waam1244,Waama,29,477
wann1242,Wan,16,274
weno1238,Wobe-Wè Northern,30,314
west2450,West-Central Limba,14,63
west2454,Western Niger Fulfulde,13,293
west2466,Western Karaboro,28,292
west2500,Western Maninkakan,15,71
yamb1251,Yamba,15,1160
yamb1252,Yambeta,15,717
yaou1238,Yaouré,25,235
yemb1246,Yemba,14,1324
yomm1242,Yom,18,418
yoru1245,Yoruba,35,105
zand1248,Zande,11,638
zarm1239,Zarma-Kaado,24,178
zulg1242,Zulgo-Gemzek,9,719
