,language,syllabic,elevation
abid1235,Abidji,18,96
adam1253,Adamawa Fulfulde,10,370
adan1247,Adangme,12,50
adio1239,Adioukrou,7,68
ajab1235,Aja (Benin),26,152
akan1250,Akan,9,166
akoo1248,Akoose,18,859
anuf1239,Anufo,19,137
anyi1244,Anyin Morofo,16,79
avok1242,Avokaya,14,853
baan1242,Baangi,27,410
baat1238,Baatonum,12,379
bafu1246,Bafut,18,822
baka1272,Baka (Cameroon),7,548
bamb1269,Bambara,21,386
band1345,Banda-Ndélé,18,824
band1352,Bandi,21,385
baou1238,Baoulé,12,9
basa1284,Basa (Cameroon),7,179
bekw1241,Bekwarra,10,96
beng1286,Beng,19,214
bero1242,Berom,7,1221
bhel1238,Bhele,7,1142
bial1238,Biali,10,147
bimo1239,Bimoba,18,177
bini1246,Bini,21,126
biss1248,Bissa,15,263
boko1266,Boko (Benin),12,320
bulu1251,Bulu (Cameroon),7,706
came1252,Donga Mambila,12,781
cent2018,Central-Eastern Niger Fulfulde,10,471
cent2050,Central Kanuri,7,314
cerm1238,Cerma,21,314
chum1261,Chumburung,9,93
cros1244,Cross River Mbembe,7,41
dagb1246,Dagbani,6,181
dann1241,Dan,23,324
daza1242,Dazaga,11,304
degg1238,Deg,30,163
dita1238,Ditammari,12,313
doya1240,Doyayo,22,309
dual1243,Duala,7,9
duru1249,Duruma,5,221
dyul1238,Dyula,14,274
east2426,Eastern Maninkakan,14,632
ebir1243,Ebira,9,200
ejag1239,Ejagham,7,220
emai1241,Emai-Iuleha-Ora,21,148
enge1239,Engenni,10,20
ewee1241,Ewe,12,114
ewon1239,Ewondo,7,593
fefe1239,Fe'fe',16,1444
fonn1241,Fon,14,154
fuli1240,Fuliiru,10,1629
gaaa1244,Ga,12,94
gagn1235,Gagnoa Bété,26,211
gand1255,Ganda,10,1295
gbay1287,Gbaya-Bossangoa,12,476
gbay1288,Gbaya (Sudan),10,596
genn1243,Gen,26,0
godi1239,Godié,13,205
gonj1241,Gonja,14,93
gour1243,Gourmanchéma,10,201
gude1246,Gude,4,874
guin1254,Guinea Kpelle,8,446
hain1253,Hainyaxo Bozo,14,283
hang1258,Hanga,6,153
haus1257,Hausa,16,600
ifee1241,Ifè,12,214
iged1239,Igede,10,76
igoo1238,Igo,7,722
izii1239,Izi,9,72
jola1263,Jola-Fonyi,10,31
jurm1239,Jur Modo,18,492
kabi1261,Kabiyé,23,191
kako1242,Kako,13,594
kara1478,Karang,6,596
kase1253,Kasem,40,277
kiku1240,Kikuyu,14,2715
kita1249,Kita Maninkakan,14,344
kitu1245,Kituba (Congo),5,466
komc1235,Kom (Cameroon),9,1789
komo1260,Komo (Democratic Republic of Congo),7,586
konk1269,Konkomba,12,149
koon1245,Koonzime,24,675
koyr1240,Koyra Chiini Songhay,15,264
krio1253,Krio,10,11
kuri1259,Kuria,7,1176
kusa1250,Kusaal,22,173
lako1244,Lakota Dida,27,165
lama1275,Lama (Togo),33,457
lamn1239,Lamnso',12,1352
lele1276,Lele (Chad),10,399
lend1245,Lendu,8,1676
libe1247,Liberia Kpelle,21,285
ligb1244,Ligbi,14,315
limb1268,Limbum,7,1057
ling1263,Lingala,7,342
loko1255,Loko,7,90
loma1260,Loma (Liberia),14,474
lugb1240,Lugbara,10,1225
lukp1238,Lukpa,20,397
luok1236,Luo (Kenya and Tanzania),9,1467
lyel1241,Lyélé,16,275
maas1239,Maasina Fulfulde,10,298
madi1260,Ma'di,10,1387
maka1304,Makaa,21,693
mama1271,Mamara Senoufo,19,323
mamp1244,Mampruli,10,152
mang1394,Mangbetu,9,736
mboc1235,Mbo (Cameroon),7,835
