,language,tense,elevation
abid1235,Abidji,10,96
adam1253,Adamawa Fulfulde,10,370
adan1247,Adangme,8,50
adio1239,Adioukrou,6,68
ajab1235,Aja (Benin),18,152
akan1250,Akan,6,166
akoo1248,Akoose,11,859
anuf1239,Anufo,12,137
anyi1244,Anyin Morofo,8,79
avok1242,Avokaya,7,853
baan1242,Baangi,17,410
baat1238,Baatonum,8,379
bafu1246,Bafut,12,822
baka1272,Baka (Cameroon),6,548
bamb1269,Bambara,14,386
band1345,Banda-Ndélé,15,824
band1352,Bandi,14,385
baou1238,Baoulé,8,9
basa1284,Basa (Cameroon),7,179
bekw1241,Bekwarra,10,96
beng1286,Beng,12,214
bero1242,Berom,6,1221
bhel1238,Bhele,6,1142
bial1238,Biali,8,147
bimo1239,Bimoba,14,177
bini1246,Bini,14,126
biss1248,Bissa,10,263
boko1266,Boko (Benin),8,320
bulu1251,Bulu (Cameroon),6,706
came1252,Donga Mambila,10,781
cent2018,Central-Eastern Niger Fulfulde,10,471
cent2050,Central Kanuri,7,314
cerm1238,Cerma,14,314
chum1261,Chumburung,6,93
cros1244,Cross River Mbembe,6,41
dagb1246,Dagbani,7,181
dann1241,Dan,13,324
daza1242,Dazaga,7,304
degg1238,Deg,14,163
dita1238,Ditammari,8,313
doya1240,Doyayo,12,309
dual1243,Duala,6,9
duru1249,Duruma,4,221
dyul1238,Dyula,10,274
east2426,Eastern Maninkakan,10,632
ebir1243,Ebira,6,200
ejag1239,Ejagham,6,220
emai1241,Emai-Iuleha-Ora,14,148
enge1239,Engenni,6,20
ewee1241,Ewe,8,114
ewon1239,Ewondo,6,593
fefe1239,Fe'fe',12,1444
fonn1241,Fon,10,154
fuli1240,Fuliiru,10,1629
gaaa1244,Ga,8,94
gagn1235,Gagnoa Bété,14,211
gand1255,Ganda,10,1295
gbay1287,Gbaya-Bossangoa,8,476
gbay1288,Gbaya (Sudan),6,596
genn1243,Gen,18,0
godi1239,Godié,8,205
gonj1241,Gonja,10,93
gour1243,Gourmanchéma,10,201
gude1246,Gude,3,874
guin1254,Guinea Kpelle,5,446
hain1253,Hainyaxo Bozo,10,283
hang1258,Hanga,3,153
haus1257,Hausa,16,600
ifee1241,Ifè,8,214
iged1239,Igede,6,76
igoo1238,Igo,6,722
izii1239,Izi,6,72
jola1263,Jola-Fonyi,8,31
jurm1239,Jur Modo,11,492
kabi1261,Kabiyé,12,191
kako1242,Kako,9,594
kara1478,Karang,6,596
kase1253,Kasem,20,277
kiku1240,Kikuyu,10,2715
kita1249,Kita Maninkakan,10,344
kitu1245,Kituba (Congo),6,466
komc1235,Kom (Cameroon),9,1789
komo1260,Komo (Democratic Republic of Congo),4,586
konk1269,Konkomba,10,149
koon1245,Koonzime,14,675
koyr1240,Koyra Chiini Songhay,14,264
krio1253,Krio,8,11
kuri1259,Kuria,6,1176
kusa1250,Kusaal,11,173
lako1244,Lakota Dida,14,165
lama1275,Lama (Togo),17,457
lamn1239,Lamnso',6,1352
lele1276,Lele (Chad),10,399
lend1245,Lendu,6,1676
libe1247,Liberia Kpelle,14,285
ligb1244,Ligbi,10,315
