Glottocode,language,constrictedGlottis,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,2,370
akoo1248,Akoose,1,859
avok1242,Avokaya,3,853
baan1242,Baangi,3,410
bafu1246,Bafut,1,822
baka1272,Baka (Cameroon),1,548
band1345,Banda-Ndélé,2,824
boko1266,Boko (Benin),1,320
bulu1251,Bulu (Cameroon),1,706
cent2018,Central-Eastern Niger Fulfulde,2,471
fefe1239,Fe'fe',1,1444
gbay1287,Gbaya-Bossangoa,1,476
gbay1288,Gbaya (Sudan),1,596
gude1246,Gude,1,874
haus1257,Hausa,4,600
jurm1239,Jur Modo,1,492
kako1242,Kako,1,594
kara1478,Karang,1,596
komc1235,Kom (Cameroon),1,1789
komo1260,Komo (Democratic Republic of Congo),1,586
kusa1250,Kusaal,1,173
lamn1239,Lamnso',1,1352
lend1245,Lendu,2,1676
limb1268,Limbum,1,1057
lugb1240,Lugbara,1,1225
maas1239,Maasina Fulfulde,2,298
madi1260,Ma'di,1,1387
mboc1235,Mbo (Cameroon),1,835
meta1238,Meta',1,1032
mofu1248,Mofu-Gudur,1,730
mund1326,Mündü,1,872
mund1327,Mundani,1,321
nawd1238,Nawdm,1,333
ngas1240,Ngas,1,1130
nort2775,Northwest Gbaya,1,961
nort2780,Northern Dagara,3,305
nort2787,Northern Toussian,1,417
nucl1683,Daba,1,813
pula1262,Pular,2,123
pula1263,Pulaar,2,47
sena1262,Senara Sénoufo,1,361
sere1260,Sereer,2,4
soni1259,Soninke,2,157
suda1236,Sudanese Arabic,2,504
tama1365,Tamasheq,1,292
tika1246,Tikar,1,815
veng1238,Vengo,1,1680
west2454,Western Niger Fulfulde,2,293
west2466,Western Karaboro,1,292
yamb1251,Yamba,1,1160
yamb1252,Yambeta,1,717
yemb1246,Yemba,1,1324
zulg1242,Zulgo-Gemzek,1,719
