Glottocode,language,coronal,elevation
abid1235,Abidji,9,96
adam1253,Adamawa Fulfulde,10,370
adan1247,Adangme,9,50
adio1239,Adioukrou,9,68
ajab1235,Aja (Benin),23,152
akan1250,Akan,7,166
akoo1248,Akoose,10,859
anuf1239,Anufo,9,137
anyi1244,Anyin Morofo,9,79
avok1242,Avokaya,16,853
baan1242,Baangi,12,410
baat1238,Baatonum,6,379
bafu1246,Bafut,11,822
baka1272,Baka (Cameroon),10,548
bamb1269,Bambara,10,386
band1345,Banda-Ndélé,29,824
band1352,Bandi,7,385
baou1238,Baoulé,10,9
basa1284,Basa (Cameroon),11,179
bekw1241,Bekwarra,10,96
beng1286,Beng,10,214
bero1242,Berom,11,1221
bhel1238,Bhele,8,1142
bial1238,Biali,6,147
bimo1239,Bimoba,9,177
bini1246,Bini,9,126
biss1248,Bissa,10,263
boko1266,Boko (Benin),6,320
bulu1251,Bulu (Cameroon),10,706
came1252,Donga Mambila,10,781
cent2018,Central-Eastern Niger Fulfulde,12,471
cent2050,Central Kanuri,10,314
cerm1238,Cerma,8,314
chum1261,Chumburung,9,93
cros1244,Cross River Mbembe,12,41
dagb1246,Dagbani,9,181
dann1241,Dan,6,324
daza1242,Dazaga,11,304
degg1238,Deg,9,163
dita1238,Ditammari,6,313
doya1240,Doyayo,8,309
dual1243,Duala,11,9
duru1249,Duruma,20,221
dyul1238,Dyula,10,274
east2426,Eastern Maninkakan,9,632
ebir1243,Ebira,9,200
ejag1239,Ejagham,8,220
emai1241,Emai-Iuleha-Ora,12,148
enge1239,Engenni,8,20
ewee1241,Ewe,10,114
ewon1239,Ewondo,6,593
fefe1239,Fe'fe',10,1444
fonn1241,Fon,11,154
fuli1240,Fuliiru,13,1629
gaaa1244,Ga,10,94
gagn1235,Gagnoa Bété,9,211
gand1255,Ganda,9,1295
gbay1287,Gbaya-Bossangoa,10,476
gbay1288,Gbaya (Sudan),19,596
genn1243,Gen,20,0
godi1239,Godié,9,205
gonj1241,Gonja,11,93
gour1243,Gourmanchéma,8,201
gude1246,Gude,13,874
guin1254,Guinea Kpelle,10,446
hain1253,Hainyaxo Bozo,9,283
hang1258,Hanga,9,153
haus1257,Hausa,26,600
ifee1241,Ifè,8,214
iged1239,Igede,10,76
igoo1238,Igo,10,722
izii1239,Izi,17,72
jola1263,Jola-Fonyi,9,31
jurm1239,Jur Modo,15,492
kabi1261,Kabiyé,11,191
kako1242,Kako,12,594
kara1478,Karang,11,596
kase1253,Kasem,19,277
kiku1240,Kikuyu,8,2715
kita1249,Kita Maninkakan,9,344
kitu1245,Kituba (Congo),7,466
komc1235,Kom (Cameroon),30,1789
komo1260,Komo (Democratic Republic of Congo),11,586
konk1269,Konkomba,9,149
koon1245,Koonzime,9,675
koyr1240,Koyra Chiini Songhay,11,264
krio1253,Krio,10,11
kuri1259,Kuria,7,1176
kusa1250,Kusaal,7,173
lako1244,Lakota Dida,9,165
lama1275,Lama (Togo),8,457
lamn1239,Lamnso',10,1352
lele1276,Lele (Chad),10,399
lend1245,Lendu,23,1676
libe1247,Liberia Kpelle,7,285
ligb1244,Ligbi,9,315
limb1268,Limbum,9,1057
ling1263,Lingala,7,342
loko1255,Loko,6,90
loma1260,Loma (Liberia),10,474
lugb1240,Lugbara,11,1225
lukp1238,Lukpa,6,397
luok1236,Luo (Kenya and Tanzania),14,1467
lyel1241,Lyélé,14,275
maas1239,Maasina Fulfulde,12,298
madi1260,Ma'di,10,1387
maka1304,Makaa,15,693
mama1271,Mamara Senoufo,11,323
mamp1244,Mampruli,9,152
mang1394,Mangbetu,14,736
mboc1235,Mbo (Cameroon),9,835
mend1266,Mende (Sierra Leone),8,172
meta1238,Meta',8,1032
mofu1248,Mofu-Gudur,14,730
moss1236,Mossi,7,157
mund1326,Mündü,13,872
mund1327,Mundani,9,321
murl1244,Murle,11,452
mwag1236,Mwaghavul,12,1330
mwan1250,Mwan,7,281
nafa1258,Nafaanra,11,307
nawd1238,Nawdm,7,333
ngam1268,Ngambay,8,479
ngan1299,Ngangam,9,161
ngas1240,Ngas,12,1130
ngba1285,Ngbaka Minagende,8,363
ngie1241,Ngiemboon,6,1797
nige1255,Western Mambila,11,1281
noma1260,Nomaande,6,759
nort2765,Northern Kissi,8,416
nort2774,Northern Ngbandi,7,404
nort2775,Northwest Gbaya,10,961
nort2780,Northern Dagara,9,305
nort2784,Northern Nuni,10,285
nort2787,Northern Toussian,6,417
nort2810,Northern Grebo,8,205
nort2819,Northern Bobo Madaré,9,467
ntch1242,Ntcham,9,243
nucl1347,Wolof,18,53
nucl1417,Igbo,11,8
nucl1418,Bassa,9,56
nucl1683,Daba,14,813
nugu1242,Nugunu (Cameroon),6,481
nupe1254,Nupe-Nupe-Tako,13,127
nyab1255,Nyabwa,9,254
park1239,Parkwa,14,541
pula1262,Pular,12,123
pula1263,Pulaar,12,47
rend1243,Rendille,10,532
saba1262,Sabaot,7,3036
sang1328,Sango,20,503
sena1262,Senara Sénoufo,7,361
sere1260,Sereer,14,4
siss1242,Sissala of Burkina Faso,19,292
soni1259,Soninke,25,157
sout2774,Southeast Ijo,10,7
sout2789,Central Dagaare,9,342
suda1236,Sudanese Arabic,26,504
susu1250,Susu,9,238
swah1253,Swahili,16,200
tama1365,Tamasheq,10,292
taro1263,Tarok,13,210
tawa1286,Tawallammat Tamajaq,12,282
teda1241,Tedaga,12,477
teen1242,Téén,11,329
temm1241,Tem,11,383
tepo1239,Tepo Krumen,7,192
tika1246,Tikar,11,815
timn1235,Timne,7,48
tofi1235,Tofin Gbe,10,0
topo1242,Toposa,9,458
toro1252,Toro So Dogon,10,279
tour1242,Toura (Côte d'Ivoire),5,546
vagl1239,Vagla,10,345
veng1238,Vengo,29,1680
vute1244,Vute,12,894
waam1244,Waama,5,477
wann1242,Wan,7,274
weno1238,Wobe-Wè Northern,6,314
west2450,West-Central Limba,7,63
west2454,Western Niger Fulfulde,12,293
west2466,Western Karaboro,6,292
west2500,Western Maninkakan,9,71
yamb1251,Yamba,11,1160
yamb1252,Yambeta,8,717
yaou1238,Yaouré,11,235
yemb1246,Yemba,9,1324
yomm1242,Yom,10,418
yoru1245,Yoruba,16,105
zand1248,Zande,9,638
zarm1239,Zarma-Kaado,10,178
zulg1242,Zulgo-Gemzek,14,719
