Glottocode,language,low,elevation
abid1235,Abidji,2,96
adam1253,Adamawa Fulfulde,2,370
adan1247,Adangme,2,50
adio1239,Adioukrou,1,68
ajab1235,Aja (Benin),4,152
akan1250,Akan,1,166
akoo1248,Akoose,3,859
anuf1239,Anufo,3,137
anyi1244,Anyin Morofo,2,79
avok1242,Avokaya,2,853
baan1242,Baangi,3,410
baat1238,Baatonum,2,379
bafu1246,Bafut,2,822
baka1272,Baka (Cameroon),1,548
bamb1269,Bambara,3,386
band1345,Banda-Ndélé,2,824
band1352,Bandi,3,385
baou1238,Baoulé,2,9
basa1284,Basa (Cameroon),1,179
bekw1241,Bekwarra,2,96
beng1286,Beng,3,214
bero1242,Berom,1,1221
bhel1238,Bhele,1,1142
bial1238,Biali,2,147
bimo1239,Bimoba,3,177
bini1246,Bini,3,126
biss1248,Bissa,2,263
boko1266,Boko (Benin),2,320
bulu1251,Bulu (Cameroon),1,706
came1252,Donga Mambila,2,781
cent2018,Central-Eastern Niger Fulfulde,2,471
cent2050,Central Kanuri,2,314
cerm1238,Cerma,3,314
chum1261,Chumburung,1,93
cros1244,Cross River Mbembe,1,41
dagb1246,Dagbani,1,181
dann1241,Dan,6,324
daza1242,Dazaga,1,304
degg1238,Deg,3,163
dita1238,Ditammari,2,313
doya1240,Doyayo,4,309
dual1243,Duala,1,9
duru1249,Duruma,1,221
dyul1238,Dyula,2,274
east2426,Eastern Maninkakan,2,632
ebir1243,Ebira,1,200
ejag1239,Ejagham,1,220
emai1241,Emai-Iuleha-Ora,3,148
enge1239,Engenni,1,20
ewee1241,Ewe,2,114
ewon1239,Ewondo,1,593
fefe1239,Fe'fe',4,1444
fonn1241,Fon,2,154
fuli1240,Fuliiru,2,1629
gaaa1244,Ga,2,94
gagn1235,Gagnoa Bété,2,211
gand1255,Ganda,2,1295
gbay1287,Gbaya-Bossangoa,2,476
gbay1288,Gbaya (Sudan),4,596
genn1243,Gen,4,0
godi1239,Godié,1,205
gonj1241,Gonja,2,93
gour1243,Gourmanchéma,2,201
gude1246,Gude,1,874
guin1254,Guinea Kpelle,1,446
hain1253,Hainyaxo Bozo,2,283
hang1258,Hanga,1,153
haus1257,Hausa,4,600
ifee1241,Ifè,2,214
iged1239,Igede,1,76
igoo1238,Igo,1,722
izii1239,Izi,1,72
jola1263,Jola-Fonyi,2,31
jurm1239,Jur Modo,2,492
kabi1261,Kabiyé,2,191
kako1242,Kako,2,594
kara1478,Karang,1,596
kase1253,Kasem,4,277
kiku1240,Kikuyu,2,2715
kita1249,Kita Maninkakan,2,344
kitu1245,Kituba (Congo),1,466
komc1235,Kom (Cameroon),2,1789
komo1260,Komo (Democratic Republic of Congo),1,586
konk1269,Konkomba,2,149
koon1245,Koonzime,2,675
koyr1240,Koyra Chiini Songhay,3,264
krio1253,Krio,1,11
kuri1259,Kuria,1,1176
kusa1250,Kusaal,2,173
lako1244,Lakota Dida,3,165
lama1275,Lama (Togo),3,457
lamn1239,Lamnso',2,1352
lele1276,Lele (Chad),2,399
lend1245,Lendu,1,1676
libe1247,Liberia Kpelle,3,285
ligb1244,Ligbi,2,315
limb1268,Limbum,1,1057
ling1263,Lingala,1,342
loko1255,Loko,1,90
loma1260,Loma (Liberia),1,474
lugb1240,Lugbara,1,1225
lukp1238,Lukpa,2,397
luok1236,Luo (Kenya and Tanzania),1,1467
lyel1241,Lyélé,2,275
maas1239,Maasina Fulfulde,2,298
madi1260,Ma'di,1,1387
maka1304,Makaa,2,693
mama1271,Mamara Senoufo,4,323
mamp1244,Mampruli,2,152
mang1394,Mangbetu,1,736
mboc1235,Mbo (Cameroon),1,835
mend1266,Mende (Sierra Leone),1,172
meta1238,Meta',1,1032
mofu1248,Mofu-Gudur,2,730
moss1236,Mossi,3,157
mund1326,Mündü,1,872
mund1327,Mundani,2,321
murl1244,Murle,2,452
mwag1236,Mwaghavul,2,1330
mwan1250,Mwan,2,281
nafa1258,Nafaanra,3,307
nawd1238,Nawdm,2,333
ngam1268,Ngambay,2,479
ngan1299,Ngangam,2,161
ngas1240,Ngas,2,1130
ngba1285,Ngbaka Minagende,2,363
ngie1241,Ngiemboon,1,1797
nige1255,Western Mambila,4,1281
noma1260,Nomaande,2,759
nort2765,Northern Kissi,2,416
nort2774,Northern Ngbandi,2,404
nort2775,Northwest Gbaya,3,961
nort2780,Northern Dagara,1,305
nort2784,Northern Nuni,3,285
nort2787,Northern Toussian,2,417
nort2810,Northern Grebo,1,205
nort2819,Northern Bobo Madaré,3,467
ntch1242,Ntcham,1,243
nucl1347,Wolof,3,53
nucl1417,Igbo,1,8
nucl1418,Bassa,1,56
nucl1683,Daba,1,813
nugu1242,Nugunu (Cameroon),1,481
nupe1254,Nupe-Nupe-Tako,2,127
nyab1255,Nyabwa,2,254
park1239,Parkwa,1,541
pula1262,Pular,2,123
pula1263,Pulaar,2,47
rend1243,Rendille,3,532
saba1262,Sabaot,4,3036
sang1328,Sango,4,503
sena1262,Senara Sénoufo,4,361
sere1260,Sereer,2,4
siss1242,Sissala of Burkina Faso,5,292
soni1259,Soninke,6,157
sout2774,Southeast Ijo,2,7
sout2789,Central Dagaare,3,342
suda1236,Sudanese Arabic,6,504
susu1250,Susu,2,238
swah1253,Swahili,1,200
tama1365,Tamasheq,6,292
taro1263,Tarok,1,210
tawa1286,Tawallammat Tamajaq,2,282
teda1241,Tedaga,1,477
teen1242,Téén,1,329
temm1241,Tem,1,383
tepo1239,Tepo Krumen,2,192
tika1246,Tikar,4,815
timn1235,Timne,1,48
tofi1235,Tofin Gbe,2,0
topo1242,Toposa,1,458
toro1252,Toro So Dogon,3,279
tour1242,Toura (Côte d'Ivoire),3,546
vagl1239,Vagla,3,345
veng1238,Vengo,2,1680
vute1244,Vute,3,894
waam1244,Waama,4,477
wann1242,Wan,2,274
weno1238,Wobe-Wè Northern,3,314
west2450,West-Central Limba,1,63
west2454,Western Niger Fulfulde,1,293
west2466,Western Karaboro,3,292
west2500,Western Maninkakan,1,71
yamb1251,Yamba,1,1160
yamb1252,Yambeta,1,717
yaou1238,Yaouré,2,235
yemb1246,Yemba,1,1324
yomm1242,Yom,1,418
yoru1245,Yoruba,3,105
zand1248,Zande,1,638
zarm1239,Zarma-Kaado,4,178
zulg1242,Zulgo-Gemzek,1,719
