Glottocode,language,nasal,elevation
abid1235,Abidji,12,96
adam1253,Adamawa Fulfulde,4,370
adan1247,Adangme,10,50
adio1239,Adioukrou,4,68
ajab1235,Aja (Benin),20,152
akan1250,Akan,4,166
akoo1248,Akoose,4,859
anuf1239,Anufo,10,137
anyi1244,Anyin Morofo,10,79
avok1242,Avokaya,4,853
baan1242,Baangi,11,410
baat1238,Baatonum,7,379
bafu1246,Bafut,3,822
baka1272,Baka (Cameroon),3,548
bamb1269,Bambara,11,386
band1345,Banda-Ndélé,6,824
band1352,Bandi,10,385
baou1238,Baoulé,8,9
basa1284,Basa (Cameroon),5,179
bekw1241,Bekwarra,5,96
beng1286,Beng,10,214
bero1242,Berom,3,1221
bhel1238,Bhele,3,1142
bial1238,Biali,6,147
bimo1239,Bimoba,11,177
bini1246,Bini,10,126
biss1248,Bissa,9,263
boko1266,Boko (Benin),7,320
bulu1251,Bulu (Cameroon),4,706
came1252,Donga Mambila,4,781
cent2018,Central-Eastern Niger Fulfulde,4,471
cent2050,Central Kanuri,3,314
cerm1238,Cerma,10,314
chum1261,Chumburung,4,93
cros1244,Cross River Mbembe,4,41
dagb1246,Dagbani,5,181
dann1241,Dan,12,324
daza1242,Dazaga,4,304
degg1238,Deg,14,163
dita1238,Ditammari,9,313
doya1240,Doyayo,11,309
dual1243,Duala,4,9
duru1249,Duruma,5,221
dyul1238,Dyula,11,274
east2426,Eastern Maninkakan,10,632
ebir1243,Ebira,4,200
ejag1239,Ejagham,4,220
emai1241,Emai-Iuleha-Ora,11,148
enge1239,Engenni,2,20
ewee1241,Ewe,9,114
ewon1239,Ewondo,3,593
fefe1239,Fe'fe',3,1444
fonn1241,Fon,10,154
fuli1240,Fuliiru,3,1629
gaaa1244,Ga,10,94
gagn1235,Gagnoa Bété,4,211
gand1255,Ganda,4,1295
gbay1287,Gbaya-Bossangoa,10,476
gbay1288,Gbaya (Sudan),3,596
genn1243,Gen,20,0
godi1239,Godié,5,205
gonj1241,Gonja,4,93
gour1243,Gourmanchéma,5,201
gude1246,Gude,3,874
guin1254,Guinea Kpelle,4,446
hain1253,Hainyaxo Bozo,4,283
hang1258,Hanga,5,153
haus1257,Hausa,4,600
ifee1241,Ifè,5,214
iged1239,Igede,5,76
igoo1238,Igo,4,722
izii1239,Izi,6,72
jola1263,Jola-Fonyi,4,31
jurm1239,Jur Modo,5,492
kabi1261,Kabiyé,4,191
kako1242,Kako,10,594
kara1478,Karang,3,596
kase1253,Kasem,8,277
kiku1240,Kikuyu,4,2715
kita1249,Kita Maninkakan,3,344
kitu1245,Kituba (Congo),4,466
komc1235,Kom (Cameroon),8,1789
komo1260,Komo (Democratic Republic of Congo),3,586
konk1269,Konkomba,5,149
koon1245,Koonzime,4,675
koyr1240,Koyra Chiini Songhay,9,264
krio1253,Krio,3,11
kuri1259,Kuria,3,1176
kusa1250,Kusaal,7,173
lako1244,Lakota Dida,14,165
lama1275,Lama (Togo),15,457
lamn1239,Lamnso',4,1352
lele1276,Lele (Chad),3,399
lend1245,Lendu,3,1676
libe1247,Liberia Kpelle,10,285
ligb1244,Ligbi,11,315
limb1268,Limbum,3,1057
ling1263,Lingala,4,342
loko1255,Loko,4,90
loma1260,Loma (Liberia),11,474
lugb1240,Lugbara,4,1225
lukp1238,Lukpa,5,397
luok1236,Luo (Kenya and Tanzania),4,1467
lyel1241,Lyélé,12,275
maas1239,Maasina Fulfulde,4,298
madi1260,Ma'di,4,1387
maka1304,Makaa,6,693
mama1271,Mamara Senoufo,11,323
mamp1244,Mampruli,5,152
mang1394,Mangbetu,3,736
mboc1235,Mbo (Cameroon),4,835
mend1266,Mende (Sierra Leone),4,172
meta1238,Meta',3,1032
mofu1248,Mofu-Gudur,3,730
moss1236,Mossi,10,157
mund1326,Mündü,3,872
mund1327,Mundani,11,321
murl1244,Murle,4,452
mwag1236,Mwaghavul,6,1330
mwan1250,Mwan,6,281
nafa1258,Nafaanra,10,307
nawd1238,Nawdm,4,333
ngam1268,Ngambay,7,479
ngan1299,Ngangam,12,161
ngas1240,Ngas,3,1130
ngba1285,Ngbaka Minagende,9,363
ngie1241,Ngiemboon,3,1797
nige1255,Western Mambila,4,1281
noma1260,Nomaande,4,759
nort2765,Northern Kissi,9,416
nort2774,Northern Ngbandi,8,404
nort2775,Northwest Gbaya,10,961
nort2780,Northern Dagara,5,305
nort2784,Northern Nuni,14,285
nort2787,Northern Toussian,9,417
nort2810,Northern Grebo,10,205
nort2819,Northern Bobo Madaré,9,467
ntch1242,Ntcham,5,243
nucl1347,Wolof,8,53
nucl1417,Igbo,5,8
nucl1418,Bassa,3,56
nucl1683,Daba,3,813
nugu1242,Nugunu (Cameroon),3,481
nupe1254,Nupe-Nupe-Tako,2,127
nyab1255,Nyabwa,11,254
park1239,Parkwa,4,541
pula1262,Pular,4,123
pula1263,Pulaar,4,47
rend1243,Rendille,4,532
saba1262,Sabaot,4,3036
sang1328,Sango,18,503
sena1262,Senara Sénoufo,15,361
sere1260,Sereer,4,4
siss1242,Sissala of Burkina Faso,18,292
soni1259,Soninke,20,157
sout2774,Southeast Ijo,12,7
sout2789,Central Dagaare,14,342
suda1236,Sudanese Arabic,4,504
susu1250,Susu,4,238
swah1253,Swahili,4,200
tama1365,Tamasheq,10,292
taro1263,Tarok,4,210
tawa1286,Tawallammat Tamajaq,3,282
teda1241,Tedaga,4,477
teen1242,Téén,4,329
temm1241,Tem,5,383
tepo1239,Tepo Krumen,9,192
tika1246,Tikar,4,815
timn1235,Timne,3,48
tofi1235,Tofin Gbe,10,0
topo1242,Toposa,4,458
toro1252,Toro So Dogon,11,279
tour1242,Toura (Côte d'Ivoire),10,546
vagl1239,Vagla,15,345
veng1238,Vengo,8,1680
vute1244,Vute,12,894
waam1244,Waama,13,477
wann1242,Wan,6,274
weno1238,Wobe-Wè Northern,9,314
west2450,West-Central Limba,3,63
west2454,Western Niger Fulfulde,4,293
west2466,Western Karaboro,10,292
west2500,Western Maninkakan,4,71
yamb1251,Yamba,3,1160
yamb1252,Yambeta,4,717
yaou1238,Yaouré,12,235
yemb1246,Yemba,3,1324
yomm1242,Yom,5,418
yoru1245,Yoruba,13,105
zand1248,Zande,3,638
zarm1239,Zarma-Kaado,10,178
zulg1242,Zulgo-Gemzek,3,719
