Glottocode,language,strident,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,1,370
adan1247,Adangme,4,50
adio1239,Adioukrou,3,68
ajab1235,Aja (Benin),10,152
akan1250,Akan,1,166
akoo1248,Akoose,3,859
anuf1239,Anufo,4,137
anyi1244,Anyin Morofo,3,79
avok1242,Avokaya,5,853
baan1242,Baangi,6,410
baat1238,Baatonum,1,379
bafu1246,Bafut,6,822
baka1272,Baka (Cameroon),1,548
bamb1269,Bambara,4,386
band1345,Banda-Ndélé,14,824
band1352,Bandi,2,385
baou1238,Baoulé,2,9
basa1284,Basa (Cameroon),1,179
bekw1241,Bekwarra,4,96
beng1286,Beng,2,214
bero1242,Berom,6,1221
bhel1238,Bhele,2,1142
bial1238,Biali,1,147
bimo1239,Bimoba,3,177
bini1246,Bini,2,126
biss1248,Bissa,4,263
boko1266,Boko (Benin),2,320
bulu1251,Bulu (Cameroon),2,706
came1252,Donga Mambila,4,781
cent2018,Central-Eastern Niger Fulfulde,2,471
cent2050,Central Kanuri,2,314
cerm1238,Cerma,3,314
chum1261,Chumburung,3,93
cros1244,Cross River Mbembe,5,41
dagb1246,Dagbani,4,181
dann1241,Dan,2,324
daza1242,Dazaga,5,304
degg1238,Deg,3,163
dita1238,Ditammari,2,313
doya1240,Doyayo,2,309
dual1243,Duala,1,9
duru1249,Duruma,11,221
dyul1238,Dyula,4,274
east2426,Eastern Maninkakan,4,632
ebir1243,Ebira,4,200
ejag1239,Ejagham,3,220
emai1241,Emai-Iuleha-Ora,5,148
enge1239,Engenni,2,20
ewee1241,Ewe,4,114
ewon1239,Ewondo,2,593
fefe1239,Fe'fe',6,1444
fonn1241,Fon,4,154
fuli1240,Fuliiru,4,1629
gaaa1244,Ga,5,94
gagn1235,Gagnoa Bété,2,211
gand1255,Ganda,4,1295
gbay1287,Gbaya-Bossangoa,2,476
gbay1288,Gbaya (Sudan),7,596
genn1243,Gen,8,0
godi1239,Godié,2,205
gonj1241,Gonja,5,93
gour1243,Gourmanchéma,3,201
gude1246,Gude,5,874
guin1254,Guinea Kpelle,2,446
hain1253,Hainyaxo Bozo,3,283
hang1258,Hanga,4,153
haus1257,Hausa,11,600
ifee1241,Ifè,4,214
iged1239,Igede,4,76
igoo1238,Igo,4,722
izii1239,Izi,7,72
jola1263,Jola-Fonyi,1,31
jurm1239,Jur Modo,5,492
kabi1261,Kabiyé,4,191
kako1242,Kako,1,594
kara1478,Karang,2,596
kase1253,Kasem,8,277
kiku1240,Kikuyu,1,2715
kita1249,Kita Maninkakan,3,344
kitu1245,Kituba (Congo),2,466
komc1235,Kom (Cameroon),13,1789
komo1260,Komo (Democratic Republic of Congo),1,586
konk1269,Konkomba,3,149
koon1245,Koonzime,2,675
koyr1240,Koyra Chiini Songhay,5,264
krio1253,Krio,5,11
kuri1259,Kuria,1,1176
kusa1250,Kusaal,2,173
lako1244,Lakota Dida,2,165
lama1275,Lama (Togo),2,457
lamn1239,Lamnso',4,1352
lele1276,Lele (Chad),3,399
lend1245,Lendu,10,1676
libe1247,Liberia Kpelle,2,285
ligb1244,Ligbi,4,315
limb1268,Limbum,4,1057
ling1263,Lingala,2,342
loko1255,Loko,2,90
loma1260,Loma (Liberia),3,474
lugb1240,Lugbara,4,1225
lukp1238,Lukpa,2,397
luok1236,Luo (Kenya and Tanzania),1,1467
lyel1241,Lyélé,4,275
maas1239,Maasina Fulfulde,4,298
madi1260,Ma'di,4,1387
maka1304,Makaa,8,693
mama1271,Mamara Senoufo,6,323
mamp1244,Mampruli,2,152
