Glottocode,language,trill,elevation
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,1,370
adio1239,Adioukrou,1,68
ajab1235,Aja (Benin),1,152
akan1250,Akan,1,166
avok1242,Avokaya,1,853
baan1242,Baangi,1,410
baat1238,Baatonum,1,379
bafu1246,Bafut,1,822
bamb1269,Bambara,1,386
band1345,Banda-Ndélé,1,824
baou1238,Baoulé,1,9
basa1284,Basa (Cameroon),1,179
bekw1241,Bekwarra,1,96
beng1286,Beng,1,214
bero1242,Berom,1,1221
bimo1239,Bimoba,1,177
bini1246,Bini,1,126
biss1248,Bissa,1,263
cent2018,Central-Eastern Niger Fulfulde,1,471
cerm1238,Cerma,1,314
chum1261,Chumburung,1,93
cros1244,Cross River Mbembe,1,41
daza1242,Dazaga,1,304
degg1238,Deg,1,163
dita1238,Ditammari,1,313
doya1240,Doyayo,1,309
duru1249,Duruma,1,221
dyul1238,Dyula,1,274
east2426,Eastern Maninkakan,1,632
ebir1243,Ebira,1,200
ejag1239,Ejagham,1,220
emai1241,Emai-Iuleha-Ora,1,148
enge1239,Engenni,1,20
fonn1241,Fon,1,154
fuli1240,Fuliiru,1,1629
gbay1287,Gbaya-Bossangoa,1,476
gbay1288,Gbaya (Sudan),1,596
gonj1241,Gonja,1,93
guin1254,Guinea Kpelle,1,446
hain1253,Hainyaxo Bozo,1,283
haus1257,Hausa,1,600
ifee1241,Ifè,1,214
iged1239,Igede,1,76
izii1239,Izi,2,72
jurm1239,Jur Modo,1,492
kabi1261,Kabiyé,1,191
kako1242,Kako,1,594
kara1478,Karang,1,596
kase1253,Kasem,1,277
kita1249,Kita Maninkakan,1,344
konk1269,Konkomba,1,149
koyr1240,Koyra Chiini Songhay,1,264
krio1253,Krio,1,11
kusa1250,Kusaal,1,173
lama1275,Lama (Togo),1,457
lamn1239,Lamnso',1,1352
lele1276,Lele (Chad),1,399
lend1245,Lendu,1,1676
libe1247,Liberia Kpelle,1,285
limb1268,Limbum,1,1057
lugb1240,Lugbara,1,1225
luok1236,Luo (Kenya and Tanzania),1,1467
lyel1241,Lyélé,1,275
maas1239,Maasina Fulfulde,1,298
madi1260,Ma'di,1,1387
meta1238,Meta',1,1032
mofu1248,Mofu-Gudur,1,730
moss1236,Mossi,1,157
mund1326,Mündü,1,872
mwag1236,Mwaghavul,1,1330
nafa1258,Nafaanra,1,307
nawd1238,Nawdm,1,333
ngam1268,Ngambay,1,479
ngan1299,Ngangam,1,161
ngas1240,Ngas,1,1130
nige1255,Western Mambila,1,1281
nort2775,Northwest Gbaya,1,961
nort2784,Northern Nuni,1,285
nort2787,Northern Toussian,1,417
nort2819,Northern Bobo Madaré,1,467
ntch1242,Ntcham,1,243
nucl1417,Igbo,1,8
nucl1683,Daba,1,813
nupe1254,Nupe-Nupe-Tako,1,127
park1239,Parkwa,1,541
pula1262,Pular,1,123
rend1243,Rendille,1,532
saba1262,Sabaot,1,3036
sang1328,Sango,2,503
sere1260,Sereer,1,4
siss1242,Sissala of Burkina Faso,1,292
soni1259,Soninke,1,157
sout2774,Southeast Ijo,1,7
suda1236,Sudanese Arabic,2,504
susu1250,Susu,1,238
swah1253,Swahili,1,200
tama1365,Tamasheq,1,292
taro1263,Tarok,1,210
tawa1286,Tawallammat Tamajaq,1,282
teda1241,Tedaga,1,477
teen1242,Téén,1,329
temm1241,Tem,1,383
tepo1239,Tepo Krumen,1,192
timn1235,Timne,1,48
topo1242,Toposa,1,458
toro1252,Toro So Dogon,1,279
vagl1239,Vagla,1,345
vute1244,Vute,1,894
west2450,West-Central Limba,1,63
west2454,Western Niger Fulfulde,1,293
west2466,Western Karaboro,1,292
west2500,Western Maninkakan,1,71
yamb1251,Yamba,1,1160
yaou1238,Yaouré,1,235
yomm1242,Yom,1,418
yoru1245,Yoruba,2,105
zand1248,Zande,1,638
zarm1239,Zarma-Kaado,1,178
zulg1242,Zulgo-Gemzek,1,719
