,language,anterior,elevation
aari1239,Aari,10,1513
abar1238,Mungbam,10,777
abid1235,Abidji,6,96
abua1244,Abua,9,10
abur1243,Abure,5,4
ache1245,Acheron,7,927
acol1236,Acoli,6,867
adam1253,Adamawa Fulfulde,20,370
adio1239,Adioukrou,6,68
afar1241,Afar,6,323
afit1238,Afitti,6,568
afri1274,Afrikaans,6,581
aghe1239,Aghem,6,1047
ahan1243,Ahanta,5,37
ahan1244,Àhàn,7,302
ajas1235,Aja (Sudan),12,609
akan1250,Akan,15,166
akas1242,Akaselem,5,319
akoo1248,Akoose,6,859
akpe1248,Akpes,8,294
alab1254,Alaba-K'abeena,16,2073
alla1248,Alladian,6,14
ambo1250,Ambonese Malay,6,176
anfi1235,Anfillo,17,1472
ango1258,Angolar,7,104
anii1245,Anii,6,395
anuf1239,Anufo,12,137
anyi1244,Anyin Morofo,8,79
anyi1245,Anyin,14,181
arbo1245,Arbore,18,504
argo1244,Argobba,7,2752
arin1244,Aringa,15,870
ashe1269,Ashe,6,667
atti1239,Attié,7,72
avat1244,Avatime,8,171
avik1243,Avikam,7,11
awng1244,Awngi,9,2024
ayer1245,Ayere,7,396
bade1248,Bade,11,341
bady1239,Jaad-Badyara,8,62
bafa1249,Bafanji,7,1171
bafi1243,Bafia,16,577
bagi1246,Bagirmi,7,302
baka1272,Baka (Cameroon),7,548
baka1273,Bakaka,16,517
baka1274,Baka (Sudan),13,885
bala1302,Balanta-Ganja,10,21
bali1278,Balinese,6,1283
bamb1262,Bambassi,9,1454
bamb1269,Bambara,7,386
bana1305,Bana,13,851
band1353,Banda Malay,6,260
bank1256,Bankon,7,84
bare1279,Barain,42,395
bass1260,Bassossi,6,325
bata1293,Batak Karo,6,7
bela1255,Belanda Viri,10,501
bela1256,Belanda Bor,9,514
bela1260,Lemeting,5,18
bena1262,Bena (Tanzania),8,1738
benc1235,Bench,27,2236
biak1248,Biak,5,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,5,15
bila1255,Bila,5,788
bili1260,Bilin,8,1678
bomi1238,Bomitaba,5,316
bora1271,Borana-Arsi-Guji Oromo,8,733
boun1243,Bouna Kulango,7,251
buam1238,Buamu,6,319
budu1250,Budu,8,778
bugi1244,Buginese,6,62
buli1254,Buli (Ghana),7,204
bumm1238,Bum,10,1322
buol1237,Buol,6,134
burj1242,Burji,8,1406
buru1301,Burun,8,575
busa1253,Busa,5,243
buwa1243,Buwal,14,600
came1252,Donga Mambila,5,781
ceba1235,Cebaara Senoufo,14,390
cebu1242,Cebuano,6,372
cent2087,Coastal-Naga Bikol,9,182
cent2194,Central Moroccan Berber,13,1354
cher1271,Cherepon,8,201
chon1287,Chonyi-Dzihana-Kauma,15,65
dagi1241,Dagik,7,454
dann1241,Dan,16,324
defa1248,Defaka,5,6
dege1246,Degema,7,1
dghw1239,Dghwede,11,606
dibo1245,Dibole,10,321
didi1258,Didinga,13,1818
digo1243,Digo,15,19
dime1235,Dime,17,1906
diri1252,Diriku,6,1093
domp1238,Dompo,7,228
duru1249,Duruma,15,221
dzuu1241,Dzùùngoo,7,376
east2440,East Makian,6,308
east2563,Eastern Cham,7,24
east2652,Eastern Oromo,18,1408
ejag1239,Ejagham,5,220
eloy1241,Eloyi,9,126
eten1239,Eten,24,1256
eton1253,Eton-Mengisa,6,516
fali1285,Fali,13,776
fang1248,Fang (Cameroon),6,749
fern1234,Pichi,5,66
fipa1238,Fipa,6,1821
food1238,Foodo,7,375
fuli1240,Fuliiru,8,1629
gaaa1245,Gaa,6,545
gaam1241,Gaam,15,898
gagu1242,Gban,6,166
gamo1243,Gamo,10,1077
gava1241,Gavar,15,622
gbay1281,Gbaya-Mbodomo,10,697
gbes1238,Gbesi Gbe,8,62
ghom1247,Ghomálá',11,1552
giky1238,Gikyode,8,257
giny1241,Ginyanga,10,306
giry1241,Giryama,60,122
glav1244,Glavda,12,410
gude1246,Gude,13,874
