Glottocode,language,constrictedGlottis,elevation
aari1239,Aari,3,1513
abid1235,Abidji,1,96
adam1253,Adamawa Fulfulde,3,370
aghe1239,Aghem,1,1047
akoo1248,Akoose,1,859
alab1254,Alaba-K'abeena,10,2073
anfi1235,Anfillo,10,1472
anyi1245,Anyin,1,181
arbo1245,Arbore,7,504
argo1244,Argobba,6,2752
arin1244,Aringa,1,870
bafi1243,Bafia,1,577
bagi1246,Bagirmi,1,302
baka1272,Baka (Cameroon),1,548
baka1273,Bakaka,1,517
bala1302,Balanta-Ganja,1,21
bamb1262,Bambassi,5,1454
bana1305,Bana,2,851
bass1260,Bassossi,1,325
bela1260,Lemeting,1,18
benc1235,Bench,18,2236
bili1260,Bilin,5,1678
bora1271,Borana-Arsi-Guji Oromo,6,733
boun1243,Bouna Kulango,1,251
bugi1244,Buginese,1,62
buol1237,Buol,1,134
burj1242,Burji,5,1406
buru1301,Burun,1,575
ceba1235,Cebaara Senoufo,2,390
cebu1242,Cebuano,1,372
cent2087,Coastal-Naga Bikol,1,182
cent2194,Central Moroccan Berber,9,1354
chon1287,Chonyi-Dzihana-Kauma,1,65
digo1243,Digo,1,19
dime1235,Dime,9,1906
duru1249,Duruma,1,221
east2440,East Makian,1,308
east2563,Eastern Cham,1,24
east2652,Eastern Oromo,9,1408
fali1285,Fali,2,776
gamo1243,Gamo,4,1077
gava1241,Gavar,2,622
ghom1247,Ghomálá',1,1552
giry1241,Giryama,4,122
gude1246,Gude,1,874
gumu1244,Northern Gumuz,7,837
gwan1268,Gwandara,2,748
hadi1240,Hadiyya,12,2166
haio1238,Hai//om,1,1418
hara1271,Harari,4,1841
hdii1240,Hdi,1,588
hili1240,Hiligaynon,1,74
huaa1248,East Taa,27,1127
ilok1237,Iloko,1,287
indo1316,Indonesian,1,556
inor1238,Inor,21,2043
jams1239,Jamsay Dogon,1,280
java1254,Javanese,1,112
jola1262,Jola-Esulalu,1,18
jumj1238,Jumjum,1,487
kagf1238,Ut-Main,1,323
kamb1316,Kambaata,13,2120
kamw1239,Kamwe,1,576
kang1288,Kanga,4,473
kara1483,Karamojong,1,1142
kare1338,Kare (Central African Republic),1,997
katc1249,Katcha-Kadugli-Miri,6,473
keli1248,Keliko,2,1167
kima1244,Kimaragang,1,258
kist1241,Kistane,5,2644
komo1258,Komo (Sudan),5,767
konk1269,Konkomba,1,149
koor1239,Koorete,9,2321
koyr1240,Koyra Chiini Songhay,1,264
koyr1242,Koyraboro Senni Songhai,1,261
kron1241,Krongo,2,453
kung1261,North-Central Ju,15,1653
kupa1239,Kupang Malay,1,369
kwam1249,Kwama,5,1286
kwam1250,Kwami,1,708
kyen1242,Kyenga,1,203
lagw1237,Lagwan,5,300
lama1288,Lamang,1,1015
lara1260,Larantuka Malay,1,757
lese1243,Lese,1,973
limb1268,Limbum,3,1057
logo1259,Logo,1,901
maay1238,Maay,1,496
maba1273,Mabaan,1,428
mala1481,Manado Malay,1,41
mawa1270,Mawa (Chad),1,544
mayo1261,Mayogo,1,760
mboc1235,Mbo (Cameroon),3,835
mbuk1243,Mbuko,1,480
mbuu1238,Ajumbu,1,771
meen1242,Me'en,4,1009
mere1246,Merey,1,787
mesq1240,Mesqan,5,2134
mina1268,Minangkabau,1,10
mofu1248,Mofu-Gudur,1,730
moke1242,Moken,1,0
mokl1243,Moklen,1,17
mong1338,Mongo,1,381
mono1269,Mono (Cameroon),5,233
mori1268,Mori Bawah,1,541
mori1278,Morisyen,1,464
moro1284,Morokodo,1,574
moru1253,Moru,1,651
mpad1242,Mpade,4,290
mund1325,Mundang,5,390
ndai1238,Ndai,1,636
ndon1254,Ndonga,1,1095
ngaz1238,Ngazidja Comorian,1,475
ngit1239,Ngiti,1,1617
ngom1272,Ngomba,1,1454
ngwe1238,Ngwe,1,992
nias1242,Nias,1,0
niel1243,Niellim,1,358
nige1253,Hausa States Fulfulde,5,363
nort2795,Zimbabwean Ndebele,7,1179
nort2828,North Moluccan Malay,1,79
nort3047,North Giziga,1,488
nucl1440,Masalit,1,815
nucl1460,Madurese,1,108
nucl1683,Daba,2,813
nucl1696,Tangale,1,565
nyam1285,Nyam,1,244
olub1238,Olu'bo,1,721
opuu1239,T'apo,4,419
orma1241,Orma,4,141
otuh1238,Otuho,1,809
palo1243,Palor,1,100
pamp1243,Pampanga,1,29
pang1290,Pangasinan,1,15
pero1241,Pero,1,319
reel1238,Reel,1,431
sand1273,Sandawe,3,1208
seba1251,Sebat Bet Gurage,15,2272
sekp1241,Sekpele,1,301
shan1282,Shanga,1,156
sher1258,Sherbro,1,13
silt1240,Silt'e,7,2047
sooo1256,Soo,1,1901
sout2790,Southern Birifor,4,218
sout2828,Southern Ma'di,2,659
sout2833,South Central Dinka,17,432
sout2918,Southern Sama,1,21
suga1248,Nizaa,2,1263
taga1270,Tagalog,1,93
teng1272,Tengger,1,1226
tetu1245,Tetum,1,317
tigr1271,Tigrinya,6,2332
tsam1247,Tsamai,7,741
tsuv1239,Tsuvadi,1,257
tuli1249,Tulishi,1,623
tumt1243,Tumtum,1,487
tuni1251,Tunia,1,364
tupu1244,Tupuri,1,353
uduk1239,Uduk,5,862
west2458,West Central Banda,1,637
wola1242,Wolaytta,12,1324
xamt1239,Xamtanga,4,2165
xhos1239,Xhosa,10,1748
yemb1246,Yemba,1,1324
yems1235,Yemsa,5,2227
zagh1240,Beria,1,978
zayy1238,Zay,3,1636
