,language,continuant,elevation
aari1239,Aari,20,1513
abar1238,Mungbam,16,777
abid1235,Abidji,22,96
abua1244,Abua,22,10
abur1243,Abure,21,4
ache1245,Acheron,25,927
acol1236,Acoli,13,867
adam1253,Adamawa Fulfulde,37,370
adio1239,Adioukrou,14,68
afar1241,Afar,19,323
afit1238,Afitti,12,568
afri1274,Afrikaans,31,581
aghe1239,Aghem,27,1047
ahan1243,Ahanta,22,37
ahan1244,Àhàn,26,302
ajas1235,Aja (Sudan),27,609
akan1250,Akan,40,166
akas1242,Akaselem,34,319
akoo1248,Akoose,18,859
akpe1248,Akpes,19,294
alab1254,Alaba-K'abeena,30,2073
alla1248,Alladian,21,14
ambo1250,Ambonese Malay,11,176
anfi1235,Anfillo,21,1472
ango1258,Angolar,22,104
anii1245,Anii,19,395
anuf1239,Anufo,28,137
anyi1244,Anyin Morofo,22,79
anyi1245,Anyin,64,181
arbo1245,Arbore,26,504
argo1244,Argobba,19,2752
arin1244,Aringa,17,870
ashe1269,Ashe,19,667
atti1239,Attié,24,72
avat1244,Avatime,31,171
avik1243,Avikam,16,11
awng1244,Awngi,16,2024
ayer1245,Ayere,26,396
bade1248,Bade,24,341
bady1239,Jaad-Badyara,27,62
bafa1249,Bafanji,37,1171
bafi1243,Bafia,57,577
bagi1246,Bagirmi,27,302
baka1272,Baka (Cameroon),13,548
baka1273,Bakaka,59,517
baka1274,Baka (Sudan),27,885
bala1302,Balanta-Ganja,21,21
bali1278,Balinese,12,1283
bamb1262,Bambassi,18,1454
bamb1269,Bambara,34,386
bana1305,Bana,17,851
band1353,Banda Malay,11,260
bank1256,Bankon,13,84
bare1279,Barain,70,395
bass1260,Bassossi,18,325
bata1293,Batak Karo,13,7
bela1255,Belanda Viri,18,501
bela1256,Belanda Bor,15,514
bela1260,Lemeting,12,18
bena1262,Bena (Tanzania),17,1738
benc1235,Bench,34,2236
biak1248,Biak,11,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,11,15
bila1255,Bila,15,788
bili1260,Bilin,20,1678
bomi1238,Bomitaba,16,316
bora1271,Borana-Arsi-Guji Oromo,19,733
boun1243,Bouna Kulango,29,251
buam1238,Buamu,14,319
budu1250,Budu,15,778
bugi1244,Buginese,12,62
buli1254,Buli (Ghana),21,204
bumm1238,Bum,20,1322
buol1237,Buol,12,134
burj1242,Burji,19,1406
buru1301,Burun,24,575
busa1253,Busa,18,243
buwa1243,Buwal,16,600
came1252,Donga Mambila,18,781
