,language,delayedRelease,elevation
aari1239,Aari,11,1513
abar1238,Mungbam,6,777
abid1235,Abidji,5,96
abua1244,Abua,7,10
abur1243,Abure,4,4
ache1245,Acheron,2,927
adam1253,Adamawa Fulfulde,15,370
adio1239,Adioukrou,5,68
afar1241,Afar,5,323
afit1238,Afitti,2,568
afri1274,Afrikaans,5,581
aghe1239,Aghem,11,1047
ahan1243,Ahanta,9,37
ahan1244,Àhàn,9,302
ajas1235,Aja (Sudan),12,609
akan1250,Akan,8,166
akas1242,Akaselem,2,319
akoo1248,Akoose,3,859
akpe1248,Akpes,7,294
alab1254,Alaba-K'abeena,18,2073
alla1248,Alladian,6,14
ambo1250,Ambonese Malay,2,176
anfi1235,Anfillo,8,1472
ango1258,Angolar,8,104
anii1245,Anii,6,395
anuf1239,Anufo,9,137
anyi1244,Anyin Morofo,7,79
anyi1245,Anyin,13,181
arbo1245,Arbore,14,504
argo1244,Argobba,10,2752
arin1244,Aringa,8,870
ashe1269,Ashe,6,667
atti1239,Attié,9,72
avat1244,Avatime,12,171
avik1243,Avikam,9,11
awng1244,Awngi,10,2024
ayer1245,Ayere,9,396
bade1248,Bade,13,341
bady1239,Jaad-Badyara,7,62
bafa1249,Bafanji,7,1171
bafi1243,Bafia,15,577
bagi1246,Bagirmi,7,302
baka1272,Baka (Cameroon),5,548
baka1273,Bakaka,10,517
baka1274,Baka (Sudan),12,885
bala1302,Balanta-Ganja,9,21
bali1278,Balinese,4,1283
bamb1262,Bambassi,6,1454
bamb1269,Bambara,6,386
bana1305,Bana,13,851
band1353,Banda Malay,2,260
bank1256,Bankon,5,84
bare1279,Barain,8,395
bass1260,Bassossi,3,325
bata1293,Batak Karo,4,7
bela1255,Belanda Viri,7,501
bela1256,Belanda Bor,1,514
bela1260,Lemeting,3,18
bena1262,Bena (Tanzania),6,1738
benc1235,Bench,29,2236
biak1248,Biak,3,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,1,15
bila1255,Bila,5,788
bili1260,Bilin,12,1678
bomi1238,Bomitaba,4,316
bora1271,Borana-Arsi-Guji Oromo,5,733
boun1243,Bouna Kulango,8,251
buam1238,Buamu,5,319
budu1250,Budu,5,778
bugi1244,Buginese,4,62
buli1254,Buli (Ghana),6,204
bumm1238,Bum,14,1322
buol1237,Buol,4,134
burj1242,Burji,8,1406
buru1301,Burun,4,575
busa1253,Busa,4,243
buwa1243,Buwal,13,600
came1252,Donga Mambila,7,781
ceba1235,Cebaara Senoufo,16,390
cebu1242,Cebuano,4,372
cent2087,Coastal-Naga Bikol,7,182
cent2194,Central Moroccan Berber,17,1354
cher1271,Cherepon,5,201
chon1287,Chonyi-Dzihana-Kauma,15,65
dagi1241,Dagik,3,454
dann1241,Dan,10,324
defa1248,Defaka,4,6
dege1246,Degema,5,1
dghw1239,Dghwede,10,606
dibo1245,Dibole,7,321
didi1258,Didinga,9,1818
digo1243,Digo,16,19
dime1235,Dime,21,1906
diri1252,Diriku,8,1093
domp1238,Dompo,7,228
duru1249,Duruma,15,221
dzuu1241,Dzùùngoo,8,376
east2440,East Makian,4,308
east2563,Eastern Cham,2,24
east2652,Eastern Oromo,17,1408
ejag1239,Ejagham,4,220
eloy1241,Eloyi,10,126
eten1239,Eten,23,1256
eton1253,Eton-Mengisa,5,516
fali1285,Fali,15,776
fang1248,Fang (Cameroon),7,749
fern1234,Pichi,8,66
fipa1238,Fipa,7,1821
food1238,Foodo,7,375
fuli1240,Fuliiru,8,1629
gaaa1245,Gaa,4,545
gaam1241,Gaam,5,898
gagu1242,Gban,4,166
gamo1243,Gamo,10,1077
gava1241,Gavar,18,622
gbay1281,Gbaya-Mbodomo,6,697
gbes1238,Gbesi Gbe,12,62
ghom1247,Ghomálá',21,1552
giky1238,Gikyode,7,257
giny1241,Ginyanga,8,306
giry1241,Giryama,60,122
glav1244,Glavda,16,410
gude1246,Gude,12,874
guin1254,Guinea Kpelle,5,446
gumu1244,Northern Gumuz,13,837
guro1248,Guro,6,276
gwan1268,Gwandara,61,748
gwen1239,Gweno,7,1062
hadi1240,Hadiyya,8,2166
haio1238,Hai//om,7,1418
hang1260,Hangaza,10,1353
hara1271,Harari,10,1841
hdii1240,Hdi,18,588
heib1243,Ebang,6,835
here1253,Herero,5,1144
hili1240,Hiligaynon,6,74
