,language,distributed,elevation
aari1239,Aari,7,1513
abar1238,Mungbam,9,777
abid1235,Abidji,3,96
abua1244,Abua,1,10
abur1243,Abure,3,4
ache1245,Acheron,4,927
acol1236,Acoli,4,867
adam1253,Adamawa Fulfulde,10,370
adio1239,Adioukrou,3,68
afit1238,Afitti,3,568
aghe1239,Aghem,5,1047
ahan1243,Ahanta,10,37
ahan1244,Àhàn,5,302
ajas1235,Aja (Sudan),6,609
akan1250,Akan,4,166
akas1242,Akaselem,3,319
akoo1248,Akoose,3,859
akpe1248,Akpes,1,294
alab1254,Alaba-K'abeena,12,2073
alla1248,Alladian,5,14
ambo1250,Ambonese Malay,3,176
anfi1235,Anfillo,1,1472
ango1258,Angolar,5,104
anii1245,Anii,4,395
anuf1239,Anufo,8,137
anyi1244,Anyin Morofo,5,79
anyi1245,Anyin,9,181
arbo1245,Arbore,15,504
argo1244,Argobba,6,2752
arin1244,Aringa,3,870
ashe1269,Ashe,4,667
atti1239,Attié,5,72
avat1244,Avatime,1,171
avik1243,Avikam,5,11
awng1244,Awngi,3,2024
ayer1245,Ayere,5,396
bade1248,Bade,5,341
bady1239,Jaad-Badyara,4,62
bafa1249,Bafanji,4,1171
bafi1243,Bafia,6,577
bagi1246,Bagirmi,8,302
baka1272,Baka (Cameroon),3,548
baka1273,Bakaka,6,517
baka1274,Baka (Sudan),4,885
bala1302,Balanta-Ganja,6,21
bali1278,Balinese,3,1283
bamb1262,Bambassi,2,1454
bamb1269,Bambara,5,386
band1353,Banda Malay,3,260
bank1256,Bankon,4,84
bare1279,Barain,14,395
bass1260,Bassossi,2,325
bata1293,Batak Karo,2,7
bela1255,Belanda Viri,4,501
bela1256,Belanda Bor,6,514
bela1260,Lemeting,3,18
bena1262,Bena (Tanzania),1,1738
benc1235,Bench,8,2236
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,2,15
bila1255,Bila,3,788
bili1260,Bilin,4,1678
bora1271,Borana-Arsi-Guji Oromo,5,733
boun1243,Bouna Kulango,4,251
buam1238,Buamu,8,319
budu1250,Budu,3,778
bugi1244,Buginese,3,62
buli1254,Buli (Ghana),3,204
bumm1238,Bum,10,1322
buol1237,Buol,2,134
burj1242,Burji,6,1406
buru1301,Burun,4,575
came1252,Donga Mambila,3,781
ceba1235,Cebaara Senoufo,8,390
cebu1242,Cebuano,2,372
cent2087,Coastal-Naga Bikol,3,182
cent2194,Central Moroccan Berber,4,1354
cher1271,Cherepon,9,201
chon1287,Chonyi-Dzihana-Kauma,9,65
dagi1241,Dagik,1,454
dann1241,Dan,1,324
defa1248,Defaka,1,6
dege1246,Degema,2,1
dghw1239,Dghwede,3,606
didi1258,Didinga,11,1818
digo1243,Digo,10,19
dime1235,Dime,9,1906
diri1252,Diriku,5,1093
domp1238,Dompo,4,228
duru1249,Duruma,9,221
dzuu1241,Dzùùngoo,5,376
east2440,East Makian,2,308
east2563,Eastern Cham,3,24
east2652,Eastern Oromo,14,1408
ejag1239,Ejagham,3,220
eloy1241,Eloyi,4,126
eten1239,Eten,8,1256
eton1253,Eton-Mengisa,3,516
fali1285,Fali,6,776
fang1248,Fang (Cameroon),10,749
fern1234,Pichi,4,66
fipa1238,Fipa,4,1821
food1238,Foodo,2,375
fuli1240,Fuliiru,4,1629
gaaa1245,Gaa,2,545
gaam1241,Gaam,8,898
gagu1242,Gban,2,166
gamo1243,Gamo,6,1077
gava1241,Gavar,5,622
gbay1281,Gbaya-Mbodomo,1,697
gbes1238,Gbesi Gbe,3,62
ghom1247,Ghomálá',8,1552
giky1238,Gikyode,3,257
giny1241,Ginyanga,3,306
giry1241,Giryama,36,122
glav1244,Glavda,9,410
guin1254,Guinea Kpelle,1,446
gumu1244,Northern Gumuz,8,837
guro1248,Guro,6,276
gwan1268,Gwandara,22,748
gwen1239,Gweno,5,1062
hadi1240,Hadiyya,8,2166
haio1238,Hai//om,4,1418
hang1260,Hangaza,5,1353
hara1271,Harari,5,1841
heib1243,Ebang,5,835
here1253,Herero,6,1144
hili1240,Hiligaynon,2,74
holo1240,Holoholo,6,798
huaa1248,East Taa,45,1127
huba1236,Huba,4,541
idom1241,Idoma,5,236
igoo1238,Igo,3,722
ikwe1242,Ikwere,3,24
indo1316,Indonesian,4,556
inor1238,Inor,15,2043
irig1241,Irigwe,21,1082
iyiv1238,Iyive,7,380
izer1241,Izere,5,1041
jams1239,Jamsay Dogon,6,280
java1254,Javanese,4,112
jere1244,Jere,5,876
jita1239,Jita,3,1286
jola1262,Jola-Esulalu,5,18
jowu1238,Jowulu,4,512
jumj1238,Jumjum,5,487
kabu1256,Kabuverdianu,6,467
kagf1238,Ut-Main,5,323
kagu1239,Kagulu,5,1176
kahe1238,Kahe,4,707
kaka1265,Kakabe,4,996
kako1242,Kako,5,594
kamb1297,Kamba (Kenya),2,971
kamb1299,Kambera,3,325
kamb1316,Kambaata,9,2120
kang1288,Kanga,28,473
kara1483,Karamojong,2,1142
kare1338,Kare (Central African Republic),2,997
katc1249,Katcha-Kadugli-Miri,24,473
keig1242,Keiga,9,511
kele1255,Kele-Foma,1,424
keli1248,Keliko,3,1167
keme1240,Kemezung,1,910
kete1252,Kete,1,889
kgal1244,Kgalagadi,16,1046
kima1244,Kimaragang,1,258
kips1239,Kipsigis,3,1984
kisa1263,Kisa,4,1434
kist1241,Kistane,5,2644
koal1240,Koalib-Rere,11,732
kofy1242,Pan,4,242
komo1258,Komo (Sudan),1,767
konk1269,Konkomba,2,149
koor1239,Koorete,10,2321
kosh1246,Koshin,13,812
kota1272,Kotafon Gbe,3,60
koya1253,Koyaga,5,365
koyr1240,Koyra Chiini Songhay,3,264
koyr1242,Koyraboro Senni Songhai,5,261
krac1238,Krache,3,132
krim1238,Krim,5,16
krio1253,Krio,10,11
kron1241,Krongo,8,453
kuan1247,Kuanyama,5,1128
kung1261,North-Central Ju,24,1653
kuny1238,Kunyi,8,159
kuoo1238,Kuo,1,568
kupa1239,Kupang Malay,3,369
kura1250,Kuranko,3,474
kuwa1246,Kuwaataay,6,5
kwam1249,Kwama,1,1286
kwam1250,Kwami,3,708
kwam1251,Kwambi,7,1091
kwan1273,Kwangali,4,1124
kwan1276,Kwanja,3,1014
kway1241,Kwaya,3,1152
kwes1244,Kwese,1,795
kyen1242,Kyenga,1,203
lagw1237,Lagwan,3,300
lama1288,Lamang,2,1015
lang1322,Lango (Sudan),1,776
lang1324,Lango (Uganda),4,1052
lara1260,Larantuka Malay,3,757
lega1249,Lega-Shabunda,5,633
legb1242,Legbo,4,29
lele1266,Lele (Guinea),2,925
lele1276,Lele (Chad),1,399
leng1258,Lengola,4,468
lese1243,Lese,2,973
libe1240,Kru Pidgin English,5,42
lika1243,Liko,8,763
limb1268,Limbum,15,1057
logb1245,Logba,1,157
logo1259,Logo,3,901
long1387,Longto,4,441
lumu1239,Lumun,3,728
luwo1239,Luwo,6,496
maay1238,Maay,4,496
maba1273,Mabaan,5,428
mach1266,Machame,6,1072
maka1311,Makasar,3,0
mala1481,Manado Malay,3,41
mamb1296,Mambwe-Lungu,4,1249
mamp1244,Mampruli,3,152
mann1248,Mann,1,244
many1261,Manya,2,568
masa1299,Masaaba,5,1666
matu1259,Matumbi,3,257
mawa1270,Mawa (Chad),3,544
mayo1261,Mayogo,4,760
mbal1255,Mbalanhu,4,1310
mbay1241,Mbay,2,460
mbee1249,Mbe,4,124
mbee1250,Mbe',8,754
mboc1235,Mbo (Cameroon),8,835
mbuk1240,Mbukushu,7,1010
mbuu1238,Ajumbu,13,771
meen1242,Me'en,5,1009
meru1245,Meru,2,1254
mesq1240,Mesqan,5,2134
mfum1238,Southern Mfumte,8,662
mina1268,Minangkabau,4,10
mmaa1238,Mmaala,2,484
moch1256,Mochi,4,892
mofu1248,Mofu-Gudur,3,730
moke1242,Moken,4,0
mokl1243,Moklen,3,17
mokp1239,Mokpwe,4,2301
mong1338,Mongo,5,381
mono1269,Mono (Cameroon),3,233
mori1278,Morisyen,4,464
moro1284,Morokodo,5,574
moru1253,Moru,3,651
mpad1242,Mpade,4,290
mund1325,Mundang,5,390
mund1328,Mundabli,11,730
mwal1237,Mwali Comorian,3,257
mwan1247,Mwani,4,18
myen1241,Myene,5,26
nari1240,Narim,6,578
nate1242,Nateni,2,454
nawu1242,Nawuri,4,120
ncan1245,Ncane,4,960
ndai1238,Ndai,4,636
ndal1241,Ndali,3,1134
ndam1239,Ndamba,2,280
ndog1248,Ndogo,3,460
ndon1254,Ndonga,29,1095
ndzw1235,Ndzwani Comorian,6,547
ngan1300,Ngandyera,9,1079
ngas1238,Ngasa,10,1807
ngaz1238,Ngazidja Comorian,9,475
ngit1239,Ngiti,6,1617
ngwe1238,Ngwe,3,992
nias1242,Nias,2,0
niel1243,Niellim,4,358
nige1253,Hausa States Fulfulde,12,363
njeb1242,Njebi,2,728
njye1238,Njyem,2,595
nkon1248,Nkonya,3,95
nort2795,Zimbabwean Ndebele,11,1179
nort2819,Northern Bobo Madaré,7,467
nort2828,North Moluccan Malay,4,79
nort3047,North Giziga,2,488
ntch1242,Ntcham,6,243
ntom1248,Ntomba,2,292
nucl1440,Masalit,5,815
nucl1460,Madurese,7,108
nucl1683,Daba,3,813
nucl1696,Tangale,7,565
