,language,dorsal,elevation
aari1239,Aari,15,1513
abar1238,Mungbam,18,777
abid1235,Abidji,24,96
abua1244,Abua,19,10
abur1243,Abure,23,4
ache1245,Acheron,29,927
acol1236,Acoli,17,867
adam1253,Adamawa Fulfulde,40,370
adio1239,Adioukrou,15,68
afar1241,Afar,16,323
afit1238,Afitti,14,568
afri1274,Afrikaans,27,581
aghe1239,Aghem,28,1047
ahan1243,Ahanta,27,37
ahan1244,Àhàn,23,302
ajas1235,Aja (Sudan),24,609
akan1250,Akan,41,166
akas1242,Akaselem,40,319
akoo1248,Akoose,19,859
akpe1248,Akpes,18,294
alab1254,Alaba-K'abeena,22,2073
alla1248,Alladian,21,14
ambo1250,Ambonese Malay,13,176
anfi1235,Anfillo,20,1472
ango1258,Angolar,18,104
anii1245,Anii,19,395
anuf1239,Anufo,40,137
anyi1244,Anyin Morofo,28,79
anyi1245,Anyin,67,181
arbo1245,Arbore,23,504
argo1244,Argobba,17,2752
arin1244,Aringa,19,870
ashe1269,Ashe,20,667
atti1239,Attié,23,72
avat1244,Avatime,27,171
avik1243,Avikam,13,11
awng1244,Awngi,18,2024
ayer1245,Ayere,23,396
bade1248,Bade,23,341
bady1239,Jaad-Badyara,25,62
bafa1249,Bafanji,40,1171
bafi1243,Bafia,56,577
bagi1246,Bagirmi,25,302
baka1272,Baka (Cameroon),16,548
baka1273,Bakaka,60,517
baka1274,Baka (Sudan),22,885
bala1302,Balanta-Ganja,26,21
bali1278,Balinese,12,1283
bamb1262,Bambassi,16,1454
bamb1269,Bambara,39,386
bana1305,Bana,17,851
band1353,Banda Malay,13,260
bank1256,Bankon,16,84
bare1279,Barain,83,395
bass1260,Bassossi,21,325
bata1293,Batak Karo,12,7
bela1255,Belanda Viri,22,501
bela1256,Belanda Bor,22,514
bela1260,Lemeting,15,18
bena1262,Bena (Tanzania),17,1738
benc1235,Bench,35,2236
biak1248,Biak,9,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,16,15
bila1255,Bila,16,788
bili1260,Bilin,21,1678
bomi1238,Bomitaba,16,316
bora1271,Borana-Arsi-Guji Oromo,19,733
boun1243,Bouna Kulango,27,251
buam1238,Buamu,12,319
budu1250,Budu,23,778
bugi1244,Buginese,12,62
buli1254,Buli (Ghana),21,204
bumm1238,Bum,23,1322
buol1237,Buol,10,134
burj1242,Burji,16,1406
buru1301,Burun,22,575
busa1253,Busa,18,243
buwa1243,Buwal,19,600
came1252,Donga Mambila,17,781
ceba1235,Cebaara Senoufo,41,390
cebu1242,Cebuano,8,372
cent2087,Coastal-Naga Bikol,12,182
cent2194,Central Moroccan Berber,18,1354
cher1271,Cherepon,23,201
chon1287,Chonyi-Dzihana-Kauma,15,65
dagi1241,Dagik,15,454
dann1241,Dan,67,324
defa1248,Defaka,25,6
dege1246,Degema,19,1
dghw1239,Dghwede,18,606
dibo1245,Dibole,11,321
didi1258,Didinga,30,1818
digo1243,Digo,15,19
dime1235,Dime,33,1906
diri1252,Diriku,12,1093
domp1238,Dompo,14,228
duru1249,Duruma,15,221
dzuu1241,Dzùùngoo,37,376
east2440,East Makian,10,308
east2563,Eastern Cham,17,24
east2652,Eastern Oromo,22,1408
ejag1239,Ejagham,15,220
eloy1241,Eloyi,26,126
eten1239,Eten,34,1256
eton1253,Eton-Mengisa,23,516
fali1285,Fali,18,776
fang1248,Fang (Cameroon),18,749
fern1234,Pichi,14,66
fipa1238,Fipa,20,1821
food1238,Foodo,25,375
fuli1240,Fuliiru,16,1629
gaaa1245,Gaa,15,545
gaam1241,Gaam,24,898
gagu1242,Gban,22,166
gamo1243,Gamo,15,1077
gava1241,Gavar,22,622
gbay1281,Gbaya-Mbodomo,17,697
gbes1238,Gbesi Gbe,27,62
ghom1247,Ghomálá',29,1552
giky1238,Gikyode,34,257
giny1241,Ginyanga,33,306
giry1241,Giryama,60,122
glav1244,Glavda,19,410
gude1246,Gude,11,874
guin1254,Guinea Kpelle,24,446
gumu1244,Northern Gumuz,21,837
guro1248,Guro,39,276
gwan1268,Gwandara,159,748
gwen1239,Gweno,15,1062
hadi1240,Hadiyya,26,2166
haio1238,Hai//om,11,1418
hang1260,Hangaza,17,1353
hara1271,Harari,20,1841
hdii1240,Hdi,14,588
heib1243,Ebang,16,835
here1253,Herero,11,1144
hili1240,Hiligaynon,10,74
holo1240,Holoholo,13,798
huaa1248,East Taa,56,1127
huba1236,Huba,11,541
idom1241,Idoma,44,236
igoo1238,Igo,17,722
ikwe1242,Ikwere,25,24
ilok1237,Iloko,11,287
indo1316,Indonesian,14,556
inor1238,Inor,64,2043
irig1241,Irigwe,55,1082
iyiv1238,Iyive,26,380
izer1241,Izere,17,1041
jams1239,Jamsay Dogon,33,280
java1254,Javanese,15,112
jere1244,Jere,23,876
jita1239,Jita,14,1286
jola1262,Jola-Esulalu,30,18
jowu1238,Jowulu,30,512
jumj1238,Jumjum,24,487
kabu1256,Kabuverdianu,14,467
kagf1238,Ut-Main,31,323
kagu1239,Kagulu,13,1176
kahe1238,Kahe,19,707
kaka1265,Kakabe,21,996
kako1242,Kako,26,594
kamb1297,Kamba (Kenya),20,971
kamb1299,Kambera,16,325
kamb1316,Kambaata,21,2120
kamw1239,Kamwe,14,576
kang1288,Kanga,71,473
kara1483,Karamojong,46,1142
kare1338,Kare (Central African Republic),33,997
katc1249,Katcha-Kadugli-Miri,102,473
keig1242,Keiga,35,511
kele1255,Kele-Foma,17,424
keli1248,Keliko,17,1167
keme1240,Kemezung,17,910
kete1252,Kete,10,889
kgal1244,Kgalagadi,23,1046
kima1244,Kimaragang,10,258
kips1239,Kipsigis,24,1984
kisa1263,Kisa,17,1434
kist1241,Kistane,21,2644
kitu1246,Kituba (Democratic Republic of Congo),9,342
koal1240,Koalib-Rere,29,732
kofy1242,Pan,15,242
komo1258,Komo (Sudan),11,767
konk1269,Konkomba,23,149
koor1239,Koorete,21,2321
kosh1246,Koshin,19,812
kota1272,Kotafon Gbe,27,60
koya1253,Koyaga,24,365
koyr1240,Koyra Chiini Songhay,22,264
koyr1242,Koyraboro Senni Songhai,20,261
krac1238,Krache,30,132
krim1238,Krim,22,16
krio1253,Krio,17,11
kron1241,Krongo,33,453
kuan1247,Kuanyama,14,1128
kung1261,North-Central Ju,35,1653
kuny1238,Kunyi,20,159
kuoo1238,Kuo,33,568
kupa1239,Kupang Malay,14,369
kura1250,Kuranko,38,474
kuwa1246,Kuwaataay,16,5
kwam1249,Kwama,10,1286
kwam1250,Kwami,18,708
kwam1251,Kwambi,14,1091
kwan1273,Kwangali,11,1124
kwan1276,Kwanja,26,1014
kway1241,Kwaya,16,1152
kwes1244,Kwese,9,795
kyen1242,Kyenga,20,203
lagw1237,Lagwan,17,300
lama1288,Lamang,18,1015
lang1322,Lango (Sudan),16,776
lang1324,Lango (Uganda),26,1052
lara1260,Larantuka Malay,14,757
lega1249,Lega-Shabunda,19,633
legb1242,Legbo,27,29
lele1266,Lele (Guinea),13,925
lele1276,Lele (Chad),19,399
leng1258,Lengola,13,468
lese1243,Lese,16,973
leti1246,Leti (Indonesia),13,252
libe1240,Kru Pidgin English,20,42
lika1243,Liko,21,763
limb1268,Limbum,69,1057
logb1245,Logba,16,157
logo1259,Logo,17,901
loma1260,Loma (Liberia),36,474
long1387,Longto,18,441
lumu1239,Lumun,24,728
luwo1239,Luwo,18,496
