,language,high,elevation
aari1239,Aari,8,1513
abar1238,Mungbam,14,777
abid1235,Abidji,17,96
abua1244,Abua,14,10
abur1243,Abure,17,4
ache1245,Acheron,17,927
acol1236,Acoli,11,867
adam1253,Adamawa Fulfulde,26,370
adio1239,Adioukrou,10,68
afar1241,Afar,8,323
afit1238,Afitti,10,568
afri1274,Afrikaans,12,581
aghe1239,Aghem,17,1047
ahan1243,Ahanta,21,37
ahan1244,Àhàn,13,302
ajas1235,Aja (Sudan),18,609
akan1250,Akan,27,166
akas1242,Akaselem,23,319
akoo1248,Akoose,10,859
akpe1248,Akpes,10,294
alab1254,Alaba-K'abeena,16,2073
alla1248,Alladian,13,14
ambo1250,Ambonese Malay,10,176
anfi1235,Anfillo,14,1472
ango1258,Angolar,10,104
anii1245,Anii,14,395
anuf1239,Anufo,33,137
anyi1244,Anyin Morofo,22,79
anyi1245,Anyin,47,181
arbo1245,Arbore,17,504
argo1244,Argobba,12,2752
arin1244,Aringa,15,870
ashe1269,Ashe,15,667
atti1239,Attié,12,72
avat1244,Avatime,17,171
avik1243,Avikam,10,11
awng1244,Awngi,11,2024
ayer1245,Ayere,13,396
bade1248,Bade,15,341
bady1239,Jaad-Badyara,13,62
bafa1249,Bafanji,19,1171
bafi1243,Bafia,29,577
bagi1246,Bagirmi,15,302
baka1272,Baka (Cameroon),11,548
baka1273,Bakaka,30,517
baka1274,Baka (Sudan),16,885
bala1302,Balanta-Ganja,16,21
bali1278,Balinese,8,1283
bamb1262,Bambassi,10,1454
bamb1269,Bambara,23,386
bana1305,Bana,11,851
band1353,Banda Malay,10,260
bank1256,Bankon,11,84
bare1279,Barain,59,395
bass1260,Bassossi,13,325
bata1293,Batak Karo,8,7
bela1255,Belanda Viri,16,501
bela1256,Belanda Bor,16,514
bela1260,Lemeting,10,18
bena1262,Bena (Tanzania),11,1738
benc1235,Bench,29,2236
biak1248,Biak,6,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,11,15
bila1255,Bila,11,788
bili1260,Bilin,15,1678
bomi1238,Bomitaba,10,316
bora1271,Borana-Arsi-Guji Oromo,13,733
boun1243,Bouna Kulango,18,251
buam1238,Buamu,8,319
budu1250,Budu,20,778
bugi1244,Buginese,8,62
buli1254,Buli (Ghana),13,204
bumm1238,Bum,19,1322
buol1237,Buol,7,134
burj1242,Burji,10,1406
buru1301,Burun,14,575
busa1253,Busa,10,243
buwa1243,Buwal,17,600
came1252,Donga Mambila,10,781
ceba1235,Cebaara Senoufo,14,390
cebu1242,Cebuano,7,372
cent2087,Coastal-Naga Bikol,9,182
cent2194,Central Moroccan Berber,13,1354
cher1271,Cherepon,17,201
chon1287,Chonyi-Dzihana-Kauma,13,65
dagi1241,Dagik,9,454
dann1241,Dan,37,324
defa1248,Defaka,12,6
dege1246,Degema,13,1
dghw1239,Dghwede,17,606
dibo1245,Dibole,7,321
didi1258,Didinga,20,1818
digo1243,Digo,13,19
dime1235,Dime,19,1906
diri1252,Diriku,9,1093
domp1238,Dompo,9,228
duru1249,Duruma,13,221
dzuu1241,Dzùùngoo,20,376
east2440,East Makian,7,308
east2563,Eastern Cham,11,24
east2652,Eastern Oromo,16,1408
ejag1239,Ejagham,11,220
eloy1241,Eloyi,22,126
eten1239,Eten,30,1256
eton1253,Eton-Mengisa,13,516
fali1285,Fali,14,776
fang1248,Fang (Cameroon),12,749
fern1234,Pichi,8,66
fipa1238,Fipa,14,1821
food1238,Foodo,16,375
fuli1240,Fuliiru,10,1629
gaaa1245,Gaa,11,545
gaam1241,Gaam,16,898
gagu1242,Gban,14,166
gamo1243,Gamo,9,1077
gava1241,Gavar,19,622
gbay1281,Gbaya-Mbodomo,12,697
gbes1238,Gbesi Gbe,14,62
ghom1247,Ghomálá',16,1552
giky1238,Gikyode,21,257
giny1241,Ginyanga,20,306
giry1241,Giryama,52,122
glav1244,Glavda,15,410
gude1246,Gude,7,874
guin1254,Guinea Kpelle,16,446
gumu1244,Northern Gumuz,15,837
guro1248,Guro,23,276
gwan1268,Gwandara,109,748
gwen1239,Gweno,12,1062
hadi1240,Hadiyya,20,2166
haio1238,Hai//om,11,1418
hang1260,Hangaza,11,1353
hara1271,Harari,13,1841
hdii1240,Hdi,8,588
heib1243,Ebang,11,835
here1253,Herero,9,1144
hili1240,Hiligaynon,7,74
holo1240,Holoholo,10,798
huaa1248,East Taa,93,1127
huba1236,Huba,9,541
idom1241,Idoma,29,236
igoo1238,Igo,12,722
ikwe1242,Ikwere,15,24
ilok1237,Iloko,7,287
indo1316,Indonesian,9,556
inor1238,Inor,51,2043
irig1241,Irigwe,50,1082
iyiv1238,Iyive,21,380
izer1241,Izere,13,1041
jams1239,Jamsay Dogon,18,280
java1254,Javanese,9,112
jere1244,Jere,11,876
jita1239,Jita,8,1286
jola1262,Jola-Esulalu,18,18
jowu1238,Jowulu,16,512
jumj1238,Jumjum,16,487
kabu1256,Kabuverdianu,9,467
kagf1238,Ut-Main,19,323
kagu1239,Kagulu,10,1176
kahe1238,Kahe,13,707
kaka1265,Kakabe,11,996
kako1242,Kako,18,594
kamb1297,Kamba (Kenya),10,971
kamb1299,Kambera,10,325
kamb1316,Kambaata,15,2120
kamw1239,Kamwe,9,576
kang1288,Kanga,47,473
kara1483,Karamojong,22,1142
kare1338,Kare (Central African Republic),17,997
katc1249,Katcha-Kadugli-Miri,66,473
keig1242,Keiga,23,511
kele1255,Kele-Foma,11,424
keli1248,Keliko,13,1167
keme1240,Kemezung,11,910
kete1252,Kete,7,889
kgal1244,Kgalagadi,18,1046
kima1244,Kimaragang,7,258
kips1239,Kipsigis,12,1984
kisa1263,Kisa,11,1434
kist1241,Kistane,16,2644
kitu1246,Kituba (Democratic Republic of Congo),6,342
koal1240,Koalib-Rere,17,732
kofy1242,Pan,9,242
komo1258,Komo (Sudan),8,767
konk1269,Konkomba,15,149
koor1239,Koorete,15,2321
kosh1246,Koshin,13,812
kota1272,Kotafon Gbe,14,60
koya1253,Koyaga,17,365
koyr1240,Koyra Chiini Songhay,12,264
koyr1242,Koyraboro Senni Songhai,11,261
krac1238,Krache,14,132
krim1238,Krim,10,16
krio1253,Krio,11,11
kron1241,Krongo,21,453
kuan1247,Kuanyama,12,1128
kung1261,North-Central Ju,73,1653
kuny1238,Kunyi,17,159
kuoo1238,Kuo,18,568
kupa1239,Kupang Malay,10,369
kura1250,Kuranko,18,474
kuwa1246,Kuwaataay,10,5
kwam1249,Kwama,7,1286
kwam1250,Kwami,12,708
kwam1251,Kwambi,12,1091
kwan1273,Kwangali,8,1124
kwan1276,Kwanja,15,1014
kway1241,Kwaya,10,1152
kwes1244,Kwese,6,795
kyen1242,Kyenga,12,203
lagw1237,Lagwan,12,300
lama1288,Lamang,16,1015
lang1322,Lango (Sudan),12,776
lang1324,Lango (Uganda),14,1052
lara1260,Larantuka Malay,10,757
lega1249,Lega-Shabunda,13,633
legb1242,Legbo,17,29
lele1266,Lele (Guinea),8,925
lele1276,Lele (Chad),13,399
leng1258,Lengola,10,468
lese1243,Lese,11,973
leti1246,Leti (Indonesia),5,252
libe1240,Kru Pidgin English,12,42
lika1243,Liko,17,763
limb1268,Limbum,44,1057
logb1245,Logba,11,157
logo1259,Logo,12,901
loma1260,Loma (Liberia),16,474
long1387,Longto,16,441
lumu1239,Lumun,16,728
luwo1239,Luwo,12,496
maay1238,Maay,11,496
maba1273,Mabaan,12,428
mach1266,Machame,13,1072
mada1282,Mada (Nigeria),13,470
maka1311,Makasar,10,0
mala1481,Manado Malay,10,41
mamb1296,Mambwe-Lungu,10,1249
mamp1244,Mampruli,13,152
mann1248,Mann,14,244
many1261,Manya,8,568
