,language,labial,elevation
aari1239,Aari,9,1513
abar1238,Mungbam,11,777
abid1235,Abidji,15,96
abua1244,Abua,14,10
abur1243,Abure,14,4
ache1245,Acheron,13,927
acol1236,Acoli,8,867
adam1253,Adamawa Fulfulde,25,370
adio1239,Adioukrou,10,68
afar1241,Afar,8,323
afit1238,Afitti,6,568
afri1274,Afrikaans,14,581
aghe1239,Aghem,19,1047
ahan1243,Ahanta,16,37
ahan1244,Àhàn,15,302
ajas1235,Aja (Sudan),15,609
akan1250,Akan,24,166
akas1242,Akaselem,20,319
akoo1248,Akoose,9,859
akpe1248,Akpes,10,294
alab1254,Alaba-K'abeena,15,2073
alla1248,Alladian,13,14
ambo1250,Ambonese Malay,7,176
anfi1235,Anfillo,14,1472
ango1258,Angolar,11,104
anii1245,Anii,11,395
anuf1239,Anufo,28,137
anyi1244,Anyin Morofo,19,79
anyi1245,Anyin,39,181
arbo1245,Arbore,15,504
argo1244,Argobba,12,2752
arin1244,Aringa,16,870
ashe1269,Ashe,11,667
atti1239,Attié,16,72
avat1244,Avatime,21,171
avik1243,Avikam,12,11
awng1244,Awngi,12,2024
ayer1245,Ayere,15,396
bade1248,Bade,14,341
bady1239,Jaad-Badyara,14,62
bafa1249,Bafanji,21,1171
bafi1243,Bafia,30,577
bagi1246,Bagirmi,14,302
baka1272,Baka (Cameroon),12,548
baka1273,Bakaka,30,517
baka1274,Baka (Sudan),15,885
bala1302,Balanta-Ganja,17,21
bali1278,Balinese,6,1283
bamb1262,Bambassi,9,1454
bamb1269,Bambara,26,386
bana1305,Bana,15,851
band1353,Banda Malay,7,260
bank1256,Bankon,13,84
bare1279,Barain,41,395
bass1260,Bassossi,11,325
bata1293,Batak Karo,7,7
bela1255,Belanda Viri,13,501
bela1256,Belanda Bor,12,514
bela1260,Lemeting,6,18
bena1262,Bena (Tanzania),11,1738
benc1235,Bench,21,2236
biak1248,Biak,8,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,9,15
bila1255,Bila,11,788
bili1260,Bilin,11,1678
bomi1238,Bomitaba,12,316
bora1271,Borana-Arsi-Guji Oromo,10,733
boun1243,Bouna Kulango,15,251
buam1238,Buamu,9,319
budu1250,Budu,16,778
bugi1244,Buginese,6,62
buli1254,Buli (Ghana),14,204
bumm1238,Bum,20,1322
buol1237,Buol,8,134
burj1242,Burji,10,1406
buru1301,Burun,10,575
busa1253,Busa,13,243
buwa1243,Buwal,16,600
came1252,Donga Mambila,12,781
ceba1235,Cebaara Senoufo,26,390
cebu1242,Cebuano,5,372
cent2087,Coastal-Naga Bikol,8,182
cent2194,Central Moroccan Berber,10,1354
cher1271,Cherepon,17,201
chon1287,Chonyi-Dzihana-Kauma,13,65
dagi1241,Dagik,8,454
dann1241,Dan,39,324
defa1248,Defaka,17,6
dege1246,Degema,14,1
dghw1239,Dghwede,13,606
dibo1245,Dibole,8,321
didi1258,Didinga,16,1818
digo1243,Digo,13,19
dime1235,Dime,17,1906
diri1252,Diriku,9,1093
domp1238,Dompo,9,228
duru1249,Duruma,13,221
dzuu1241,Dzùùngoo,19,376
east2440,East Makian,7,308
east2563,Eastern Cham,8,24
east2652,Eastern Oromo,13,1408
ejag1239,Ejagham,10,220
eloy1241,Eloyi,25,126
eten1239,Eten,39,1256
eton1253,Eton-Mengisa,13,516
fali1285,Fali,12,776
fang1248,Fang (Cameroon),14,749
fern1234,Pichi,9,66
