,language,lateral,elevation
aari1239,Aari,1,1513
abar1238,Mungbam,1,777
abid1235,Abidji,1,96
abua1244,Abua,2,10
abur1243,Abure,1,4
ache1245,Acheron,1,927
acol1236,Acoli,1,867
adam1253,Adamawa Fulfulde,3,370
adio1239,Adioukrou,1,68
afar1241,Afar,1,323
afit1238,Afitti,1,568
afri1274,Afrikaans,1,581
aghe1239,Aghem,1,1047
ahan1243,Ahanta,1,37
ahan1244,Àhàn,1,302
ajas1235,Aja (Sudan),1,609
akan1250,Akan,1,166
akas1242,Akaselem,1,319
akoo1248,Akoose,1,859
akpe1248,Akpes,1,294
alab1254,Alaba-K'abeena,2,2073
alla1248,Alladian,1,14
ambo1250,Ambonese Malay,1,176
anfi1235,Anfillo,2,1472
ango1258,Angolar,1,104
anii1245,Anii,1,395
anuf1239,Anufo,2,137
anyi1245,Anyin,1,181
arbo1245,Arbore,2,504
argo1244,Argobba,1,2752
arin1244,Aringa,1,870
atti1239,Attié,1,72
avat1244,Avatime,1,171
avik1243,Avikam,1,11
awng1244,Awngi,1,2024
ayer1245,Ayere,1,396
bade1248,Bade,3,341
bady1239,Jaad-Badyara,1,62
bafa1249,Bafanji,1,1171
bafi1243,Bafia,2,577
bagi1246,Bagirmi,1,302
baka1272,Baka (Cameroon),1,548
baka1273,Bakaka,2,517
baka1274,Baka (Sudan),1,885
bala1302,Balanta-Ganja,1,21
bali1278,Balinese,1,1283
bamb1262,Bambassi,1,1454
bamb1269,Bambara,1,386
bana1305,Bana,2,851
band1353,Banda Malay,1,260
bank1256,Bankon,1,84
bare1279,Barain,7,395
bass1260,Bassossi,1,325
bata1293,Batak Karo,1,7
bela1255,Belanda Viri,1,501
bela1256,Belanda Bor,1,514
bela1260,Lemeting,1,18
bena1262,Bena (Tanzania),1,1738
benc1235,Bench,2,2236
bila1255,Bila,1,788
bili1260,Bilin,1,1678
bora1271,Borana-Arsi-Guji Oromo,1,733
boun1243,Bouna Kulango,1,251
buam1238,Buamu,1,319
bugi1244,Buginese,1,62
buli1254,Buli (Ghana),1,204
bumm1238,Bum,2,1322
buol1237,Buol,1,134
burj1242,Burji,1,1406
buru1301,Burun,1,575
buwa1243,Buwal,3,600
came1252,Donga Mambila,1,781
ceba1235,Cebaara Senoufo,2,390
cebu1242,Cebuano,1,372
cent2087,Coastal-Naga Bikol,2,182
cent2194,Central Moroccan Berber,2,1354
cher1271,Cherepon,2,201
chon1287,Chonyi-Dzihana-Kauma,1,65
dagi1241,Dagik,1,454
dann1241,Dan,1,324
defa1248,Defaka,1,6
dege1246,Degema,1,1
dghw1239,Dghwede,3,606
dibo1245,Dibole,1,321
didi1258,Didinga,2,1818
digo1243,Digo,1,19
dime1235,Dime,2,1906
diri1252,Diriku,1,1093
domp1238,Dompo,1,228
duru1249,Duruma,1,221
dzuu1241,Dzùùngoo,1,376
east2440,East Makian,1,308
east2563,Eastern Cham,1,24
east2652,Eastern Oromo,2,1408
eten1239,Eten,4,1256
eton1253,Eton-Mengisa,1,516
fali1285,Fali,4,776
fang1248,Fang (Cameroon),1,749
fern1234,Pichi,1,66
fipa1238,Fipa,1,1821
food1238,Foodo,1,375
fuli1240,Fuliiru,1,1629
gaaa1245,Gaa,1,545
gaam1241,Gaam,2,898
gagu1242,Gban,1,166
gamo1243,Gamo,1,1077
