Glottocode,language,long,elevation
aari1239,Aari,5,1513
ache1245,Acheron,11,927
adam1253,Adamawa Fulfulde,20,370
afar1241,Afar,4,323
afri1274,Afrikaans,8,581
aghe1239,Aghem,9,1047
akan1250,Akan,10,166
akas1242,Akaselem,9,319
akoo1248,Akoose,4,859
alab1254,Alaba-K'abeena,31,2073
anfi1235,Anfillo,21,1472
anyi1244,Anyin Morofo,3,79
arbo1245,Arbore,27,504
argo1244,Argobba,1,2752
bade1248,Bade,5,341
bady1239,Jaad-Badyara,6,62
bafa1249,Bafanji,10,1171
bafi1243,Bafia,17,577
bagi1246,Bagirmi,5,302
baka1273,Bakaka,20,517
bala1302,Balanta-Ganja,7,21
bamb1262,Bambassi,5,1454
bamb1269,Bambara,10,386
bare1279,Barain,61,395
bass1260,Bassossi,4,325
bena1262,Bena (Tanzania),5,1738
bora1271,Borana-Arsi-Guji Oromo,5,733
buli1254,Buli (Ghana),6,204
burj1242,Burji,5,1406
buru1301,Burun,8,575
came1252,Donga Mambila,5,781
ceba1235,Cebaara Senoufo,11,390
dann1241,Dan,20,324
defa1248,Defaka,7,6
didi1258,Didinga,15,1818
dime1235,Dime,26,1906
dzuu1241,Dzùùngoo,14,376
east2652,Eastern Oromo,28,1408
eton1253,Eton-Mengisa,7,516
fipa1238,Fipa,7,1821
food1238,Foodo,9,375
fuli1240,Fuliiru,5,1629
gaam1241,Gaam,18,898
gamo1243,Gamo,5,1077
ghom1247,Ghomálá',8,1552
glav1244,Glavda,3,410
gude1246,Gude,2,874
gumu1244,Northern Gumuz,5,837
guro1248,Guro,14,276
gwan1268,Gwandara,10,748
hadi1240,Hadiyya,28,2166
hang1260,Hangaza,5,1353
hara1271,Harari,4,1841
idom1241,Idoma,7,236
irig1241,Irigwe,1,1082
jams1239,Jamsay Dogon,28,280
jere1244,Jere,8,876
jita1239,Jita,5,1286
jola1262,Jola-Esulalu,22,18
jowu1238,Jowulu,7,512
jumj1238,Jumjum,8,487
kagf1238,Ut-Main,8,323
kahe1238,Kahe,5,707
kaka1265,Kakabe,7,996
kamb1297,Kamba (Kenya),7,971
kamb1299,Kambera,3,325
kamb1316,Kambaata,27,2120
kang1288,Kanga,72,473
kara1483,Karamojong,13,1142
kare1338,Kare (Central African Republic),13,997
katc1249,Katcha-Kadugli-Miri,87,473
keig1242,Keiga,28,511
kips1239,Kipsigis,9,1984
kisa1263,Kisa,5,1434
koal1240,Koalib-Rere,8,732
kofy1242,Pan,5,242
konk1269,Konkomba,7,149
koor1239,Koorete,26,2321
koyr1240,Koyra Chiini Songhay,7,264
koyr1242,Koyraboro Senni Songhai,5,261
krim1238,Krim,7,16
kron1241,Krongo,29,453
kung1261,North-Central Ju,1,1653
kuoo1238,Kuo,13,568
kura1250,Kuranko,14,474
kuwa1246,Kuwaataay,5,5
kwam1250,Kwami,5,708
kwan1276,Kwanja,8,1014
kway1241,Kwaya,5,1152
lang1324,Lango (Uganda),10,1052
lega1249,Lega-Shabunda,7,633
legb1242,Legbo,26,29
lele1276,Lele (Chad),5,399
leti1246,Leti (Indonesia),5,252
limb1268,Limbum,18,1057
loma1260,Loma (Liberia),14,474
lumu1239,Lumun,8,728
luwo1239,Luwo,2,496
maay1238,Maay,5,496
maba1273,Mabaan,7,428
mach1266,Machame,5,1072
mamb1296,Mambwe-Lungu,5,1249
mamp1244,Mampruli,5,152
masa1299,Masaaba,5,1666
mbay1241,Mbay,7,460
mboc1235,Mbo (Cameroon),8,835
meen1242,Me'en,7,1009
meru1245,Meru,5,1254
mofu1248,Mofu-Gudur,2,730
moke1242,Moken,7,0
mokl1243,Moklen,9,17
mono1269,Mono (Cameroon),13,233
mund1325,Mundang,15,390
nate1242,Nateni,12,454
ncan1245,Ncane,5,960
ndai1238,Ndai,11,636
ndal1241,Ndali,5,1134
ngas1238,Ngasa,3,1807
niel1243,Niellim,11,358
nige1253,Hausa States Fulfulde,27,363
njye1238,Njyem,10,595
ntch1242,Ntcham,12,243
nucl1440,Masalit,4,815
nucl1696,Tangale,9,565
nuer1246,Nuer,14,409
nyam1277,Nyambo,5,1513
nyam1285,Nyam,7,244
nyol1238,Nyole,5,1066
orma1241,Orma,5,141
otor1240,Otoro,2,752
otuh1238,Otuho,14,809
palo1243,Palor,10,100
pang1287,Pangwa,6,1313
pero1241,Pero,5,319
piny1238,Pinyin,6,1841
poko1263,Pökoot,7,1866
reel1238,Reel,26,431
reun1238,Réunion Creole French,14,1722
saam1283,Saamia,5,1194
sand1273,Sandawe,10,1208
saya1246,Saya,6,596
shil1265,Shilluk,11,399
silt1240,Silt'e,27,2047
siwi1239,Siwi,4,-7
soni1259,Soninke,15,157
sout2790,Southern Birifor,9,218
sout2833,South Central Dinka,26,432
suba1252,Suba-Simbiti,7,1294
suga1248,Nizaa,18,1263
suku1261,Sukuma,7,1166
sumb1240,Sumbwa,5,1204
tada1238,Tadaksahak,30,313
tese1238,Tese,13,618
tigo1236,Tigon Mbembe,4,255
tour1242,Toura (Côte d'Ivoire),2,546
tsam1247,Tsamai,33,741
tsot1241,Tsotso,5,1459
tsuv1239,Tsuvadi,17,257
tuki1240,Tuki,3,581
tuli1249,Tulishi,27,623
tumt1243,Tumtum,21,487
tupu1244,Tupuri,13,353
wand1278,Wandala,3,339
wawa1246,Wawa,8,1214
wola1242,Wolaytta,20,1324
yans1239,Yansi,11,355
yems1235,Yemsa,5,2227
zayy1238,Zay,7,1636
zinz1238,Zinza,5,1338
