,language,low,elevation
aari1239,Aari,2,1513
abar1238,Mungbam,1,777
abid1235,Abidji,2,96
abua1244,Abua,1,10
abur1243,Abure,2,4
ache1245,Acheron,2,927
acol1236,Acoli,1,867
adam1253,Adamawa Fulfulde,4,370
adio1239,Adioukrou,1,68
afar1241,Afar,3,323
afit1238,Afitti,1,568
afri1274,Afrikaans,2,581
aghe1239,Aghem,4,1047
ahan1243,Ahanta,2,37
ahan1244,Àhàn,2,302
ajas1235,Aja (Sudan),4,609
akan1250,Akan,6,166
akas1242,Akaselem,5,319
akoo1248,Akoose,2,859
akpe1248,Akpes,2,294
alab1254,Alaba-K'abeena,2,2073
alla1248,Alladian,2,14
ambo1250,Ambonese Malay,1,176
anfi1235,Anfillo,2,1472
ango1258,Angolar,2,104
anii1245,Anii,1,395
anuf1239,Anufo,2,137
anyi1244,Anyin Morofo,2,79
anyi1245,Anyin,6,181
arbo1245,Arbore,2,504
argo1244,Argobba,2,2752
arin1244,Aringa,1,870
ashe1269,Ashe,1,667
atti1239,Attié,2,72
avat1244,Avatime,2,171
avik1243,Avikam,1,11
awng1244,Awngi,1,2024
ayer1245,Ayere,2,396
bade1248,Bade,6,341
bady1239,Jaad-Badyara,3,62
bafa1249,Bafanji,6,1171
bafi1243,Bafia,5,577
bagi1246,Bagirmi,2,302
baka1272,Baka (Cameroon),1,548
baka1273,Bakaka,6,517
baka1274,Baka (Sudan),4,885
bala1302,Balanta-Ganja,2,21
bali1278,Balinese,1,1283
bamb1262,Bambassi,2,1454
bamb1269,Bambara,4,386
band1353,Banda Malay,1,260
bank1256,Bankon,1,84
bare1279,Barain,8,395
bass1260,Bassossi,2,325
bata1293,Batak Karo,1,7
bela1255,Belanda Viri,1,501
bela1256,Belanda Bor,1,514
bela1260,Lemeting,1,18
bena1262,Bena (Tanzania),2,1738
benc1235,Bench,2,2236
biak1248,Biak,1,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,1,15
bila1255,Bila,1,788
bili1260,Bilin,3,1678
bomi1238,Bomitaba,2,316
bora1271,Borana-Arsi-Guji Oromo,2,733
boun1243,Bouna Kulango,2,251
buam1238,Buamu,2,319
budu1250,Budu,1,778
bugi1244,Buginese,1,62
buli1254,Buli (Ghana),2,204
bumm1238,Bum,1,1322
buol1237,Buol,1,134
burj1242,Burji,2,1406
buru1301,Burun,2,575
busa1253,Busa,2,243
buwa1243,Buwal,1,600
came1252,Donga Mambila,2,781
ceba1235,Cebaara Senoufo,8,390
cebu1242,Cebuano,1,372
cent2087,Coastal-Naga Bikol,1,182
cent2194,Central Moroccan Berber,3,1354
cher1271,Cherepon,2,201
chon1287,Chonyi-Dzihana-Kauma,1,65
dagi1241,Dagik,1,454
dann1241,Dan,12,324
defa1248,Defaka,3,6
dege1246,Degema,1,1
dghw1239,Dghwede,1,606
dibo1245,Dibole,1,321
didi1258,Didinga,2,1818
digo1243,Digo,1,19
dime1235,Dime,2,1906
diri1252,Diriku,1,1093
domp1238,Dompo,1,228
duru1249,Duruma,1,221
dzuu1241,Dzùùngoo,4,376
east2440,East Makian,1,308
east2563,Eastern Cham,1,24
east2652,Eastern Oromo,2,1408
ejag1239,Ejagham,1,220
eloy1241,Eloyi,1,126
eten1239,Eten,1,1256
eton1253,Eton-Mengisa,2,516
fali1285,Fali,1,776
fang1248,Fang (Cameroon),1,749
fern1234,Pichi,1,66
fipa1238,Fipa,2,1821
food1238,Foodo,2,375
fuli1240,Fuliiru,2,1629
gaaa1245,Gaa,1,545
gaam1241,Gaam,2,898
gagu1242,Gban,2,166
gamo1243,Gamo,2,1077
gava1241,Gavar,1,622
gbay1281,Gbaya-Mbodomo,1,697
gbes1238,Gbesi Gbe,2,62
ghom1247,Ghomálá',4,1552
giky1238,Gikyode,2,257
giny1241,Ginyanga,2,306
giry1241,Giryama,4,122
glav1244,Glavda,2,410
gude1246,Gude,2,874
guin1254,Guinea Kpelle,2,446
gumu1244,Northern Gumuz,2,837
guro1248,Guro,4,276
gwan1268,Gwandara,14,748
gwen1239,Gweno,1,1062
hadi1240,Hadiyya,2,2166
haio1238,Hai//om,2,1418
hang1260,Hangaza,2,1353
hara1271,Harari,2,1841
hdii1240,Hdi,1,588
heib1243,Ebang,1,835
here1253,Herero,1,1144
hili1240,Hiligaynon,1,74
holo1240,Holoholo,1,798
huaa1248,East Taa,6,1127
