Glottocode,language,nasal,elevation
aari1239,Aari,2,1513
abar1238,Mungbam,4,777
abid1235,Abidji,10,96
abua1244,Abua,5,10
abur1243,Abure,9,4
ache1245,Acheron,6,927
acol1236,Acoli,4,867
adam1253,Adamawa Fulfulde,10,370
adio1239,Adioukrou,4,68
afar1241,Afar,2,323
afit1238,Afitti,4,568
afri1274,Afrikaans,3,581
aghe1239,Aghem,5,1047
ahan1243,Ahanta,10,37
ahan1244,Àhàn,11,302
ajas1235,Aja (Sudan),4,609
akan1250,Akan,16,166
akas1242,Akaselem,14,319
akoo1248,Akoose,3,859
akpe1248,Akpes,6,294
alab1254,Alaba-K'abeena,6,2073
alla1248,Alladian,6,14
ambo1250,Ambonese Malay,4,176
anfi1235,Anfillo,4,1472
ango1258,Angolar,9,104
anii1245,Anii,5,395
anuf1239,Anufo,12,137
anyi1244,Anyin Morofo,11,79
anyi1245,Anyin,24,181
arbo1245,Arbore,7,504
argo1244,Argobba,3,2752
arin1244,Aringa,5,870
ashe1269,Ashe,4,667
atti1239,Attié,7,72
avat1244,Avatime,14,171
avik1243,Avikam,5,11
awng1244,Awngi,4,2024
ayer1245,Ayere,11,396
bade1248,Bade,4,341
bady1239,Jaad-Badyara,16,62
bafa1249,Bafanji,16,1171
bafi1243,Bafia,8,577
bagi1246,Bagirmi,4,302
baka1272,Baka (Cameroon),3,548
baka1273,Bakaka,11,517
baka1274,Baka (Sudan),4,885
bala1302,Balanta-Ganja,6,21
bali1278,Balinese,4,1283
bamb1262,Bambassi,3,1454
bamb1269,Bambara,16,386
bana1305,Bana,4,851
band1353,Banda Malay,4,260
bank1256,Bankon,5,84
bare1279,Barain,26,395
bass1260,Bassossi,4,325
bata1293,Batak Karo,3,7
bela1255,Belanda Viri,3,501
bela1256,Belanda Bor,5,514
bela1260,Lemeting,4,18
bena1262,Bena (Tanzania),4,1738
benc1235,Bench,6,2236
biak1248,Biak,2,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,4,15
