,language,periodicGlottalSource,elevation
aari1239,Aari,24,1513
abar1238,Mungbam,22,777
abid1235,Abidji,27,96
abua1244,Abua,30,10
abur1243,Abure,26,4
ache1245,Acheron,30,927
acol1236,Acoli,22,867
adam1253,Adamawa Fulfulde,66,370
adio1239,Adioukrou,20,68
afar1241,Afar,21,323
afit1238,Afitti,18,568
afri1274,Afrikaans,33,581
aghe1239,Aghem,37,1047
ahan1243,Ahanta,28,37
ahan1244,Àhàn,31,302
ajas1235,Aja (Sudan),33,609
akan1250,Akan,46,166
akas1242,Akaselem,42,319
akoo1248,Akoose,23,859
akpe1248,Akpes,22,294
alab1254,Alaba-K'abeena,36,2073
alla1248,Alladian,26,14
ambo1250,Ambonese Malay,17,176
anfi1235,Anfillo,28,1472
ango1258,Angolar,27,104
anii1245,Anii,25,395
anuf1239,Anufo,38,137
anyi1244,Anyin Morofo,37,79
anyi1245,Anyin,75,181
arbo1245,Arbore,37,504
argo1244,Argobba,22,2752
arin1244,Aringa,35,870
ashe1269,Ashe,24,667
atti1239,Attié,28,72
avat1244,Avatime,36,171
avik1243,Avikam,24,11
awng1244,Awngi,22,2024
ayer1245,Ayere,31,396
bade1248,Bade,31,341
bady1239,Jaad-Badyara,32,62
bafa1249,Bafanji,47,1171
bafi1243,Bafia,74,577
bagi1246,Bagirmi,34,302
baka1272,Baka (Cameroon),25,548
baka1273,Bakaka,74,517
baka1274,Baka (Sudan),33,885
bala1302,Balanta-Ganja,34,21
bali1278,Balinese,18,1283
bamb1262,Bambassi,21,1454
bamb1269,Bambara,42,386
bana1305,Bana,28,851
band1353,Banda Malay,17,260
bank1256,Bankon,25,84
bare1279,Barain,118,395
bass1260,Bassossi,25,325
bata1293,Batak Karo,18,7
bela1255,Belanda Viri,32,501
bela1256,Belanda Bor,30,514
bela1260,Lemeting,18,18
bena1262,Bena (Tanzania),24,1738
benc1235,Bench,41,2236
biak1248,Biak,14,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,19,15
bila1255,Bila,20,788
bili1260,Bilin,22,1678
bomi1238,Bomitaba,20,316
bora1271,Borana-Arsi-Guji Oromo,22,733
boun1243,Bouna Kulango,34,251
buam1238,Buamu,18,319
budu1250,Budu,31,778
bugi1244,Buginese,18,62
buli1254,Buli (Ghana),29,204
bumm1238,Bum,28,1322
buol1237,Buol,17,134
burj1242,Burji,23,1406
buru1301,Burun,29,575
busa1253,Busa,22,243
buwa1243,Buwal,29,600
came1252,Donga Mambila,24,781
ceba1235,Cebaara Senoufo,57,390
cebu1242,Cebuano,14,372
cent2087,Coastal-Naga Bikol,20,182
cent2194,Central Moroccan Berber,24,1354
cher1271,Cherepon,25,201
chon1287,Chonyi-Dzihana-Kauma,33,65
dagi1241,Dagik,19,454
dann1241,Dan,70,324
defa1248,Defaka,31,6
dege1246,Degema,27,1
dghw1239,Dghwede,26,606
dibo1245,Dibole,16,321
didi1258,Didinga,48,1818
digo1243,Digo,34,19
dime1235,Dime,44,1906
diri1252,Diriku,20,1093
domp1238,Dompo,21,228
duru1249,Duruma,33,221
dzuu1241,Dzùùngoo,42,376
east2440,East Makian,16,308
east2563,Eastern Cham,19,24
east2652,Eastern Oromo,35,1408
ejag1239,Ejagham,19,220
eloy1241,Eloyi,36,126
eten1239,Eten,45,1256
eton1253,Eton-Mengisa,30,516
fali1285,Fali,31,776
fang1248,Fang (Cameroon),25,749
fern1234,Pichi,20,66
fipa1238,Fipa,27,1821
food1238,Foodo,33,375
fuli1240,Fuliiru,27,1629
gaaa1245,Gaa,24,545
gaam1241,Gaam,37,898
gagu1242,Gban,25,166
gamo1243,Gamo,22,1077
gava1241,Gavar,36,622
gbay1281,Gbaya-Mbodomo,28,697
gbes1238,Gbesi Gbe,35,62
ghom1247,Ghomálá',38,1552
giky1238,Gikyode,37,257
giny1241,Ginyanga,39,306
giry1241,Giryama,132,122
glav1244,Glavda,29,410
gude1246,Gude,25,874
guin1254,Guinea Kpelle,29,446
gumu1244,Northern Gumuz,27,837
guro1248,Guro,44,276
gwan1268,Gwandara,182,748
gwen1239,Gweno,19,1062
hadi1240,Hadiyya,30,2166
haio1238,Hai//om,16,1418
hang1260,Hangaza,23,1353
