,language,retractedTongueRoot,elevation
huaa1248,East Taa,5,1127
kung1261,North-Central Ju,6,1653
tach1250,Tachelhit,6,904
tada1238,Tadaksahak,14,313
0,Adamawa Fulfulde,0,370
1,Anyin,0,181
2,Anyin Morofo,0,79
3,Akan,0,166
4,Anufo,0,137
5,Dibole,0,321
6,Bana,0,851
7,Baka (Sudan),0,885
8,Aja (Sudan),0,609
9,Bila,0,788
10,Busa,0,243
11,Hausa States Fulfulde,0,363
12,Herero,0,1144
13,Cebaara Senoufo,0,390
14,Koyra Chiini Songhay,0,264
15,Bafia,0,577
16,Lega-Shabunda,0,633
17,Limbum,0,1057
18,Myene,0,26
19,Ntcham,0,243
20,Tunen,0,708
21,Matumbi,0,257
22,Yao,0,1194
23,Umbundu,0,1239
24,Ndonga,0,1095
25,Mbukushu,0,1010
26,Diriku,0,1093
27,Kwangali,0,1124
28,Soninke,0,157
29,Koyraboro Senni Songhai,0,261
30,Lele (Chad),0,399
32,Mongo,0,381
33,Longto,0,441
34,Xwela Gbe,0,32
35,Western Xwla Gbe,0,5
36,Kotafon Gbe,0,60
37,Gbesi Gbe,0,62
38,Machame,0,1072
39,Mada (Nigeria),0,470
40,Mbe,0,124
41,Ngwe,0,992
42,Jowulu,0,512
43,Yala,0,65
44,Mambwe-Lungu,0,1249
45,Kete,0,889
46,Kwese,0,795
47,Southern Ma'di,0,659
48,Moru,0,651
49,Logo,0,901
50,Afitti,0,568
51,Avatime,0,171
52,Abua,0,10
53,Dghwede,0,606
54,Eloyi,0,126
55,Gikyode,0,257
56,Ginyanga,0,306
57,Huba,0,541
58,Pan,0,242
59,Krache,0,132
60,Krim,0,16
61,West Central Banda,0,637
62,South Central Dinka,0,432
63,Foodo,0,375
64,Jola-Esulalu,0,18
65,Jumjum,0,487
66,Burun,0,575
67,Olu'bo,0,721
68,Maay,0,496
69,Mabaan,0,428
70,Nizaa,0,1263
72,Xhosa,0,1748
73,Siwu,0,234
74,Sherbro,0,13
76,Cherepon,0,201
77,Palor,0,100
79,Sekpele,0,301
80,Mampruli,0,152
81,Tonga (Zambia),0,944
82,Jaad-Badyara,0,62
83,Selee,0,364
84,Tiv,0,208
85,Bilin,0,1678
86,Xamtanga,0,2165
87,Liko,0,763
88,Yansi,0,355
89,Budu,0,778
90,Kele-Foma,0,424
91,Lengola,0,468
92,Keliko,0,1167
93,Wongo,0,483
94,Mwali Comorian,0,257
95,Afar,0,323
96,Mundang,0,390
97,Mono (Cameroon),0,233
98,Tupuri,0,353
99,Kuo,0,568
100,Kare (Central African Republic),0,997
101,Ndai,0,636
102,Bambassi,0,1454
103,Tigrinya,0,2332
104,Karamojong,0,1142
105,Gwandara,0,748
106,Avikam,0,11
107,Shilluk,0,399
108,Hai//om,0,1418
109,Pero,0,319
110,Borana-Arsi-Guji Oromo,0,733
111,Hadiyya,0,2166
112,Wolaytta,0,1324
113,Kunyi,0,159
114,Otuho,0,809
115,Masaaba,0,1666
116,Kamwe,0,576
117,Manya,0,568
118,Saya,0,596
119,Njebi,0,728
120,Kambaata,0,2120
121,Otoro,0,752
122,Tira,0,638
123,Nyam,0,244
124,Fali,0,776
125,Mawa (Chad),0,544
126,Koalib-Rere,0,732
127,Kagulu,0,1176
129,Ghomálá',0,1552
130,Defaka,0,6
131,Tee,0,25
132,Kipsigis,0,1984
133,Pangwa,0,1313
134,Holoholo,0,798
135,Buli (Ghana),0,204
136,Balanta-Ganja,0,21
137,Nyambo,0,1513
138,Dan,0,324
139,Pökoot,0,1866
140,Afrikaans,0,581
141,Argobba,0,2752
142,Harari,0,1841
144,Nzima,0,19
145,Ahanta,0,37
147,Buwal,0,600
148,Hdi,0,588
149,Lamang,0,1015
150,Ikwere,0,24
151,Lagwan,0,300
152,Gbaya-Mbodomo,0,697
153,Mbuko,0,480
154,Moloko,0,454
155,Muyang,0,410
156,Ngomba,0,1454
157,Kemezung,0,910
158,Nateni,0,454
159,Silt'e,0,2047
160,Weh,0,1065
161,Tulishi,0,623
162,Keiga,0,511
163,Krongo,0,453
164,Kanga,0,473
165,Katcha-Kadugli-Miri,0,473
166,Morokodo,0,574
167,Aringa,0,870
168,Tese,0,618
169,Lumun,0,728
170,Acheron,0,927
171,Tocho,0,661
172,Dagik,0,454
173,Didinga,0,1818
174,Luwo,0,496
175,Acoli,0,867
176,Belanda Bor,0,514
177,Belanda Viri,0,501
178,Ndogo,0,460
179,Bade,0,341
180,Pichi,0,66
181,Jita,0,1286
182,Dime,0,1906
183,Tsotso,0,1459
184,Jamsay Dogon,0,280
185,Kamba (Kenya),0,971
186,Lango (Uganda),0,1052
187,Kisa,0,1434
188,Nyole,0,1066
189,Mwani,0,18
190,Kgalagadi,0,1046
191,Tiéyaxo Bozo,0,275
192,Alaba-K'abeena,0,2073
193,Degema,0,1
194,Principense,0,469
195,Nkonya,0,95
197,Kistane,0,2644
198,Mesqan,0,2134
199,Sebat Bet Gurage,0,2272
203,Inor,0,2043
204,Dzùùngoo,0,376
205,Bagirmi,0,302
206,Ngiti,0,1617
207,Ndali,0,1134
208,Me'en,0,1009
209,Ngasa,0,1807
210,Mbay,0,460
211,Northern Gumuz,0,837
212,Soo,0,1901
213,Bench,0,2236
214,Yemsa,0,2227
216,Gamo,0,1077
217,Koorete,0,2321
218,Aari,0,1513
219,Komo (Sudan),0,767
220,Uduk,0,862
221,T'apo,0,419
222,Kwama,0,1286
223,Mayogo,0,760
224,Saamia,0,1194
225,Southern Nuni,0,327
226,Zimbabwean Ndebele,0,1179
227,Saxwe Gbe,0,76
228,Narim,0,578
229,Kangaki-Kagbaaga-Kajoko Bidyogo,0,15
230,Dompo,0,228
231,Bambara,0,386
232,Ebang,0,835
233,Koyaga,0,365
234,Shwai,0,721
235,Gaa,0,545
236,Kuanyama,0,1128
237,Mbalanhu,0,1310
238,Kwambi,0,1091
239,Ngandyera,0,1079
240,Konkomba,0,149
241,Beria,0,978
242,Zay,0,1636
243,Bomitaba,0,316
244,Northern Bobo Madaré,0,467
245,Bena (Tanzania),0,1738
246,Guinea Kpelle,0,446
247,Kakabe,0,996
248,Lele (Guinea),0,925
249,Loma (Liberia),0,474
250,Mann,0,244
251,Kyenga,0,203
252,Shanga,0,156
253,Abure,0,4
254,Bankon,0,84
256,Aghem,0,1047
257,Arbore,0,504
258,Abidji,0,96
259,Adioukrou,0,68
260,Tiagbamrin Aizi,0,17
261,Alladian,0,14
262,Ashe,0,667
263,Ngazidja Comorian,0,475
264,Akpes,0,294
265,Eten,0,1256
266,Nuer,0,409
267,Ut-Main,0,323
268,Idoma,0,236
269,Irigwe,0,1082
270,Izere,0,1041
271,Jere,0,876
272,Legbo,0,29
273,Logba,0,157
274,Awngi,0,2024
275,Glavda,0,410
276,Àhàn,0,302
277,Ayere,0,396
278,Ronga,0,69
279,Ndzwani Comorian,0,547
280,Southern Birifor,0,218
