,language,short,elevation
palo1243,Palor,5,100
reel1238,Reel,13,431
sout2833,South Central Dinka,13,432
0,Adamawa Fulfulde,0,370
1,Anyin,0,181
2,Anyin Morofo,0,79
3,Akan,0,166
4,Anufo,0,137
5,Dibole,0,321
6,Bana,0,851
7,Baka (Sudan),0,885
8,Aja (Sudan),0,609
9,Bila,0,788
10,Busa,0,243
11,Hausa States Fulfulde,0,363
12,Herero,0,1144
13,Cebaara Senoufo,0,390
14,Koyra Chiini Songhay,0,264
15,Bafia,0,577
16,Lega-Shabunda,0,633
17,Limbum,0,1057
18,Myene,0,26
19,Ntcham,0,243
20,Tunen,0,708
21,Matumbi,0,257
22,Yao,0,1194
23,Umbundu,0,1239
24,Ndonga,0,1095
25,Mbukushu,0,1010
26,Diriku,0,1093
27,Kwangali,0,1124
28,Soninke,0,157
29,Koyraboro Senni Songhai,0,261
30,Lele (Chad),0,399
32,Mongo,0,381
33,Longto,0,441
34,Xwela Gbe,0,32
35,Western Xwla Gbe,0,5
36,Kotafon Gbe,0,60
37,Gbesi Gbe,0,62
38,Machame,0,1072
39,Mada (Nigeria),0,470
40,Mbe,0,124
41,Ngwe,0,992
42,Jowulu,0,512
43,Yala,0,65
44,Mambwe-Lungu,0,1249
45,Kete,0,889
46,Kwese,0,795
47,Southern Ma'di,0,659
48,Moru,0,651
49,Logo,0,901
50,Afitti,0,568
51,Avatime,0,171
52,Abua,0,10
53,Dghwede,0,606
54,Eloyi,0,126
55,Gikyode,0,257
56,Ginyanga,0,306
57,Huba,0,541
58,Pan,0,242
59,Krache,0,132
60,Krim,0,16
61,West Central Banda,0,637
62,Foodo,0,375
63,Jola-Esulalu,0,18
64,Jumjum,0,487
65,Burun,0,575
66,Olu'bo,0,721
67,Maay,0,496
68,Mabaan,0,428
69,Nizaa,0,1263
71,Xhosa,0,1748
72,Siwu,0,234
73,Sherbro,0,13
75,Cherepon,0,201
77,Sekpele,0,301
78,Mampruli,0,152
79,Tonga (Zambia),0,944
80,Jaad-Badyara,0,62
81,Selee,0,364
82,Tiv,0,208
83,Bilin,0,1678
84,Xamtanga,0,2165
85,Liko,0,763
86,Yansi,0,355
87,Budu,0,778
88,Kele-Foma,0,424
89,Lengola,0,468
90,Keliko,0,1167
91,Wongo,0,483
92,Mwali Comorian,0,257
93,Afar,0,323
94,Mundang,0,390
95,Mono (Cameroon),0,233
96,Tupuri,0,353
97,Kuo,0,568
98,Kare (Central African Republic),0,997
99,Ndai,0,636
100,Bambassi,0,1454
101,Tigrinya,0,2332
102,Karamojong,0,1142
103,Gwandara,0,748
104,Avikam,0,11
105,Shilluk,0,399
106,Hai//om,0,1418
107,Pero,0,319
108,Borana-Arsi-Guji Oromo,0,733
109,Hadiyya,0,2166
110,Wolaytta,0,1324
111,Kunyi,0,159
112,Otuho,0,809
113,Masaaba,0,1666
114,Kamwe,0,576
115,Manya,0,568
116,Saya,0,596
117,Njebi,0,728
118,Tadaksahak,0,313
119,Kambaata,0,2120
120,Otoro,0,752
121,Tira,0,638
122,Nyam,0,244
123,Fali,0,776
124,Mawa (Chad),0,544
125,East Taa,0,1127
126,Koalib-Rere,0,732
127,Kagulu,0,1176
129,North-Central Ju,0,1653
130,Ghomálá',0,1552
131,Defaka,0,6
132,Tee,0,25
133,Kipsigis,0,1984
134,Pangwa,0,1313
135,Holoholo,0,798
136,Buli (Ghana),0,204
137,Balanta-Ganja,0,21
138,Nyambo,0,1513
139,Dan,0,324
140,Pökoot,0,1866
141,Afrikaans,0,581
142,Argobba,0,2752
143,Harari,0,1841
145,Nzima,0,19
146,Ahanta,0,37
148,Buwal,0,600
149,Hdi,0,588
150,Lamang,0,1015
151,Ikwere,0,24
152,Lagwan,0,300
153,Gbaya-Mbodomo,0,697
154,Mbuko,0,480
155,Moloko,0,454
156,Muyang,0,410
157,Ngomba,0,1454
158,Kemezung,0,910
159,Nateni,0,454
160,Silt'e,0,2047
161,Weh,0,1065
162,Tulishi,0,623
163,Keiga,0,511
164,Krongo,0,453
165,Kanga,0,473
166,Katcha-Kadugli-Miri,0,473
167,Morokodo,0,574
168,Aringa,0,870
169,Tese,0,618
170,Lumun,0,728
171,Acheron,0,927
172,Tocho,0,661
173,Dagik,0,454
174,Didinga,0,1818
175,Luwo,0,496
176,Acoli,0,867
177,Belanda Bor,0,514
178,Belanda Viri,0,501
179,Ndogo,0,460
180,Bade,0,341
181,Pichi,0,66
182,Jita,0,1286
183,Dime,0,1906
184,Tsotso,0,1459
185,Jamsay Dogon,0,280
186,Kamba (Kenya),0,971
187,Lango (Uganda),0,1052
188,Kisa,0,1434
189,Nyole,0,1066
190,Mwani,0,18
191,Kgalagadi,0,1046
192,Tiéyaxo Bozo,0,275
193,Alaba-K'abeena,0,2073
194,Degema,0,1
195,Principense,0,469
196,Nkonya,0,95
198,Kistane,0,2644
199,Mesqan,0,2134
200,Sebat Bet Gurage,0,2272
204,Inor,0,2043
205,Dzùùngoo,0,376
206,Bagirmi,0,302
207,Ngiti,0,1617
208,Ndali,0,1134
209,Me'en,0,1009
210,Ngasa,0,1807
211,Mbay,0,460
212,Northern Gumuz,0,837
213,Soo,0,1901
214,Bench,0,2236
215,Yemsa,0,2227
217,Gamo,0,1077
218,Koorete,0,2321
219,Aari,0,1513
