,language,sonorant,elevation
aari1239,Aari,16,1513
abar1238,Mungbam,16,777
abid1235,Abidji,22,96
abua1244,Abua,20,10
abur1243,Abure,21,4
ache1245,Acheron,30,927
acol1236,Acoli,17,867
adam1253,Adamawa Fulfulde,39,370
adio1239,Adioukrou,15,68
afar1241,Afar,16,323
afit1238,Afitti,14,568
afri1274,Afrikaans,29,581
aghe1239,Aghem,27,1047
ahan1243,Ahanta,22,37
ahan1244,Àhàn,23,302
ajas1235,Aja (Sudan),20,609
akan1250,Akan,40,166
akas1242,Akaselem,36,319
akoo1248,Akoose,18,859
akpe1248,Akpes,17,294
alab1254,Alaba-K'abeena,24,2073
alla1248,Alladian,18,14
ambo1250,Ambonese Malay,13,176
anfi1235,Anfillo,21,1472
ango1258,Angolar,20,104
anii1245,Anii,20,395
anuf1239,Anufo,26,137
anyi1244,Anyin Morofo,23,79
anyi1245,Anyin,61,181
arbo1245,Arbore,25,504
argo1244,Argobba,15,2752
arin1244,Aringa,18,870
ashe1269,Ashe,17,667
atti1239,Attié,20,72
avat1244,Avatime,26,171
avik1243,Avikam,14,11
awng1244,Awngi,14,2024
ayer1245,Ayere,23,396
bade1248,Bade,17,341
bady1239,Jaad-Badyara,26,62
bafa1249,Bafanji,39,1171
bafi1243,Bafia,54,577
bagi1246,Bagirmi,24,302
baka1272,Baka (Cameroon),13,548
baka1273,Bakaka,60,517
baka1274,Baka (Sudan),20,885
bala1302,Balanta-Ganja,24,21
bali1278,Balinese,14,1283
bamb1262,Bambassi,17,1454
bamb1269,Bambara,34,386
bana1305,Bana,11,851
band1353,Banda Malay,13,260
bank1256,Bankon,16,84
bare1279,Barain,88,395
bass1260,Bassossi,19,325
bata1293,Batak Karo,14,7
bela1255,Belanda Viri,17,501
bela1256,Belanda Bor,19,514
bela1260,Lemeting,13,18
bena1262,Bena (Tanzania),17,1738
benc1235,Bench,23,2236
biak1248,Biak,10,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,14,15
bila1255,Bila,13,788
bili1260,Bilin,15,1678
bomi1238,Bomitaba,14,316
bora1271,Borana-Arsi-Guji Oromo,17,733
boun1243,Bouna Kulango,26,251
buam1238,Buamu,12,319
budu1250,Budu,14,778
bugi1244,Buginese,14,62
buli1254,Buli (Ghana),22,204
bumm1238,Bum,17,1322
buol1237,Buol,12,134
burj1242,Burji,17,1406
buru1301,Burun,24,575
busa1253,Busa,16,243
buwa1243,Buwal,10,600
came1252,Donga Mambila,18,781
ceba1235,Cebaara Senoufo,41,390
cebu1242,Cebuano,10,372
cent2087,Coastal-Naga Bikol,14,182
cent2194,Central Moroccan Berber,11,1354
cher1271,Cherepon,19,201
chon1287,Chonyi-Dzihana-Kauma,14,65
dagi1241,Dagik,19,454
dann1241,Dan,51,324
defa1248,Defaka,24,6
dege1246,Degema,19,1
dghw1239,Dghwede,9,606
dibo1245,Dibole,11,321
didi1258,Didinga,32,1818
digo1243,Digo,14,19
dime1235,Dime,30,1906
diri1252,Diriku,13,1093
domp1238,Dompo,14,228
duru1249,Duruma,14,221
dzuu1241,Dzùùngoo,34,376
east2440,East Makian,12,308
east2563,Eastern Cham,17,24
east2652,Eastern Oromo,23,1408
ejag1239,Ejagham,14,220
eloy1241,Eloyi,17,126
eten1239,Eten,26,1256
eton1253,Eton-Mengisa,23,516
fali1285,Fali,19,776
fang1248,Fang (Cameroon),18,749
fern1234,Pichi,14,66
fipa1238,Fipa,21,1821
food1238,Foodo,26,375
fuli1240,Fuliiru,17,1629
gaaa1245,Gaa,14,545
gaam1241,Gaam,26,898
gagu1242,Gban,17,166
gamo1243,Gamo,16,1077
gava1241,Gavar,14,622
gbay1281,Gbaya-Mbodomo,15,697
gbes1238,Gbesi Gbe,24,62
ghom1247,Ghomálá',26,1552
giky1238,Gikyode,31,257
giny1241,Ginyanga,33,306
giry1241,Giryama,56,122
glav1244,Glavda,15,410
gude1246,Gude,10,874
guin1254,Guinea Kpelle,20,446
gumu1244,Northern Gumuz,18,837
guro1248,Guro,35,276
gwan1268,Gwandara,126,748
gwen1239,Gweno,13,1062
hadi1240,Hadiyya,22,2166
haio1238,Hai//om,11,1418
hang1260,Hangaza,16,1353
hara1271,Harari,16,1841
hdii1240,Hdi,10,588
heib1243,Ebang,16,835
here1253,Herero,11,1144
hili1240,Hiligaynon,12,74
holo1240,Holoholo,14,798
huaa1248,East Taa,34,1127
huba1236,Huba,11,541
idom1241,Idoma,34,236
igoo1238,Igo,14,722
ikwe1242,Ikwere,22,24
ilok1237,Iloko,13,287
indo1316,Indonesian,15,556
inor1238,Inor,49,2043
irig1241,Irigwe,37,1082
iyiv1238,Iyive,16,380
izer1241,Izere,15,1041
jams1239,Jamsay Dogon,38,280
java1254,Javanese,16,112
jere1244,Jere,24,876
jita1239,Jita,13,1286
jola1262,Jola-Esulalu,34,18
jowu1238,Jowulu,29,512
jumj1238,Jumjum,25,487
kabu1256,Kabuverdianu,14,467
kagf1238,Ut-Main,25,323
kagu1239,Kagulu,15,1176
kahe1238,Kahe,18,707
kaka1265,Kakabe,22,996
kako1242,Kako,20,594
kamb1297,Kamba (Kenya),22,971
kamb1299,Kambera,18,325
kamb1316,Kambaata,27,2120
kamw1239,Kamwe,14,576
kang1288,Kanga,71,473
kara1483,Karamojong,47,1142
kare1338,Kare (Central African Republic),32,997
katc1249,Katcha-Kadugli-Miri,108,473
keig1242,Keiga,36,511
kele1255,Kele-Foma,14,424
keli1248,Keliko,15,1167
keme1240,Kemezung,15,910
kete1252,Kete,11,889
kgal1244,Kgalagadi,16,1046
kima1244,Kimaragang,12,258
kips1239,Kipsigis,26,1984
