,language,strident,elevation
aari1239,Aari,9,1513
abar1238,Mungbam,4,777
abid1235,Abidji,1,96
abua1244,Abua,2,10
abur1243,Abure,1,4
ache1245,Acheron,2,927
adam1253,Adamawa Fulfulde,10,370
adio1239,Adioukrou,3,68
afar1241,Afar,1,323
afit1238,Afitti,1,568
afri1274,Afrikaans,1,581
aghe1239,Aghem,6,1047
ahan1243,Ahanta,3,37
ahan1244,Àhàn,6,302
ajas1235,Aja (Sudan),4,609
akan1250,Akan,6,166
akas1242,Akaselem,1,319
akoo1248,Akoose,2,859
akpe1248,Akpes,4,294
alab1254,Alaba-K'abeena,14,2073
alla1248,Alladian,4,14
ambo1250,Ambonese Malay,1,176
anfi1235,Anfillo,7,1472
ango1258,Angolar,6,104
anii1245,Anii,4,395
anuf1239,Anufo,5,137
anyi1244,Anyin Morofo,2,79
anyi1245,Anyin,7,181
arbo1245,Arbore,11,504
argo1244,Argobba,7,2752
arin1244,Aringa,5,870
ashe1269,Ashe,3,667
atti1239,Attié,6,72
avat1244,Avatime,4,171
avik1243,Avikam,6,11
awng1244,Awngi,6,2024
ayer1245,Ayere,6,396
bade1248,Bade,5,341
bady1239,Jaad-Badyara,3,62
bafa1249,Bafanji,5,1171
bafi1243,Bafia,8,577
bagi1246,Bagirmi,3,302
baka1272,Baka (Cameroon),3,548
baka1273,Bakaka,6,517
baka1274,Baka (Sudan),4,885
bala1302,Balanta-Ganja,4,21
bali1278,Balinese,3,1283
bamb1262,Bambassi,5,1454
bamb1269,Bambara,2,386
bana1305,Bana,5,851
band1353,Banda Malay,1,260
bank1256,Bankon,4,84
bare1279,Barain,7,395
bass1260,Bassossi,2,325
bata1293,Batak Karo,3,7
bela1255,Belanda Viri,3,501
bela1260,Lemeting,1,18
bena1262,Bena (Tanzania),2,1738
benc1235,Bench,25,2236
biak1248,Biak,1,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,1,15
bila1255,Bila,3,788
bili1260,Bilin,6,1678
bomi1238,Bomitaba,2,316
bora1271,Borana-Arsi-Guji Oromo,3,733
boun1243,Bouna Kulango,4,251
buam1238,Buamu,2,319
budu1250,Budu,1,778
bugi1244,Buginese,3,62
buli1254,Buli (Ghana),4,204
bumm1238,Bum,10,1322
buol1237,Buol,2,134
burj1242,Burji,6,1406
buru1301,Burun,2,575
busa1253,Busa,2,243
buwa1243,Buwal,5,600
came1252,Donga Mambila,3,781
ceba1235,Cebaara Senoufo,12,390
cebu1242,Cebuano,3,372
cent2087,Coastal-Naga Bikol,5,182
cent2194,Central Moroccan Berber,8,1354
cher1271,Cherepon,1,201
chon1287,Chonyi-Dzihana-Kauma,9,65
dagi1241,Dagik,1,454
dann1241,Dan,6,324
defa1248,Defaka,2,6
dege1246,Degema,2,1
dghw1239,Dghwede,2,606
dibo1245,Dibole,5,321
didi1258,Didinga,3,1818
digo1243,Digo,10,19
dime1235,Dime,14,1906
diri1252,Diriku,3,1093
domp1238,Dompo,4,228
duru1249,Duruma,9,221
dzuu1241,Dzùùngoo,5,376
east2440,East Makian,3,308
east2563,Eastern Cham,1,24
east2652,Eastern Oromo,12,1408
ejag1239,Ejagham,3,220
eloy1241,Eloyi,5,126
eten1239,Eten,13,1256
eton1253,Eton-Mengisa,4,516
fali1285,Fali,8,776
fang1248,Fang (Cameroon),5,749
fern1234,Pichi,4,66
fipa1238,Fipa,5,1821
food1238,Foodo,4,375
fuli1240,Fuliiru,5,1629
gaaa1245,Gaa,2,545
gaam1241,Gaam,2,898
gagu1242,Gban,2,166
gamo1243,Gamo,8,1077
gava1241,Gavar,10,622
gbay1281,Gbaya-Mbodomo,2,697
gbes1238,Gbesi Gbe,4,62
ghom1247,Ghomálá',9,1552
giky1238,Gikyode,3,257
giny1241,Ginyanga,5,306
giry1241,Giryama,36,122
glav1244,Glavda,8,410
gude1246,Gude,5,874
guin1254,Guinea Kpelle,1,446
gumu1244,Northern Gumuz,8,837
guro1248,Guro,4,276
gwan1268,Gwandara,38,748
gwen1239,Gweno,1,1062
hadi1240,Hadiyya,4,2166
haio1238,Hai//om,4,1418
hang1260,Hangaza,5,1353
hara1271,Harari,3,1841
hdii1240,Hdi,7,588
