,language,syllabic,elevation
aari1239,Aari,10,1513
abar1238,Mungbam,8,777
abid1235,Abidji,15,96
abua1244,Abua,10,10
abur1243,Abure,14,4
ache1245,Acheron,20,927
acol1236,Acoli,9,867
adam1253,Adamawa Fulfulde,20,370
adio1239,Adioukrou,7,68
afar1241,Afar,10,323
afit1238,Afitti,6,568
afri1274,Afrikaans,23,581
aghe1239,Aghem,19,1047
ahan1243,Ahanta,14,37
ahan1244,Àhàn,14,302
ajas1235,Aja (Sudan),10,609
akan1250,Akan,30,166
akas1242,Akaselem,29,319
akoo1248,Akoose,12,859
akpe1248,Akpes,10,294
alab1254,Alaba-K'abeena,10,2073
alla1248,Alladian,11,14
ambo1250,Ambonese Malay,5,176
anfi1235,Anfillo,10,1472
ango1258,Angolar,12,104
anii1245,Anii,11,395
anuf1239,Anufo,12,137
anyi1244,Anyin Morofo,14,79
anyi1245,Anyin,44,181
arbo1245,Arbore,10,504
argo1244,Argobba,8,2752
arin1244,Aringa,9,870
ashe1269,Ashe,9,667
atti1239,Attié,15,72
avat1244,Avatime,18,171
avik1243,Avikam,6,11
awng1244,Awngi,6,2024
ayer1245,Ayere,14,396
bade1248,Bade,9,341
bady1239,Jaad-Badyara,18,62
bafa1249,Bafanji,30,1171
bafi1243,Bafia,38,577
bagi1246,Bagirmi,16,302
baka1272,Baka (Cameroon),7,548
baka1273,Bakaka,41,517
baka1274,Baka (Sudan),10,885
bala1302,Balanta-Ganja,14,21
bali1278,Balinese,6,1283
bamb1262,Bambassi,10,1454
bamb1269,Bambara,24,386
bana1305,Bana,3,851
band1353,Banda Malay,5,260
bank1256,Bankon,7,84
bare1279,Barain,40,395
bass1260,Bassossi,12,325
bata1293,Batak Karo,8,7
bela1255,Belanda Viri,10,501
bela1256,Belanda Bor,10,514
bela1260,Lemeting,6,18
bena1262,Bena (Tanzania),10,1738
benc1235,Bench,10,2236
biak1248,Biak,5,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,7,15
bila1255,Bila,9,788
bili1260,Bilin,7,1678
bomi1238,Bomitaba,10,316
bora1271,Borana-Arsi-Guji Oromo,10,733
boun1243,Bouna Kulango,17,251
buam1238,Buamu,8,319
