,language,tap,elevation
abua1244,Abua,1,10
acol1236,Acoli,1,867
ajas1235,Aja (Sudan),2,609
arbo1245,Arbore,2,504
argo1244,Argobba,1,2752
arin1244,Aringa,1,870
ashe1269,Ashe,1,667
baka1274,Baka (Sudan),2,885
bana1305,Bana,2,851
bela1256,Belanda Bor,1,514
dagi1241,Dagik,2,454
defa1248,Defaka,1,6
didi1258,Didinga,1,1818
dime1235,Dime,1,1906
ejag1239,Ejagham,1,220
eten1239,Eten,5,1256
fali1285,Fali,1,776
gaaa1245,Gaa,1,545
gaam1241,Gaam,1,898
gamo1243,Gamo,1,1077
gava1241,Gavar,1,622
gude1246,Gude,2,874
guro1248,Guro,1,276
gwan1268,Gwandara,6,748
heib1243,Ebang,1,835
here1253,Herero,1,1144
idom1241,Idoma,1,236
irig1241,Irigwe,3,1082
kare1338,Kare (Central African Republic),1,997
kima1244,Kimaragang,1,258
koal1240,Koalib-Rere,1,732
koor1239,Koorete,1,2321
kuoo1238,Kuo,1,568
lagw1237,Lagwan,1,300
lang1322,Lango (Sudan),1,776
leng1258,Lengola,2,468
lese1243,Lese,3,973
logo1259,Logo,1,901
long1387,Longto,1,441
lumu1239,Lumun,2,728
luwo1239,Luwo,1,496
mach1266,Machame,2,1072
mada1282,Mada (Nigeria),2,470
mawa1270,Mawa (Chad),1,544
mbay1241,Mbay,1,460
mfum1238,Southern Mfumte,1,662
mofu1248,Mofu-Gudur,1,730
mono1269,Mono (Cameroon),1,233
moro1284,Morokodo,1,574
mund1325,Mundang,1,390
ndai1238,Ndai,1,636
ndog1248,Ndogo,2,460
ngas1238,Ngasa,1,1807
njeb1242,Njebi,1,728
nucl1683,Daba,1,813
orma1241,Orma,1,141
otor1240,Otoro,1,752
otuh1238,Otuho,2,809
sand1273,Sandawe,1,1208
sher1258,Sherbro,1,13
shwa1239,Shwai,1,721
suga1248,Nizaa,2,1263
tach1250,Tachelhit,1,904
tada1238,Tadaksahak,2,313
tiey1235,Tiéyaxo Bozo,1,275
tigo1236,Tigon Mbembe,6,255
tigr1271,Tigrinya,1,2332
tira1254,Tira,1,638
toch1257,Tocho,1,661
tsot1241,Tsotso,1,1459
tupu1244,Tupuri,1,353
uppe1455,Upper Guinea Crioulo,1,44
wehh1238,Weh,1,1065
west2458,West Central Banda,2,637
yems1235,Yemsa,1,2227
0,Adamawa Fulfulde,0,370
1,Anyin,0,181
2,Anyin Morofo,0,79
3,Akan,0,166
4,Anufo,0,137
5,Dibole,0,321
6,Bila,0,788
7,Busa,0,243
8,Hausa States Fulfulde,0,363
9,Cebaara Senoufo,0,390
10,Koyra Chiini Songhay,0,264
11,Bafia,0,577
12,Lega-Shabunda,0,633
13,Limbum,0,1057
14,Myene,0,26
15,Ntcham,0,243
16,Tunen,0,708
17,Matumbi,0,257
18,Yao,0,1194
19,Umbundu,0,1239
20,Ndonga,0,1095
21,Mbukushu,0,1010
22,Diriku,0,1093
23,Kwangali,0,1124
24,Soninke,0,157
25,Koyraboro Senni Songhai,0,261
26,Lele (Chad),0,399
28,Mongo,0,381
29,Xwela Gbe,0,32
30,Western Xwla Gbe,0,5
31,Kotafon Gbe,0,60
32,Gbesi Gbe,0,62
33,Mbe,0,124
34,Ngwe,0,992
35,Jowulu,0,512
36,Yala,0,65
37,Mambwe-Lungu,0,1249
38,Kete,0,889
39,Kwese,0,795
40,Southern Ma'di,0,659
41,Moru,0,651
42,Afitti,0,568
43,Avatime,0,171
44,Dghwede,0,606
45,Eloyi,0,126
46,Gikyode,0,257
47,Ginyanga,0,306
48,Huba,0,541
49,Pan,0,242
50,Krache,0,132
51,Krim,0,16
52,South Central Dinka,0,432
53,Foodo,0,375
54,Jola-Esulalu,0,18
55,Jumjum,0,487
56,Burun,0,575
57,Olu'bo,0,721
58,Maay,0,496
59,Mabaan,0,428
61,Xhosa,0,1748
62,Siwu,0,234
63,Cherepon,0,201
64,Palor,0,100
66,Sekpele,0,301
67,Mampruli,0,152
68,Tonga (Zambia),0,944
69,Jaad-Badyara,0,62
70,Selee,0,364
71,Tiv,0,208
72,Bilin,0,1678
73,Xamtanga,0,2165
74,Liko,0,763
75,Yansi,0,355
76,Budu,0,778
77,Kele-Foma,0,424
78,Keliko,0,1167
79,Wongo,0,483
80,Mwali Comorian,0,257
81,Afar,0,323
82,Bambassi,0,1454
83,Karamojong,0,1142
84,Avikam,0,11
85,Shilluk,0,399
86,Hai//om,0,1418
87,Pero,0,319
88,Borana-Arsi-Guji Oromo,0,733
89,Hadiyya,0,2166
90,Wolaytta,0,1324
91,Kunyi,0,159
92,Masaaba,0,1666
93,Kamwe,0,576
94,Manya,0,568
95,Saya,0,596
96,Kambaata,0,2120
97,Nyam,0,244
98,East Taa,0,1127
