Glottocode,language,tap,elevation
abua1244,Abua,1,10
acol1236,Acoli,1,867
ajas1235,Aja (Sudan),2,609
arbo1245,Arbore,2,504
argo1244,Argobba,1,2752
arin1244,Aringa,1,870
ashe1269,Ashe,1,667
baka1274,Baka (Sudan),2,885
bana1305,Bana,2,851
bela1256,Belanda Bor,1,514
dagi1241,Dagik,2,454
defa1248,Defaka,1,6
didi1258,Didinga,1,1818
dime1235,Dime,1,1906
ejag1239,Ejagham,1,220
eten1239,Eten,5,1256
fali1285,Fali,1,776
gaaa1245,Gaa,1,545
gaam1241,Gaam,1,898
gamo1243,Gamo,1,1077
gava1241,Gavar,1,622
gude1246,Gude,2,874
guro1248,Guro,1,276
gwan1268,Gwandara,6,748
heib1243,Ebang,1,835
here1253,Herero,1,1144
idom1241,Idoma,1,236
irig1241,Irigwe,3,1082
kare1338,Kare (Central African Republic),1,997
kima1244,Kimaragang,1,258
koal1240,Koalib-Rere,1,732
koor1239,Koorete,1,2321
kuoo1238,Kuo,1,568
lagw1237,Lagwan,1,300
lang1322,Lango (Sudan),1,776
leng1258,Lengola,2,468
lese1243,Lese,3,973
logo1259,Logo,1,901
long1387,Longto,1,441
lumu1239,Lumun,2,728
luwo1239,Luwo,1,496
mach1266,Machame,2,1072
mada1282,Mada (Nigeria),2,470
mawa1270,Mawa (Chad),1,544
mbay1241,Mbay,1,460
mfum1238,Southern Mfumte,1,662
mofu1248,Mofu-Gudur,1,730
mono1269,Mono (Cameroon),1,233
moro1284,Morokodo,1,574
mund1325,Mundang,1,390
ndai1238,Ndai,1,636
ndog1248,Ndogo,2,460
ngas1238,Ngasa,1,1807
njeb1242,Njebi,1,728
nucl1683,Daba,1,813
orma1241,Orma,1,141
otor1240,Otoro,1,752
otuh1238,Otuho,2,809
sand1273,Sandawe,1,1208
sher1258,Sherbro,1,13
shwa1239,Shwai,1,721
suga1248,Nizaa,2,1263
tach1250,Tachelhit,1,904
tada1238,Tadaksahak,2,313
tiey1235,Tiéyaxo Bozo,1,275
tigo1236,Tigon Mbembe,6,255
tigr1271,Tigrinya,1,2332
tira1254,Tira,1,638
toch1257,Tocho,1,661
tsot1241,Tsotso,1,1459
tupu1244,Tupuri,1,353
uppe1455,Upper Guinea Crioulo,1,44
wehh1238,Weh,1,1065
west2458,West Central Banda,2,637
yems1235,Yemsa,1,2227
