Glottocode,language,tense,elevation
aari1239,Aari,5,1513
abar1238,Mungbam,7,777
abid1235,Abidji,9,96
abua1244,Abua,7,10
abur1243,Abure,8,4
ache1245,Acheron,10,927
acol1236,Acoli,5,867
adam1253,Adamawa Fulfulde,20,370
adio1239,Adioukrou,6,68
afar1241,Afar,10,323
afit1238,Afitti,6,568
afri1274,Afrikaans,12,581
aghe1239,Aghem,10,1047
ahan1243,Ahanta,8,37
ahan1244,Àhàn,11,302
ajas1235,Aja (Sudan),6,609
akan1250,Akan,14,166
akas1242,Akaselem,14,319
akoo1248,Akoose,8,859
akpe1248,Akpes,6,294
alab1254,Alaba-K'abeena,6,2073
alla1248,Alladian,9,14
ambo1250,Ambonese Malay,6,176
anfi1235,Anfillo,12,1472
ango1258,Angolar,10,104
anii1245,Anii,7,395
anuf1239,Anufo,10,137
anyi1244,Anyin Morofo,9,79
anyi1245,Anyin,25,181
arbo1245,Arbore,4,504
argo1244,Argobba,7,2752
arin1244,Aringa,6,870
ashe1269,Ashe,6,667
atti1239,Attié,9,72
avat1244,Avatime,10,171
avik1243,Avikam,5,11
awng1244,Awngi,7,2024
ayer1245,Ayere,11,396
bade1248,Bade,9,341
bady1239,Jaad-Badyara,14,62
bafa1249,Bafanji,17,1171
bafi1243,Bafia,23,577
bagi1246,Bagirmi,11,302
baka1272,Baka (Cameroon),6,548
baka1273,Bakaka,29,517
baka1274,Baka (Sudan),6,885
bala1302,Balanta-Ganja,10,21
bali1278,Balinese,6,1283
bamb1262,Bambassi,10,1454
bamb1269,Bambara,15,386
bana1305,Bana,3,851
band1353,Banda Malay,6,260
bank1256,Bankon,6,84
bare1279,Barain,42,395
bass1260,Bassossi,7,325
bata1293,Batak Karo,7,7
bela1255,Belanda Viri,7,501
bela1256,Belanda Bor,6,514
bela1260,Lemeting,6,18
bena1262,Bena (Tanzania),9,1738
benc1235,Bench,11,2236
biak1248,Biak,6,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,6,15
bila1255,Bila,6,788
bili1260,Bilin,7,1678
bomi1238,Bomitaba,9,316
bora1271,Borana-Arsi-Guji Oromo,10,733
boun1243,Bouna Kulango,10,251
buam1238,Buamu,6,319
budu1250,Budu,6,778
bugi1244,Buginese,6,62
buli1254,Buli (Ghana),13,204
bumm1238,Bum,6,1322
buol1237,Buol,6,134
burj1242,Burji,10,1406
buru1301,Burun,6,575
busa1253,Busa,8,243
buwa1243,Buwal,2,600
came1252,Donga Mambila,10,781
ceba1235,Cebaara Senoufo,8,390
cebu1242,Cebuano,4,372
cent2087,Coastal-Naga Bikol,6,182
cent2194,Central Moroccan Berber,4,1354
cher1271,Cherepon,9,201
chon1287,Chonyi-Dzihana-Kauma,6,65
dagi1241,Dagik,6,454
dann1241,Dan,19,324
defa1248,Defaka,14,6
dege1246,Degema,6,1
dghw1239,Dghwede,4,606
dibo1245,Dibole,5,321
didi1258,Didinga,10,1818
digo1243,Digo,6,19
dime1235,Dime,17,1906
diri1252,Diriku,2,1093
domp1238,Dompo,6,228
duru1249,Duruma,6,221
dzuu1241,Dzùùngoo,16,376
east2440,East Makian,6,308
east2563,Eastern Cham,7,24
east2652,Eastern Oromo,11,1408
ejag1239,Ejagham,5,220
eloy1241,Eloyi,6,126
eten1239,Eten,7,1256
eton1253,Eton-Mengisa,10,516
fali1285,Fali,8,776
fang1248,Fang (Cameroon),8,749
fern1234,Pichi,6,66
fipa1238,Fipa,10,1821
food1238,Foodo,10,375
fuli1240,Fuliiru,10,1629
gaaa1245,Gaa,6,545
