Glottocode,language,approximant,elevation
aari1239,Aari,14,1513
abar1238,Mungbam,12,777
abid1235,Abidji,19,96
abua1244,Abua,15,10
abur1243,Abure,17,4
ache1245,Acheron,24,927
acol1236,Acoli,13,867
adam1253,Adamawa Fulfulde,29,370
adio1239,Adioukrou,11,68
afar1241,Afar,14,323
afit1238,Afitti,10,568
afri1274,Afrikaans,26,581
aghe1239,Aghem,22,1047
ahan1243,Ahanta,17,37
ahan1244,Àhàn,19,302
ajas1235,Aja (Sudan),16,609
akan1250,Akan,34,166
akas1242,Akaselem,32,319
akoo1248,Akoose,15,859
akpe1248,Akpes,14,294
alab1254,Alaba-K'abeena,18,2073
alla1248,Alladian,15,14
ambo1250,Ambonese Malay,9,176
anfi1235,Anfillo,17,1472
ango1258,Angolar,16,104
anii1245,Anii,15,395
anuf1239,Anufo,19,137
anyi1244,Anyin Morofo,17,79
anyi1245,Anyin,53,181
arbo1245,Arbore,18,504
argo1244,Argobba,12,2752
arin1244,Aringa,13,870
ashe1269,Ashe,13,667
atti1239,Attié,19,72
avat1244,Avatime,21,171
avik1243,Avikam,9,11
awng1244,Awngi,10,2024
ayer1245,Ayere,19,396
bade1248,Bade,13,341
bady1239,Jaad-Badyara,22,62
bafa1249,Bafanji,33,1171
bafi1243,Bafia,46,577
bagi1246,Bagirmi,20,302
baka1272,Baka (Cameroon),10,548
baka1273,Bakaka,49,517
baka1274,Baka (Sudan),16,885
bala1302,Balanta-Ganja,18,21
bali1278,Balinese,10,1283
bamb1262,Bambassi,14,1454
bamb1269,Bambara,28,386
bana1305,Bana,7,851
band1353,Banda Malay,9,260
bank1256,Bankon,11,84
bare1279,Barain,62,395
bass1260,Bassossi,15,325
bata1293,Batak Karo,11,7
bela1255,Belanda Viri,14,501
bela1256,Belanda Bor,14,514
bela1260,Lemeting,9,18
bena1262,Bena (Tanzania),13,1738
benc1235,Bench,17,2236
biak1248,Biak,8,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,10,15
bila1255,Bila,12,788
bili1260,Bilin,11,1678
bomi1238,Bomitaba,12,316
bora1271,Borana-Arsi-Guji Oromo,14,733
boun1243,Bouna Kulango,21,251
buam1238,Buamu,9,319
budu1250,Budu,11,778
bugi1244,Buginese,10,62
buli1254,Buli (Ghana),17,204
bumm1238,Bum,12,1322
buol1237,Buol,9,134
burj1242,Burji,14,1406
buru1301,Burun,20,575
busa1253,Busa,14,243
buwa1243,Buwal,6,600
came1252,Donga Mambila,14,781
ceba1235,Cebaara Senoufo,35,390
cebu1242,Cebuano,7,372
cent2087,Coastal-Naga Bikol,10,182
cent2194,Central Moroccan Berber,9,1354
cher1271,Cherepon,13,201
chon1287,Chonyi-Dzihana-Kauma,9,65
dagi1241,Dagik,16,454
dann1241,Dan,44,324
defa1248,Defaka,23,6
dege1246,Degema,14,1
dghw1239,Dghwede,7,606
dibo1245,Dibole,9,321
didi1258,Didinga,24,1818
digo1243,Digo,9,19
dime1235,Dime,25,1906
diri1252,Diriku,9,1093
domp1238,Dompo,11,228
duru1249,Duruma,9,221
dzuu1241,Dzùùngoo,29,376
east2440,East Makian,9,308
east2563,Eastern Cham,13,24
east2652,Eastern Oromo,17,1408
ejag1239,Ejagham,10,220
eloy1241,Eloyi,10,126
eten1239,Eten,18,1256
eton1253,Eton-Mengisa,18,516
fali1285,Fali,14,776
fang1248,Fang (Cameroon),13,749
fern1234,Pichi,10,66
fipa1238,Fipa,17,1821
food1238,Foodo,22,375
fuli1240,Fuliiru,14,1629
gaaa1245,Gaa,12,545
gaam1241,Gaam,18,898
gagu1242,Gban,15,166
gamo1243,Gamo,14,1077
gava1241,Gavar,10,622
gbay1281,Gbaya-Mbodomo,11,697
gbes1238,Gbesi Gbe,21,62
ghom1247,Ghomálá',22,1552
giky1238,Gikyode,26,257
giny1241,Ginyanga,28,306
giry1241,Giryama,36,122
glav1244,Glavda,11,410
gude1246,Gude,7,874
guin1254,Guinea Kpelle,15,446
gumu1244,Northern Gumuz,14,837
guro1248,Guro,32,276
gwan1268,Gwandara,107,748
gwen1239,Gweno,9,1062
hadi1240,Hadiyya,18,2166
haio1238,Hai//om,9,1418
hang1260,Hangaza,13,1353
hara1271,Harari,13,1841
hdii1240,Hdi,8,588
heib1243,Ebang,12,835
here1253,Herero,8,1144
hili1240,Hiligaynon,9,74
holo1240,Holoholo,10,798
huaa1248,East Taa,29,1127
huba1236,Huba,9,541
idom1241,Idoma,30,236
igoo1238,Igo,10,722
ikwe1242,Ikwere,22,24
ilok1237,Iloko,10,287
indo1316,Indonesian,11,556
inor1238,Inor,37,2043
irig1241,Irigwe,25,1082
iyiv1238,Iyive,11,380
izer1241,Izere,11,1041
jams1239,Jamsay Dogon,31,280
java1254,Javanese,12,112
jere1244,Jere,20,876
jita1239,Jita,11,1286
jola1262,Jola-Esulalu,26,18
jowu1238,Jowulu,24,512
jumj1238,Jumjum,20,487
kabu1256,Kabuverdianu,10,467
kagf1238,Ut-Main,21,323
kagu1239,Kagulu,8,1176
kahe1238,Kahe,14,707
kaka1265,Kakabe,18,996
kako1242,Kako,16,594
kamb1297,Kamba (Kenya),18,971
kamb1299,Kambera,14,325
kamb1316,Kambaata,22,2120
kamw1239,Kamwe,11,576
kang1288,Kanga,55,473
kara1483,Karamojong,43,1142
kare1338,Kare (Central African Republic),29,997
katc1249,Katcha-Kadugli-Miri,84,473
keig1242,Keiga,28,511
kele1255,Kele-Foma,10,424
keli1248,Keliko,11,1167
keme1240,Kemezung,11,910
kete1252,Kete,8,889
