Glottocode,language,consonantal,elevation
aari1239,Aari,23,1513
abar1238,Mungbam,20,777
abid1235,Abidji,18,96
abua1244,Abua,24,10
abur1243,Abure,17,4
ache1245,Acheron,16,927
acol1236,Acoli,15,867
adam1253,Adamawa Fulfulde,60,370
adio1239,Adioukrou,18,68
afar1241,Afar,14,323
afit1238,Afitti,15,568
afri1274,Afrikaans,14,581
aghe1239,Aghem,26,1047
ahan1243,Ahanta,21,37
ahan1244,Àhàn,22,302
ajas1235,Aja (Sudan),35,609
akan1250,Akan,25,166
akas1242,Akaselem,18,319
akoo1248,Akoose,15,859
akpe1248,Akpes,18,294
alab1254,Alaba-K'abeena,46,2073
alla1248,Alladian,20,14
ambo1250,Ambonese Malay,16,176
anfi1235,Anfillo,33,1472
ango1258,Angolar,20,104
anii1245,Anii,20,395
anuf1239,Anufo,40,137
anyi1244,Anyin Morofo,27,79
anyi1245,Anyin,47,181
arbo1245,Arbore,44,504
argo1244,Argobba,26,2752
arin1244,Aringa,33,870
ashe1269,Ashe,21,667
atti1239,Attié,21,72
avat1244,Avatime,22,171
avik1243,Avikam,24,11
awng1244,Awngi,27,2024
ayer1245,Ayere,22,396
bade1248,Bade,31,341
bady1239,Jaad-Badyara,22,62
bafa1249,Bafanji,24,1171
bafi1243,Bafia,47,577
bagi1246,Bagirmi,26,302
baka1272,Baka (Cameroon),22,548
baka1273,Bakaka,41,517
baka1274,Baka (Sudan),33,885
bala1302,Balanta-Ganja,31,21
bali1278,Balinese,15,1283
bamb1262,Bambassi,20,1454
bamb1269,Bambara,29,386
bana1305,Bana,35,851
band1353,Banda Malay,16,260
bank1256,Bankon,24,84
bare1279,Barain,96,395
bass1260,Bassossi,17,325
bata1293,Batak Karo,14,7
bela1255,Belanda Viri,26,501
bela1256,Belanda Bor,23,514
bela1260,Lemeting,16,18
bena1262,Bena (Tanzania),19,1738
benc1235,Bench,70,2236
biak1248,Biak,12,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,16,15
bila1255,Bila,16,788
bili1260,Bilin,28,1678
bomi1238,Bomitaba,14,316
bora1271,Borana-Arsi-Guji Oromo,23,733
boun1243,Bouna Kulango,24,251
buam1238,Buamu,16,319
budu1250,Budu,28,778
bugi1244,Buginese,16,62
buli1254,Buli (Ghana),21,204
bumm1238,Bum,33,1322
