Glottocode,language,front,elevation
aari1239,Aari,5,1513
abar1238,Mungbam,9,777
abid1235,Abidji,9,96
abua1244,Abua,5,10
abur1243,Abure,10,4
ache1245,Acheron,12,927
acol1236,Acoli,7,867
adam1253,Adamawa Fulfulde,14,370
adio1239,Adioukrou,5,68
afar1241,Afar,5,323
afit1238,Afitti,6,568
afri1274,Afrikaans,12,581
aghe1239,Aghem,10,1047
ahan1243,Ahanta,13,37
ahan1244,Àhàn,9,302
ajas1235,Aja (Sudan),10,609
akan1250,Akan,25,166
akas1242,Akaselem,18,319
akoo1248,Akoose,9,859
akpe1248,Akpes,5,294
alab1254,Alaba-K'abeena,8,2073
alla1248,Alladian,10,14
ambo1250,Ambonese Malay,6,176
anfi1235,Anfillo,6,1472
ango1258,Angolar,7,104
anii1245,Anii,6,395
anuf1239,Anufo,24,137
anyi1244,Anyin Morofo,13,79
anyi1245,Anyin,27,181
arbo1245,Arbore,8,504
argo1244,Argobba,4,2752
arin1244,Aringa,6,870
ashe1269,Ashe,8,667
atti1239,Attié,11,72
avat1244,Avatime,10,171
avik1243,Avikam,3,11
awng1244,Awngi,3,2024
ayer1245,Ayere,9,396
bade1248,Bade,7,341
bady1239,Jaad-Badyara,9,62
bafa1249,Bafanji,11,1171
bafi1243,Bafia,16,577
bagi1246,Bagirmi,11,302
baka1272,Baka (Cameroon),5,548
baka1273,Bakaka,26,517
baka1274,Baka (Sudan),8,885
bala1302,Balanta-Ganja,8,21
bali1278,Balinese,4,1283
bamb1262,Bambassi,5,1454
bamb1269,Bambara,17,386
bana1305,Bana,2,851
band1353,Banda Malay,6,260
bank1256,Bankon,5,84
bare1279,Barain,36,395
bass1260,Bassossi,6,325
bata1293,Batak Karo,3,7
bela1255,Belanda Viri,8,501
bela1256,Belanda Bor,9,514
bela1260,Lemeting,6,18
bena1262,Bena (Tanzania),6,1738
benc1235,Bench,21,2236
biak1248,Biak,3,187
bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,6,15
bila1255,Bila,6,788
bili1260,Bilin,3,1678
bomi1238,Bomitaba,5,316
bora1271,Borana-Arsi-Guji Oromo,9,733
boun1243,Bouna Kulango,11,251
buam1238,Buamu,5,319
budu1250,Budu,12,778
bugi1244,Buginese,4,62
buli1254,Buli (Ghana),8,204
bumm1238,Bum,10,1322
buol1237,Buol,3,134
burj1242,Burji,7,1406
buru1301,Burun,8,575
busa1253,Busa,6,243
buwa1243,Buwal,1,600
came1252,Donga Mambila,6,781
ceba1235,Cebaara Senoufo,11,390
cebu1242,Cebuano,2,372
cent2087,Coastal-Naga Bikol,5,182
cent2194,Central Moroccan Berber,2,1354
cher1271,Cherepon,11,201
chon1287,Chonyi-Dzihana-Kauma,4,65
dagi1241,Dagik,5,454
dann1241,Dan,33,324
defa1248,Defaka,9,6
dege1246,Degema,6,1
dghw1239,Dghwede,5,606
dibo1245,Dibole,4,321
didi1258,Didinga,13,1818
digo1243,Digo,4,19
dime1235,Dime,8,1906
diri1252,Diriku,4,1093
domp1238,Dompo,6,228
duru1249,Duruma,4,221
dzuu1241,Dzùùngoo,15,376
east2440,East Makian,3,308
east2563,Eastern Cham,7,24
east2652,Eastern Oromo,8,1408
ejag1239,Ejagham,5,220
eloy1241,Eloyi,11,126
eten1239,Eten,24,1256
eton1253,Eton-Mengisa,8,516
fali1285,Fali,6,776
fang1248,Fang (Cameroon),6,749
fern1234,Pichi,5,66
fipa1238,Fipa,8,1821
food1238,Foodo,9,375
fuli1240,Fuliiru,6,1629
gaaa1245,Gaa,6,545
gaam1241,Gaam,10,898
gagu1242,Gban,8,166
gamo1243,Gamo,5,1077
gava1241,Gavar,3,622
gbay1281,Gbaya-Mbodomo,5,697
gbes1238,Gbesi Gbe,9,62
ghom1247,Ghomálá',9,1552
giky1238,Gikyode,13,257
giny1241,Ginyanga,12,306
giry1241,Giryama,16,122
glav1244,Glavda,8,410
guin1254,Guinea Kpelle,7,446
gumu1244,Northern Gumuz,9,837
guro1248,Guro,18,276
gwan1268,Gwandara,55,748
gwen1239,Gweno,7,1062
hadi1240,Hadiyya,12,2166
haio1238,Hai//om,3,1418
hang1260,Hangaza,8,1353
hara1271,Harari,9,1841
hdii1240,Hdi,2,588
heib1243,Ebang,6,835
here1253,Herero,6,1144
hili1240,Hiligaynon,3,74
holo1240,Holoholo,5,798
huaa1248,East Taa,12,1127
huba1236,Huba,2,541
idom1241,Idoma,18,236
igoo1238,Igo,7,722
ikwe1242,Ikwere,9,24
ilok1237,Iloko,4,287
indo1316,Indonesian,5,556
inor1238,Inor,25,2043
irig1241,Irigwe,36,1082
iyiv1238,Iyive,9,380
izer1241,Izere,7,1041
