Glottocode,language,labiodental,elevation
aari1239,Aari,1,1513
abar1238,Mungbam,1,777
abid1235,Abidji,1,96
abua1244,Abua,2,10
abur1243,Abure,2,4
adam1253,Adamawa Fulfulde,3,370
adio1239,Adioukrou,1,68
afar1241,Afar,1,323
afit1238,Afitti,1,568
afri1274,Afrikaans,2,581
aghe1239,Aghem,4,1047
ahan1243,Ahanta,1,37
ahan1244,Àhàn,2,302
ajas1235,Aja (Sudan),3,609
akan1250,Akan,1,166
akas1242,Akaselem,1,319
akpe1248,Akpes,1,294
alab1254,Alaba-K'abeena,2,2073
alla1248,Alladian,2,14
ambo1250,Ambonese Malay,1,176
ango1258,Angolar,2,104
anii1245,Anii,1,395
anuf1239,Anufo,2,137
anyi1244,Anyin Morofo,3,79
anyi1245,Anyin,3,181
arbo1245,Arbore,2,504
argo1244,Argobba,1,2752
arin1244,Aringa,3,870
ashe1269,Ashe,1,667
atti1239,Attié,2,72
avat1244,Avatime,2,171
avik1243,Avikam,2,11
awng1244,Awngi,1,2024
ayer1245,Ayere,2,396
bade1248,Bade,2,341
bady1239,Jaad-Badyara,1,62
bafa1249,Bafanji,2,1171
bafi1243,Bafia,4,577
bagi1246,Bagirmi,2,302
baka1273,Bakaka,1,517
baka1274,Baka (Sudan),3,885
bala1302,Balanta-Ganja,2,21
bamb1269,Bambara,2,386
bana1305,Bana,3,851
band1353,Banda Malay,1,260
bank1256,Bankon,1,84
bela1255,Belanda Viri,3,501
bela1256,Belanda Bor,1,514
bena1262,Bena (Tanzania),2,1738
bili1260,Bilin,1,1678
bomi1238,Bomitaba,2,316
bora1271,Borana-Arsi-Guji Oromo,1,733
boun1243,Bouna Kulango,2,251
buam1238,Buamu,2,319
budu1250,Budu,3,778
buli1254,Buli (Ghana),2,204
bumm1238,Bum,1,1322
burj1242,Burji,1,1406
busa1253,Busa,2,243
buwa1243,Buwal,2,600
came1252,Donga Mambila,3,781
ceba1235,Cebaara Senoufo,4,390
cent2087,Coastal-Naga Bikol,2,182
cent2194,Central Moroccan Berber,1,1354
cher1271,Cherepon,1,201
chon1287,Chonyi-Dzihana-Kauma,2,65
dann1241,Dan,4,324
defa1248,Defaka,2,6
dege1246,Degema,1,1
dghw1239,Dghwede,2,606
didi1258,Didinga,1,1818
digo1243,Digo,2,19
dime1235,Dime,2,1906
diri1252,Diriku,2,1093
domp1238,Dompo,2,228
duru1249,Duruma,2,221
dzuu1241,Dzùùngoo,2,376
east2440,East Makian,1,308
east2652,Eastern Oromo,2,1408
ejag1239,Ejagham,1,220
eloy1241,Eloyi,4,126
eten1239,Eten,4,1256
eton1253,Eton-Mengisa,1,516
fali1285,Fali,2,776
fang1248,Fang (Cameroon),3,749
fern1234,Pichi,2,66
fipa1238,Fipa,2,1821
food1238,Foodo,2,375
fuli1240,Fuliiru,2,1629
gaaa1245,Gaa,3,545
gaam1241,Gaam,2,898
gamo1243,Gamo,1,1077
gava1241,Gavar,3,622
gbay1281,Gbaya-Mbodomo,2,697
gbes1238,Gbesi Gbe,2,62
ghom1247,Ghomálá',4,1552
giky1238,Gikyode,1,257
giny1241,Ginyanga,1,306
giry1241,Giryama,8,122
glav1244,Glavda,2,410
gude1246,Gude,4,874
guin1254,Guinea Kpelle,2,446
gumu1244,Northern Gumuz,1,837
guro1248,Guro,2,276
