,language,advancedTongueRoot,elevation
egaa1242,Ega,4,109
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Chamicuro,0,129
4,Chechen,0,178
5,Chepang,0,1595
6,Eastern Mari,0,45
7,Lealao Chinantec,0,1326
8,Chol,0,260
9,Chrau,0,182
10,Barbareño,0,315
11,Coeur d'Alene,0,803
12,Comanche,0,332
13,Cupeño,0,1443
14,Cuvok,0,718
15,Denya,0,133
16,Nepali Kurux,0,77
17,Mufian,0,173
18,Usarufa,0,1982
20,Binumarien,0,883
21,Eggon,0,161
22,Ekpeye,0,15
24,Esimbi,0,693
25,Fang (Equatorial Guinea),0,625
26,Furu,0,406
27,Karadjeri,0,135
28,Gbari,0,156
29,Golin,0,1743
30,Guajajára,0,308
31,Bininj Kun-Wok,0,72
32,Haya,0,1435
34,Huichol,0,1170
35,Huaylas Ancash Quechua,0,4528
36,San Mateo del Mar Huave,0,5
37,Jauja Wanca Quechua,0,4697
38,Luyi,0,1030
39,Ibani,0,5
40,Imonda,0,284
41,Ingush,0,661
42,I'saka,0,542
43,Yalunka,0,490
44,Izere,0,1041
45,Madi,0,96
46,Towa,0,1733
47,Lijili,0,138
48,Kabyle,0,482
49,Gidar,0,394
50,Kayabí,0,345
51,Kamasau,0,96
52,Kanoê,0,142
53,Kenswei Nsei,0,1403
54,Eastern Karaboro,0,264
55,Karipúna Creole French,0,66
56,Kenyang,0,165
57,Kharia,0,376
58,Chong of Chanthaburi,0,21
59,Kinyarwanda,0,1611
60,Kirike,0,22
61,Kokota,0,44
62,Bakole,0,31
63,Konni,0,174
65,Kulung (Nepal),0,1775
66,Kuot,0,564
67,Kusunda,0,2429
68,Kuvi,0,554
69,Kwaza,0,176
70,Leh-Kenhat,0,5176
71,Langi,0,1236
72,Lao,0,153
73,Lavukaleve,0,37
74,Bafaw-Balong,0,98
75,Lunda,0,1225
76,Luchazi,0,1061
77,Oroko,0,386
78,Macedonian,0,919
79,Mada (Cameroon),0,491
80,Madi (Papua New Guinea),0,67
81,Manam,0,1346
82,Bamenyam,0,1222
83,Manange,0,3673
84,Ngemba,0,1220
85,Marra,0,10
86,Maybrat-Karon,0,114
87,Gbaya-Mbodomo,0,697
88,Medumba,0,1311
89,Mingrelian,0,109
90,Mmen,0,925
91,Moken,0,0
92,Mosetén-Chimané,0,385
93,Mpongmpong,0,594
94,Mungaka,0,1374
96,Mwotlap,0,31
97,Namia,0,63
98,Ndemli,0,115
99,Mescalero-Chiricahua Apache,0,2442
100,Quechan,0,36
101,Nankina,0,1140
102,Nandi,0,2146
103,Kimaama,0,6
104,Naki,0,738
105,Michoacán Nahuatl,0,148
106,Naga Pidgin,0,1361
107,Ngoshie,0,1254
108,Ngalakgan,0,123
109,Nangikurrunggurr,0,113
110,Isebe,0,258
111,Ngombale,0,1708
112,Nuu-chah-nulth,0,614
113,Northern Khmer,0,220
114,Northern Paiute,0,1165
115,Nubi,0,1134
116,Nuer,0,409
117,Elip,0,440
118,Nyamwezi,0,1272
119,Nyeu,0,136
120,Obolo,0,22
122,Faiwol,0,1233
123,Oku,0,2019
124,Ossetian,0,852
125,Palauan,0,19
126,Orokaiva,0,201
127,Yil,0,818
128,Ningil,0,418
129,Dobu,0,32
130,Samo,0,138
131,Uri,0,1275
132,Boikin,0,235
133,Prai,0,677
134,Mal,0,996
135,Rama,0,29
136,Matbat,0,158
137,Rundi,0,1271
138,Nyankole,0,1431
139,Marwari (India),0,364
140,Samba Leko,0,912
141,Southern Samo,0,276
142,Samre of Siem Reap,0,32
143,Sabanê,0,312
145,Sasak,0,297
146,Savara,0,260
147,Sayula Popoluca,0,70
148,Secoya,0,211
149,Seediq,0,1174
150,Seimat,0,0
151,Semelai,0,67
152,Serrano,0,731
153,Shabo,0,1683
154,Yawanawa,0,261
155,Makonde,0,55
156,Shona,0,1216
157,Bamun,0,960
