,language,consonantal,elevation
abau1245,Abau,6,51
achi1257,Achinese,18,12
adam1253,Adamawa Fulfulde,24,370
adan1251,Adang,17,316
aheu1239,Thavung,36,150
akha1245,Akha,26,1109
akla1241,Aklanon,14,140
alya1239,Alyawarr,24,240
aman1265,Amanab,11,412
ambe1247,Ambele,35,429
ambu1247,Ambulas,15,101
anei1239,Aneityum,18,557
anti1245,Antigua and Barbuda Creole English,21,24
anua1242,Anuak,17,432
apur1254,Apurinã,11,138
arag1245,Aragonese,19,657
aran1237,Arandai,13,20
arhu1242,Arhuaco,15,3650
auuu1241,Au,8,356
awac1239,Awa-Cuaiquer,12,453
awar1248,Awara,17,1281
awin1248,Awing,37,1972
awtu1239,Awtuw,9,241
baba1264,Baba,21,1527
baba1266,Babanki,24,1731
bafa1247,Bafaw-Balong,25,98
baga1272,Baga Sitemu,15,3
baga1273,Baga Koga,15,17
bako1249,Bakoko,23,26
bako1250,Bakole,25,31
bamb1265,Bambalang,31,1150
bame1260,Bamenyam,36,1222
bamu1253,Bamun,25,960
bamu1256,Bamunka,20,1171
bang1356,Bangolan,24,1207
bani1255,Baniwa do Icana,22,152
baou1238,Baoulé,14,9
barb1263,Barbareño,62,315
bari1286,Bariai,12,237
baru1269,Baruga,13,63
bata1285,Batanga,19,46
bata1289,Batak Toba,15,948
befa1241,Befang,40,573
beli1260,Belize Kriol English,18,33
bemb1257,Bemba (Zambia),13,1257
berb1259,Berbice Creole Dutch,17,25
bett1235,Betta Kurumba,20,1042
biak1248,Biak,12,187
bili1250,Bilinarra,15,254
bilo1248,Biloxi,9,81
bilu1245,Bilua,16,176
bina1277,Binandere,10,35
binu1245,Binumarien,9,883
blan1242,Blang,20,1229
boik1241,Boikin,14,235
bond1245,Bondo,19,100
bong1285,Bongo,16,504
boro1277,Boro (Ethiopia),13,840
brok1247,Brokskat,29,3231
bubi1249,Bubia,23,166
buku1249,Bukusu,18,1631
bumb1241,Bumbita Arapesh,14,204
cavi1250,Cavineña,16,173
cham1318,Chamicuro,16,129
chec1245,Chechen,30,178
chee1238,Che,22,999
chep1245,Chepang,15,1595
chic1270,Chickasaw,13,266
chim1300,Chimalapa Zoque,17,263
chim1301,Chimariko,30,1740
chim1302,Chimborazo Highland Quichua,28,3888
choc1276,Choctaw,12,137
chol1282,Chol,17,260
chon1284,Chong of Chanthaburi,18,21
chra1242,Chrau,17,182
coeu1236,Coeur d'Alene,35,803
colo1256,Tsafiki,12,440
coma1245,Comanche,9,332
como1259,Comox,32,42
croa1245,Croatian Standard,23,92
crow1244,Crow,7,1014
cupe1243,Cupeño,24,1443
cuvo1236,Cuvok,24,718
czec1258,Czech,23,468
deny1238,Denya,20,133
diml1238,Dimli,27,1667
dobu1241,Dobu,17,32
dupa1235,Dupaninan Agta,12,759
dutc1256,Dutch,21,-3
east2295,Eastern Yiddish,36,187
east2328,Eastern Mari,18,45
east2398,Eastern Karaboro,14,264
east2440,East Makian,44,308
egaa1242,Ega,25,109
