,language,constrictedGlottis,elevation
achi1257,Achinese,1,12
adam1253,Adamawa Fulfulde,1,370
adan1251,Adang,1,316
aheu1239,Thavung,3,150
akha1245,Akha,1,1109
akla1241,Aklanon,1,140
anei1239,Aneityum,1,557
arhu1242,Arhuaco,1,3650
awar1248,Awara,1,1281
awin1248,Awing,1,1972
baba1266,Babanki,1,1731
bafa1247,Bafaw-Balong,1,98
bamb1265,Bambalang,1,1150
bamu1253,Bamun,1,960
bamu1256,Bamunka,1,1171
bang1356,Bangolan,1,1207
barb1263,Barbareño,27,315
bata1289,Batak Toba,1,948
befa1241,Befang,1,573
binu1245,Binumarien,1,883
blan1242,Blang,1,1229
bond1245,Bondo,1,100
bumb1241,Bumbita Arapesh,1,204
cham1318,Chamicuro,1,129
chec1245,Chechen,5,178
chep1245,Chepang,1,1595
chic1270,Chickasaw,1,266
chim1300,Chimalapa Zoque,1,263
chim1301,Chimariko,8,1740
chim1302,Chimborazo Highland Quichua,1,3888
chol1282,Chol,6,260
chon1284,Chong of Chanthaburi,1,21
coeu1236,Coeur d'Alene,16,803
colo1256,Tsafiki,1,440
coma1245,Comanche,1,332
como1259,Comox,14,42
cupe1243,Cupeño,1,1443
dobu1241,Dobu,2,32
dupa1235,Dupaninan Agta,1,759
dutc1256,Dutch,1,-3
east2295,Eastern Yiddish,1,187
east2440,East Makian,1,308
fang1246,Fang (Equatorial Guinea),1,625
fili1244,Filipino,1,46
gayo1244,Gayo,1,1067
gbar1246,Gbari,1,156
gida1247,Gidar,1,394
guaj1255,Guajajára,1,308
guan1269,Kotiria,1,143
gunw1252,Bininj Kun-Wok,1,72
halk1245,Halkomelem,9,94
huar1255,Huarijio,1,1203
huas1242,Huastec,6,69
hueh1236,Huehuetla Tepehua,4,331
huic1243,Huichol,1,1170
hupd1244,Hupdë,8,156
idaa1241,Ida'an,1,64
ilok1237,Iloko,1,287
indo1316,Indonesian,1,556
ingu1240,Ingush,8,661
jeme1245,Towa,11,1733
jica1244,Jicarilla Apache,5,2401
kama1367,Kamasau,1,96
kaya1329,Kayabí,1,345
keoo1238,Kéo,1,382
kich1262,K'iche',7,1366
kima1246,Kimaama,1,6
koas1236,Koasati,1,14
kulu1253,Kulung (Nepal),1,1775
kusu1250,Kusunda,1,2429
kuvi1243,Kuvi,1,554
kwaz1243,Kwaza,1,176
lake1258,Lake Miwok,6,516
lang1320,Langi,1,1236
laoo1244,Lao,2,153
lazz1240,Laz,5,1469
leal1235,Lealao Chinantec,1,1326
liby1240,Libyan Arabic,1,584
liji1238,Lijili,1,138
lisu1250,Lisu,1,383
madi1261,Madi (Papua New Guinea),2,67
mall1246,Mal,1,996
mamb1294,Mambai,11,229
mamm1241,Mam,8,1816
mana1288,Manange,1,3673
mesc1238,Mescalero-Chiricahua Apache,5,2442
mich1245,Michoacán Nahuatl,1,148
ming1252,Mingrelian,7,109
mmen1238,Mmen,1,925
moco1246,Mocoví,1,64
moke1242,Moken,1,0
mola1238,Molale,6,161
mono1270,Mono (Democratic Republic of Congo),1,413
mose1249,Mosetén-Chimané,1,385
mufi1238,Mufian,2,173
mund1330,Mundurukú,11,108
mung1266,Mungaka,1,1374
ndem1249,Ndemli,1,115
nepa1253,Nepali Kurux,1,77
ngad1261,Ngad'a,1,1186
ngal1293,Ngalakgan,1,123
ngem1255,Ngemba,1,1220
ngos1238,Ngoshie,1,1254
ning1273,Ningil,1,418
nisg1240,Nisga'a,3,22
nort2684,Northern Khmer,1,220
nort2845,North Marquesan,1,333
nort2943,North Alaskan Inupiatun,1,0
nort2954,Northern Paiute,1,1165
nort2966,Northern Pomo,7,360
nort2984,Northern Pame,10,1375
nubi1253,Nubi,1,1134
nucl1290,Zhenkang Wa,1,1729
nucl1695,Bole,1,450
nuuc1236,Nuu-chah-nulth,13,614
nyeu1238,Nyeu,1,136
olut1240,Oluta Popoluca,1,62
onge1236,Önge,1,159
osse1243,Ossetian,5,852
pala1344,Palauan,1,19
pana1305,Panamint,1,1040
paok1235,Pa'o Karen,1,955
phai1238,Prai,1,677
pila1245,Pilagá,1,119
pwon1235,Pwo Northern Karen,9,1113
quec1382,Quechan,1,36
saba1268,Sabanê,1,312
saki1248,Mekens,1,156
