Glottocode,language,continuant,elevation
abau1245,Abau,10,51
achi1257,Achinese,42,12
adam1253,Adamawa Fulfulde,17,370
adan1251,Adang,27,316
aheu1239,Thavung,86,150
akha1245,Akha,20,1109
akla1241,Aklanon,10,140
alya1239,Alyawarr,14,240
aman1265,Amanab,11,412
ambe1247,Ambele,19,429
ambu1247,Ambulas,13,101
anei1239,Aneityum,15,557
anti1245,Antigua and Barbuda Creole English,24,24
anua1242,Anuak,28,432
apur1254,Apurinã,32,138
arag1245,Aragonese,35,657
aran1237,Arandai,9,20
arhu1242,Arhuaco,21,3650
auuu1241,Au,12,356
awac1239,Awa-Cuaiquer,15,453
awar1248,Awara,12,1281
awin1248,Awing,31,1972
awtu1239,Awtuw,11,241
baba1264,Baba,18,1527
baba1266,Babanki,17,1731
bafa1247,Bafaw-Balong,23,98
baga1272,Baga Sitemu,15,3
baga1273,Baga Koga,14,17
bako1249,Bakoko,15,26
bako1250,Bakole,15,31
bamb1265,Bambalang,28,1150
bame1260,Bamenyam,29,1222
bamu1253,Bamun,22,960
bamu1256,Bamunka,19,1171
bang1356,Bangolan,22,1207
bani1255,Baniwa do Icana,22,152
baou1238,Baoulé,12,9
barb1263,Barbareño,38,315
bari1286,Bariai,8,237
baru1269,Baruga,16,63
bata1285,Batanga,13,46
bata1289,Batak Toba,15,948
befa1241,Befang,28,573
beli1260,Belize Kriol English,24,33
bemb1257,Bemba (Zambia),17,1257
berb1259,Berbice Creole Dutch,18,25
bett1235,Betta Kurumba,22,1042
biak1248,Biak,17,187
bili1250,Bilinarra,13,254
bilo1248,Biloxi,13,81
bilu1245,Bilua,30,176
bina1277,Binandere,27,35
binu1245,Binumarien,10,883
blan1242,Blang,23,1229
boik1241,Boikin,16,235
bond1245,Bondo,12,100
bong1285,Bongo,17,504
boro1277,Boro (Ethiopia),13,840
brok1247,Brokskat,23,3231
bubi1249,Bubia,21,166
buku1249,Bukusu,18,1631
bumb1241,Bumbita Arapesh,11,204
cavi1250,Cavineña,11,173
cham1318,Chamicuro,20,129
chec1245,Chechen,25,178
chee1238,Che,39,999
chep1245,Chepang,12,1595
chic1270,Chickasaw,17,266
chim1300,Chimalapa Zoque,14,263
chim1301,Chimariko,18,1740
chim1302,Chimborazo Highland Quichua,17,3888
choc1276,Choctaw,14,137
chol1282,Chol,12,260
chon1284,Chong of Chanthaburi,25,21
chra1242,Chrau,19,182
coeu1236,Coeur d'Alene,25,803
colo1256,Tsafiki,16,440
coma1245,Comanche,10,332
como1259,Comox,19,42
croa1245,Croatian Standard,22,92
crow1244,Crow,16,1014
cupe1243,Cupeño,26,1443
cuvo1236,Cuvok,13,718
czec1258,Czech,25,468
deny1238,Denya,16,133
diml1238,Dimli,32,1667
dobu1241,Dobu,9,32
dupa1235,Dupaninan Agta,11,759
dutc1256,Dutch,29,-3
east2295,Eastern Yiddish,26,187
east2328,Eastern Mari,16,45
east2398,Eastern Karaboro,13,264
east2440,East Makian,28,308
egaa1242,Ega,17,109
eggo1239,Eggon,22,161
ekpe1253,Ekpeye,17,15
elip1238,Elip,13,440
esim1238,Esimbi,18,693
faiw1243,Faiwol,13,1233
fang1246,Fang (Equatorial Guinea),23,625
fili1244,Filipino,17,46
friu1240,Friulian,24,194
furu1242,Furu,20,406
fwee1238,Fwe,34,940
gali1258,Galician,19,1107
gayo1244,Gayo,14,1067
gbar1246,Gbari,15,156
gbay1281,Gbaya-Mbodomo,16,697
gida1247,Gidar,18,394
goli1247,Golin,15,1743
guaj1255,Guajajára,11,308
guan1269,Kotiria,11,143
guja1253,Gujari,32,862
gunw1252,Bininj Kun-Wok,13,72
halk1245,Halkomelem,24,94
hang1263,Hanga Hundi,14,54
haya1250,Haya,18,1435
hoav1238,Hoava,11,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,20,1471
huar1255,Huarijio,19,1203
huas1242,Huastec,19,69
huay1240,Huaylas Ancash Quechua,19,4528
hueh1236,Huehuetla Tepehua,19,331
huic1243,Huichol,16,1170
hung1278,Hungana-Saamba,19,355
hupd1244,Hupdë,15,156
iban1261,Ibani,20,5
ibib1240,Ibibio,17,47
idaa1241,Ida'an,11,64
ilok1237,Iloko,10,287
imon1245,Imonda,15,284
indo1316,Indonesian,18,556
ingu1240,Ingush,26,661
iseb1246,Isebe,16,258
ital1282,Italian,17,530
izer1241,Izere,24,1041
jama1261,Madi,10,96
jama1262,Jamaican Creole English,22,457
jauj1238,Jauja Wanca Quechua,15,4697
jeme1245,Towa,38,1733
jiar1240,Northern Gyalrong,22,4592
jica1244,Jicarilla Apache,31,2401
juan1238,Juang,14,282
kabi1261,Kabiyé,32,191
kaby1243,Kabyle,13,482
kadi1248,Kadiwéu,15,86
kala1381,Kalabari,27,6
kama1367,Kamasau,13,96
kano1245,Kanoê,19,142
kara1476,Karadjeri,10,135
kari1301,Karipúna Creole French,21,66
kari1311,Karitiâna,18,125
kaya1329,Kayabí,15,345
kela1255,Kela (Papua New Guinea),20,27
kens1251,Kenswei Nsei,26,1403
keny1279,Kenyang,27,165
keoo1238,Kéo,13,382
khan1273,Kazym-Berezover-Suryskarer Khanty,21,54
khar1287,Kharia,20,376
kich1262,K'iche',17,1366
kima1246,Kimaama,26,6
kinn1249,Kinnauri,27,4637
kiny1244,Kinyarwanda,25,1611
kiri1254,Kirike,19,22
koas1236,Koasati,13,14
