Glottocode,language,delayedRelease,elevation
abau1245,Abau,2,51
achi1257,Achinese,4,12
adam1253,Adamawa Fulfulde,7,370
adan1251,Adang,3,316
aheu1239,Thavung,6,150
akha1245,Akha,12,1109
akla1241,Aklanon,3,140
aman1265,Amanab,3,412
ambe1247,Ambele,11,429
ambu1247,Ambulas,2,101
anei1239,Aneityum,7,557
anti1245,Antigua and Barbuda Creole English,9,24
apur1254,Apurinã,5,138
arag1245,Aragonese,6,657
aran1237,Arandai,3,20
arhu1242,Arhuaco,6,3650
auuu1241,Au,2,356
awac1239,Awa-Cuaiquer,5,453
awar1248,Awara,4,1281
awin1248,Awing,13,1972
baba1264,Baba,10,1527
baba1266,Babanki,13,1731
bafa1247,Bafaw-Balong,4,98
baga1272,Baga Sitemu,4,3
baga1273,Baga Koga,3,17
bako1249,Bakoko,6,26
bako1250,Bakole,5,31
bamb1265,Bambalang,12,1150
bame1260,Bamenyam,16,1222
bamu1253,Bamun,10,960
bamu1256,Bamunka,9,1171
bang1356,Bangolan,13,1207
bani1255,Baniwa do Icana,7,152
baou1238,Baoulé,2,9
barb1263,Barbareño,26,315
bari1286,Bariai,1,237
baru1269,Baruga,5,63
bata1285,Batanga,3,46
bata1289,Batak Toba,4,948
befa1241,Befang,15,573
beli1260,Belize Kriol English,9,33
bemb1257,Bemba (Zambia),5,1257
berb1259,Berbice Creole Dutch,8,25
bett1235,Betta Kurumba,3,1042
biak1248,Biak,3,187
bilo1248,Biloxi,3,81
bilu1245,Bilua,4,176
bina1277,Binandere,1,35
binu1245,Binumarien,2,883
blan1242,Blang,3,1229
boik1241,Boikin,4,235
bond1245,Bondo,2,100
bong1285,Bongo,6,504
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,12,3231
bubi1249,Bubia,7,166
buku1249,Bukusu,6,1631
bumb1241,Bumbita Arapesh,4,204
cavi1250,Cavineña,4,173
cham1318,Chamicuro,7,129
chec1245,Chechen,9,178
chee1238,Che,9,999
chep1245,Chepang,4,1595
chic1270,Chickasaw,6,266
chim1300,Chimalapa Zoque,6,263
chim1301,Chimariko,11,1740
chim1302,Chimborazo Highland Quichua,9,3888
choc1276,Choctaw,6,137
chol1282,Chol,5,260
chon1284,Chong of Chanthaburi,2,21
chra1242,Chrau,2,182
coeu1236,Coeur d'Alene,16,803
colo1256,Tsafiki,4,440
coma1245,Comanche,3,332
como1259,Comox,12,42
croa1245,Croatian Standard,9,92
crow1244,Crow,5,1014
cupe1243,Cupeño,11,1443
cuvo1236,Cuvok,10,718
czec1258,Czech,11,468
deny1238,Denya,7,133
diml1238,Dimli,14,1667
dobu1241,Dobu,1,32
dupa1235,Dupaninan Agta,2,759
dutc1256,Dutch,9,-3
east2295,Eastern Yiddish,19,187
east2328,Eastern Mari,5,45
east2398,Eastern Karaboro,2,264
east2440,East Makian,14,308
egaa1242,Ega,5,109
eggo1239,Eggon,12,161
ekpe1253,Ekpeye,7,15
elip1238,Elip,5,440
esim1238,Esimbi,9,693
faiw1243,Faiwol,2,1233
fang1246,Fang (Equatorial Guinea),5,625
fili1244,Filipino,3,46
friu1240,Friulian,10,194
furu1242,Furu,7,406
fwee1238,Fwe,20,940
gali1258,Galician,5,1107
gayo1244,Gayo,4,1067
gbar1246,Gbari,8,156
gbay1281,Gbaya-Mbodomo,6,697
gida1247,Gidar,7,394
goli1247,Golin,1,1743
guaj1255,Guajajára,3,308
guan1269,Kotiria,3,143
guja1253,Gujari,10,862
halk1245,Halkomelem,11,94
hang1263,Hanga Hundi,3,54
haya1250,Haya,7,1435
hoav1238,Hoava,5,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,6,1471
huar1255,Huarijio,3,1203
huas1242,Huastec,7,69
huay1240,Huaylas Ancash Quechua,6,4528
hueh1236,Huehuetla Tepehua,8,331
huic1243,Huichol,4,1170
hung1278,Hungana-Saamba,5,355
hupd1244,Hupdë,2,156
iban1261,Ibani,8,5
ibib1240,Ibibio,2,47
idaa1241,Ida'an,3,64
ilok1237,Iloko,3,287
imon1245,Imonda,3,284
indo1316,Indonesian,7,556
ingu1240,Ingush,15,661
iseb1246,Isebe,2,258
