,language,distributed,elevation
achi1257,Achinese,4,12
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,3,316
aheu1239,Thavung,5,150
akha1245,Akha,5,1109
alya1239,Alyawarr,8,240
ambe1247,Ambele,6,429
ambu1247,Ambulas,2,101
anei1239,Aneityum,3,557
anti1245,Antigua and Barbuda Creole English,6,24
anua1242,Anuak,6,432
apur1254,Apurinã,3,138
arag1245,Aragonese,7,657
aran1237,Arandai,2,20
arhu1242,Arhuaco,2,3650
awac1239,Awa-Cuaiquer,3,453
awin1248,Awing,7,1972
baba1264,Baba,4,1527
baba1266,Babanki,5,1731
bafa1247,Bafaw-Balong,4,98
baga1272,Baga Sitemu,3,3
baga1273,Baga Koga,1,17
bako1249,Bakoko,3,26
bako1250,Bakole,3,31
bamb1265,Bambalang,8,1150
bame1260,Bamenyam,8,1222
bamu1253,Bamun,4,960
bamu1256,Bamunka,7,1171
bang1356,Bangolan,5,1207
bani1255,Baniwa do Icana,10,152
baou1238,Baoulé,2,9
barb1263,Barbareño,10,315
baru1269,Baruga,1,63
bata1285,Batanga,6,46
bata1289,Batak Toba,2,948
befa1241,Befang,5,573
beli1260,Belize Kriol English,5,33
bemb1257,Bemba (Zambia),3,1257
berb1259,Berbice Creole Dutch,2,25
bett1235,Betta Kurumba,4,1042
bili1250,Bilinarra,3,254
bilo1248,Biloxi,1,81
bilu1245,Bilua,2,176
blan1242,Blang,3,1229
boik1241,Boikin,2,235
bond1245,Bondo,6,100
bong1285,Bongo,2,504
brok1247,Brokskat,6,3231
bubi1249,Bubia,5,166
buku1249,Bukusu,3,1631
bumb1241,Bumbita Arapesh,4,204
cavi1250,Cavineña,6,173
cham1318,Chamicuro,5,129
chec1245,Chechen,8,178
chee1238,Che,3,999
chep1245,Chepang,4,1595
chic1270,Chickasaw,2,266
chim1300,Chimalapa Zoque,2,263
chim1301,Chimariko,4,1740
chim1302,Chimborazo Highland Quichua,5,3888
choc1276,Choctaw,2,137
chol1282,Chol,4,260
chon1284,Chong of Chanthaburi,3,21
chra1242,Chrau,4,182
