,language,dorsal,elevation
abau1245,Abau,8,51
achi1257,Achinese,42,12
adam1253,Adamawa Fulfulde,16,370
adan1251,Adang,28,316
aheu1239,Thavung,88,150
akha1245,Akha,23,1109
akla1241,Aklanon,9,140
alya1239,Alyawarr,15,240
aman1265,Amanab,10,412
ambe1247,Ambele,28,429
ambu1247,Ambulas,14,101
anei1239,Aneityum,12,557
anti1245,Antigua and Barbuda Creole English,20,24
anua1242,Anuak,32,432
apur1254,Apurinã,30,138
arag1245,Aragonese,31,657
aran1237,Arandai,9,20
arhu1242,Arhuaco,18,3650
auuu1241,Au,11,356
awac1239,Awa-Cuaiquer,11,453
awar1248,Awara,14,1281
awin1248,Awing,33,1972
awtu1239,Awtuw,11,241
baba1264,Baba,15,1527
baba1266,Babanki,14,1731
bafa1247,Bafaw-Balong,27,98
baga1272,Baga Sitemu,14,3
baga1273,Baga Koga,14,17
bako1249,Bakoko,16,26
bako1250,Bakole,17,31
bamb1265,Bambalang,28,1150
bame1260,Bamenyam,28,1222
bamu1253,Bamun,20,960
bamu1256,Bamunka,17,1171
bang1356,Bangolan,15,1207
bani1255,Baniwa do Icana,17,152
baou1238,Baoulé,15,9
barb1263,Barbareño,35,315
bari1286,Bariai,8,237
baru1269,Baruga,14,63
bata1285,Batanga,16,46
bata1289,Batak Toba,14,948
befa1241,Befang,33,573
beli1260,Belize Kriol English,18,33
bemb1257,Bemba (Zambia),15,1257
berb1259,Berbice Creole Dutch,12,25
bett1235,Betta Kurumba,19,1042
biak1248,Biak,13,187
bili1250,Bilinarra,13,254
bilo1248,Biloxi,13,81
bilu1245,Bilua,29,176
bina1277,Binandere,27,35
binu1245,Binumarien,8,883
blan1242,Blang,23,1229
boik1241,Boikin,13,235
bond1245,Bondo,13,100
bong1285,Bongo,15,504
boro1277,Boro (Ethiopia),11,840
brok1247,Brokskat,20,3231
bubi1249,Bubia,23,166
buku1249,Bukusu,17,1631
bumb1241,Bumbita Arapesh,10,204
cavi1250,Cavineña,13,173
cham1318,Chamicuro,16,129
chec1245,Chechen,25,178
chee1238,Che,36,999
chep1245,Chepang,11,1595
chic1270,Chickasaw,12,266
chim1300,Chimalapa Zoque,11,263
chim1301,Chimariko,19,1740
chim1302,Chimborazo Highland Quichua,15,3888
choc1276,Choctaw,9,137
chol1282,Chol,15,260
chon1284,Chong of Chanthaburi,27,21
chra1242,Chrau,21,182
coeu1236,Coeur d'Alene,24,803
colo1256,Tsafiki,12,440
coma1245,Comanche,10,332
como1259,Comox,21,42
croa1245,Croatian Standard,17,92
crow1244,Crow,13,1014
cupe1243,Cupeño,23,1443
cuvo1236,Cuvok,7,718
czec1258,Czech,20,468
deny1238,Denya,14,133
diml1238,Dimli,24,1667
dobu1241,Dobu,11,32
dupa1235,Dupaninan Agta,10,759
dutc1256,Dutch,24,-3
east2295,Eastern Yiddish,26,187
east2328,Eastern Mari,14,45
east2398,Eastern Karaboro,13,264
east2440,East Makian,23,308
egaa1242,Ega,22,109
eggo1239,Eggon,16,161
ekpe1253,Ekpeye,18,15
elip1238,Elip,13,440
esim1238,Esimbi,18,693
faiw1243,Faiwol,12,1233
fang1246,Fang (Equatorial Guinea),27,625
fili1244,Filipino,15,46
friu1240,Friulian,21,194
furu1242,Furu,21,406
fwee1238,Fwe,22,940
gali1258,Galician,14,1107
gayo1244,Gayo,14,1067
gbar1246,Gbari,14,156
gbay1281,Gbaya-Mbodomo,17,697
gida1247,Gidar,15,394
goli1247,Golin,14,1743
guaj1255,Guajajára,12,308
guan1269,Kotiria,11,143
guja1253,Gujari,25,862
gunw1252,Bininj Kun-Wok,12,72
halk1245,Halkomelem,26,94
hang1263,Hanga Hundi,14,54
haya1250,Haya,15,1435
hoav1238,Hoava,9,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,17,1471
huar1255,Huarijio,17,1203
huas1242,Huastec,17,69
huay1240,Huaylas Ancash Quechua,16,4528
hueh1236,Huehuetla Tepehua,16,331
huic1243,Huichol,14,1170
hung1278,Hungana-Saamba,16,355
hupd1244,Hupdë,20,156
iban1261,Ibani,19,5
ibib1240,Ibibio,21,47
idaa1241,Ida'an,11,64
ilok1237,Iloko,9,287
imon1245,Imonda,12,284
indo1316,Indonesian,15,556
ingu1240,Ingush,22,661
iseb1246,Isebe,18,258
ital1282,Italian,13,530
izer1241,Izere,20,1041
jama1261,Madi,7,96
jama1262,Jamaican Creole English,17,457
jauj1238,Jauja Wanca Quechua,13,4697
jeme1245,Towa,35,1733
jiar1240,Northern Gyalrong,29,4592
jica1244,Jicarilla Apache,29,2401
juan1238,Juang,16,282
kabi1261,Kabiyé,30,191
kaby1243,Kabyle,16,482
kadi1248,Kadiwéu,17,86
kala1381,Kalabari,24,6
kama1367,Kamasau,14,96
kano1245,Kanoê,18,142
kara1476,Karadjeri,10,135
kari1301,Karipúna Creole French,15,66
kari1311,Karitiâna,18,125
kaya1329,Kayabí,16,345
kela1255,Kela (Papua New Guinea),19,27
kens1251,Kenswei Nsei,40,1403
keny1279,Kenyang,29,165
keoo1238,Kéo,12,382
