,language,epilaryngealSource,elevation
nuuc1236,Nuu-chah-nulth,1,614
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Chamicuro,0,129
4,Chechen,0,178
5,Chepang,0,1595
6,Eastern Mari,0,45
7,Lealao Chinantec,0,1326
8,Chol,0,260
9,Chrau,0,182
10,Barbareño,0,315
11,Coeur d'Alene,0,803
12,Comanche,0,332
13,Cupeño,0,1443
14,Cuvok,0,718
15,Denya,0,133
16,Nepali Kurux,0,77
17,Mufian,0,173
18,Usarufa,0,1982
20,Binumarien,0,883
21,Eggon,0,161
22,Ekpeye,0,15
24,Esimbi,0,693
25,Fang (Equatorial Guinea),0,625
26,Furu,0,406
27,Karadjeri,0,135
28,Gbari,0,156
29,Golin,0,1743
30,Guajajára,0,308
31,Bininj Kun-Wok,0,72
32,Haya,0,1435
34,Huichol,0,1170
35,Huaylas Ancash Quechua,0,4528
36,San Mateo del Mar Huave,0,5
37,Jauja Wanca Quechua,0,4697
38,Luyi,0,1030
39,Ibani,0,5
40,Imonda,0,284
41,Ingush,0,661
42,I'saka,0,542
43,Yalunka,0,490
44,Izere,0,1041
45,Madi,0,96
46,Towa,0,1733
47,Lijili,0,138
48,Kabyle,0,482
49,Gidar,0,394
50,Kayabí,0,345
51,Kamasau,0,96
52,Kanoê,0,142
53,Kenswei Nsei,0,1403
54,Eastern Karaboro,0,264
55,Karipúna Creole French,0,66
56,Kenyang,0,165
57,Kharia,0,376
58,Chong of Chanthaburi,0,21
59,Kinyarwanda,0,1611
60,Kirike,0,22
61,Kokota,0,44
62,Bakole,0,31
63,Konni,0,174
65,Kulung (Nepal),0,1775
66,Kuot,0,564
67,Kusunda,0,2429
68,Kuvi,0,554
69,Kwaza,0,176
70,Leh-Kenhat,0,5176
71,Langi,0,1236
72,Lao,0,153
73,Lavukaleve,0,37
74,Bafaw-Balong,0,98
75,Lunda,0,1225
76,Luchazi,0,1061
77,Oroko,0,386
78,Macedonian,0,919
79,Mada (Cameroon),0,491
80,Madi (Papua New Guinea),0,67
81,Manam,0,1346
82,Bamenyam,0,1222
83,Manange,0,3673
84,Ngemba,0,1220
85,Marra,0,10
86,Maybrat-Karon,0,114
87,Gbaya-Mbodomo,0,697
88,Medumba,0,1311
89,Mingrelian,0,109
90,Mmen,0,925
91,Moken,0,0
92,Mosetén-Chimané,0,385
93,Mpongmpong,0,594
94,Mungaka,0,1374
96,Mwotlap,0,31
97,Namia,0,63
98,Ndemli,0,115
99,Mescalero-Chiricahua Apache,0,2442
100,Quechan,0,36
101,Nankina,0,1140
102,Nandi,0,2146
103,Kimaama,0,6
104,Naki,0,738
105,Michoacán Nahuatl,0,148
106,Naga Pidgin,0,1361
107,Ngoshie,0,1254
108,Ngalakgan,0,123
109,Nangikurrunggurr,0,113
110,Isebe,0,258
111,Ngombale,0,1708
112,Northern Khmer,0,220
113,Northern Paiute,0,1165
114,Nubi,0,1134
115,Nuer,0,409
116,Elip,0,440
117,Nyamwezi,0,1272
118,Nyeu,0,136
119,Obolo,0,22
121,Faiwol,0,1233
122,Oku,0,2019
123,Ossetian,0,852
124,Palauan,0,19
125,Orokaiva,0,201
126,Yil,0,818
127,Ningil,0,418
128,Dobu,0,32
129,Samo,0,138
130,Uri,0,1275
131,Boikin,0,235
132,Prai,0,677
133,Mal,0,996
134,Rama,0,29
135,Matbat,0,158
136,Rundi,0,1271
137,Nyankole,0,1431
138,Marwari (India),0,364
139,Samba Leko,0,912
140,Southern Samo,0,276
141,Samre of Siem Reap,0,32
142,Sabanê,0,312
144,Sasak,0,297
145,Savara,0,260
146,Sayula Popoluca,0,70
147,Secoya,0,211
148,Seediq,0,1174
149,Seimat,0,0
150,Semelai,0,67
151,Serrano,0,731
152,Shabo,0,1683
153,Yawanawa,0,261
154,Makonde,0,55
155,Shona,0,1216
156,Bamun,0,960
157,Siar-Lak,0,556
158,Saraiki,0,121
159,Shawnee,0,313
160,Skou,0,36
161,Thavung,0,150
162,South Efate,0,236
163,Spokane,0,726
164,Sissano,0,15
165,Satawalese,0,0
166,Ulwa,0,9
167,Hupdë,0,156
168,Chimalapa Zoque,0,263
169,Loxicha Zapotec,0,207
170,Yuki,0,681
171,Yapese,0,37
172,Yurok,0,756
173,Yuracaré,0,209
174,Southern Yukaghir,0,0
175,Zhenkang Wa,0,1729
176,Wambon,0,79
177,Washo,0,1925
178,Wayana,0,182
179,Wogeo,0,239
180,Huarijio,0,1203
181,Vai,0,17
182,Ukrainian,0,1349
183,Phalura,0,2948
