Glottocode,language,high,elevation
abau1245,Abau,5,51
achi1257,Achinese,15,12
adam1253,Adamawa Fulfulde,11,370
adan1251,Adang,12,316
aheu1239,Thavung,33,150
akha1245,Akha,14,1109
akla1241,Aklanon,8,140
alya1239,Alyawarr,13,240
aman1265,Amanab,7,412
ambe1247,Ambele,22,429
ambu1247,Ambulas,10,101
anei1239,Aneityum,9,557
anti1245,Antigua and Barbuda Creole English,11,24
anua1242,Anuak,16,432
apur1254,Apurinã,12,138
arag1245,Aragonese,11,657
aran1237,Arandai,6,20
arhu1242,Arhuaco,8,3650
auuu1241,Au,7,356
awac1239,Awa-Cuaiquer,10,453
awar1248,Awara,10,1281
awin1248,Awing,21,1972
awtu1239,Awtuw,6,241
baba1264,Baba,12,1527
baba1266,Babanki,10,1731
bafa1247,Bafaw-Balong,15,98
baga1272,Baga Sitemu,9,3
baga1273,Baga Koga,8,17
bako1249,Bakoko,11,26
bako1250,Bakole,12,31
bamb1265,Bambalang,17,1150
bame1260,Bamenyam,20,1222
bamu1253,Bamun,14,960
bamu1256,Bamunka,11,1171
bang1356,Bangolan,9,1207
bani1255,Baniwa do Icana,9,152
baou1238,Baoulé,10,9
barb1263,Barbareño,23,315
bari1286,Bariai,5,237
baru1269,Baruga,8,63
bata1285,Batanga,11,46
bata1289,Batak Toba,7,948
befa1241,Befang,23,573
beli1260,Belize Kriol English,9,33
bemb1257,Bemba (Zambia),9,1257
berb1259,Berbice Creole Dutch,8,25
bett1235,Betta Kurumba,9,1042
biak1248,Biak,7,187
bili1250,Bilinarra,11,254
bilo1248,Biloxi,8,81
bilu1245,Bilua,8,176
bina1277,Binandere,8,35
binu1245,Binumarien,5,883
blan1242,Blang,15,1229
boik1241,Boikin,8,235
bond1245,Bondo,9,100
bong1285,Bongo,9,504
boro1277,Boro (Ethiopia),7,840
brok1247,Brokskat,13,3231
bubi1249,Bubia,13,166
buku1249,Bukusu,11,1631
bumb1241,Bumbita Arapesh,6,204
cavi1250,Cavineña,12,173
cham1318,Chamicuro,10,129
chec1245,Chechen,14,178
chee1238,Che,23,999
chep1245,Chepang,7,1595
chic1270,Chickasaw,6,266
chim1300,Chimalapa Zoque,7,263
chim1301,Chimariko,9,1740
chim1302,Chimborazo Highland Quichua,12,3888
choc1276,Choctaw,5,137
chol1282,Chol,12,260
chon1284,Chong of Chanthaburi,14,21
chra1242,Chrau,11,182
coeu1236,Coeur d'Alene,10,803
colo1256,Tsafiki,7,440
coma1245,Comanche,7,332
como1259,Comox,11,42
croa1245,Croatian Standard,12,92
crow1244,Crow,7,1014
cupe1243,Cupeño,14,1443
cuvo1236,Cuvok,5,718
czec1258,Czech,11,468
deny1238,Denya,10,133
diml1238,Dimli,11,1667
dobu1241,Dobu,8,32
dupa1235,Dupaninan Agta,7,759
dutc1256,Dutch,13,-3
east2295,Eastern Yiddish,18,187
east2328,Eastern Mari,9,45
east2398,Eastern Karaboro,8,264
east2440,East Makian,17,308
egaa1242,Ega,18,109
eggo1239,Eggon,11,161
ekpe1253,Ekpeye,13,15
elip1238,Elip,8,440
esim1238,Esimbi,12,693
faiw1243,Faiwol,6,1233
fang1246,Fang (Equatorial Guinea),15,625
fili1244,Filipino,9,46
friu1240,Friulian,11,194
furu1242,Furu,15,406
fwee1238,Fwe,19,940
gali1258,Galician,9,1107
gayo1244,Gayo,8,1067
gbar1246,Gbari,10,156
gbay1281,Gbaya-Mbodomo,12,697
gida1247,Gidar,11,394
goli1247,Golin,8,1743
guaj1255,Guajajára,8,308
guan1269,Kotiria,8,143
guja1253,Gujari,13,862
gunw1252,Bininj Kun-Wok,9,72
halk1245,Halkomelem,12,94
hang1263,Hanga Hundi,10,54
haya1250,Haya,9,1435
hoav1238,Hoava,6,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,10,1471
huar1255,Huarijio,6,1203
huas1242,Huastec,11,69
huay1240,Huaylas Ancash Quechua,9,4528
hueh1236,Huehuetla Tepehua,9,331
huic1243,Huichol,10,1170
hung1278,Hungana-Saamba,10,355
hupd1244,Hupdë,14,156
iban1261,Ibani,13,5
ibib1240,Ibibio,12,47
idaa1241,Ida'an,7,64
ilok1237,Iloko,7,287
imon1245,Imonda,4,284
indo1316,Indonesian,8,556
ingu1240,Ingush,10,661
iseb1246,Isebe,10,258
ital1282,Italian,8,530
izer1241,Izere,12,1041
jama1261,Madi,5,96
jama1262,Jamaican Creole English,9,457
jauj1238,Jauja Wanca Quechua,10,4697
jeme1245,Towa,21,1733
jiar1240,Northern Gyalrong,24,4592
jica1244,Jicarilla Apache,16,2401
juan1238,Juang,10,282
kabi1261,Kabiyé,20,191
kaby1243,Kabyle,10,482
kadi1248,Kadiwéu,9,86
kala1381,Kalabari,14,6
kama1367,Kamasau,11,96
kano1245,Kanoê,10,142
kara1476,Karadjeri,9,135
kari1301,Karipúna Creole French,7,66
kari1311,Karitiâna,9,125
kaya1329,Kayabí,10,345
kela1255,Kela (Papua New Guinea),9,27
kens1251,Kenswei Nsei,33,1403
keny1279,Kenyang,17,165
keoo1238,Kéo,8,382
khan1273,Kazym-Berezover-Suryskarer Khanty,12,54
khar1287,Kharia,14,376
kich1262,K'iche',9,1366
kima1246,Kimaama,13,6
kinn1249,Kinnauri,14,4637
kiny1244,Kinyarwanda,17,1611
kiri1254,Kirike,12,22
koas1236,Koasati,8,14
koko1269,Kokota,7,44
konn1242,Konni,19,174
kris1246,I'saka,5,542
kulu1253,Kulung (Nepal),15,1775
kuot1243,Kuot,5,564
kusu1250,Kusunda,10,2429
kute1248,Kutep,12,220
kuvi1243,Kuvi,10,554
kwaz1243,Kwaza,14,176
lada1244,Leh-Kenhat,9,5176
lake1258,Lake Miwok,10,516
lang1320,Langi,17,1236
laoo1244,Lao,14,153
lavu1241,Lavukaleve,5,37
lazz1240,Laz,7,1469
leal1235,Lealao Chinantec,17,1326
liby1240,Libyan Arabic,19,584
liji1238,Lijili,16,138
lisu1250,Lisu,11,383
loni1238,Loniu,7,75
loxi1235,Loxicha Zapotec,10,207
luch1239,Luchazi,10,1061
lund1266,Lunda,10,1225
luya1241,Luyi,8,1030
lyel1241,Lyélé,13,275
mace1250,Macedonian,9,919
mada1293,Mada (Cameroon),12,491
madi1261,Madi (Papua New Guinea),20,67
maib1239,Maybrat-Karon,6,114
mako1251,Makonde,8,55
mall1246,Mal,13,996
malo1243,Tamambo,6,157
mamb1294,Mambai,21,229
mamm1241,Mam,13,1816
mana1288,Manange,12,3673
mana1295,Manam,5,1346
mand1415,Mandarin Chinese,13,88
mand1436,Mandinka,10,45
mani1292,Manipuri,9,312
mara1385,Marra,8,10
marw1260,Marwari (India),11,364
matb1237,Matbat,7,158
mats1244,Matsés,6,151
maza1291,Mazanderani,6,1715
medu1238,Medumba,9,1311
mesc1238,Mescalero-Chiricahua Apache,10,2442
mewa1250,Mewati,14,210
mich1243,Michif,11,534
mich1245,Michoacán Nahuatl,8,148
ming1252,Mingrelian,8,109
mmen1238,Mmen,10,925
moco1246,Mocoví,9,64
moke1242,Moken,14,0
mola1238,Molale,11,161
mono1270,Mono (Democratic Republic of Congo),12,413
mose1249,Mosetén-Chimané,12,385
motl1237,Mwotlap,10,31
mpon1254,Mpongmpong,16,594
mufi1238,Mufian,7,173
muna1247,Muna,11,76
mund1330,Mundurukú,8,108
mung1266,Mungaka,10,1374
naga1394,Naga Pidgin,11,1361
naki1238,Naki,16,738
nami1256,Namia,5,63
nand1266,Nandi,10,2146
nang1259,Nangikurrunggurr,13,113
nank1250,Nankina,7,1140
ndem1249,Ndemli,18,115
nepa1253,Nepali Kurux,10,77
ngad1261,Ngad'a,7,1186
ngal1293,Ngalakgan,10,123
ngem1255,Ngemba,12,1220
ngom1271,Ngombale,19,1708
ngos1238,Ngoshie,9,1254
nige1257,Nigerian Pidgin,9,278
ning1273,Ningil,8,418
nisg1240,Nisga'a,16,22
nort2626,Northern Frisian,16,0
nort2627,Eastern Low German,12,67
nort2684,Northern Khmer,14,220
nort2845,North Marquesan,6,333
nort2943,North Alaskan Inupiatun,10,0
nort2954,Northern Paiute,11,1165
nort2966,Northern Pomo,9,360
nort2984,Northern Pame,17,1375
nubi1253,Nubi,9,1134
nucl1290,Zhenkang Wa,14,1729
nucl1634,Skou,7,36
nucl1695,Bole,11,450
nuer1246,Nuer,16,409
nuuc1236,Nuu-chah-nulth,14,614
nyam1276,Nyamwezi,17,1272
nyan1307,Nyankole,6,1431
nyeu1238,Nyeu,13,136
nyon1241,Nyong,14,1179
obol1243,Obolo,14,22
okuu1243,Oku,8,2019
olut1240,Oluta Popoluca,8,62
onge1236,Önge,10,159
orok1266,Oroko,10,386
orok1269,Orokaiva,5,201
osse1243,Ossetian,9,852
pagi1243,Pagibete,21,484
pala1344,Palauan,6,19
pana1305,Panamint,16,1040
paok1235,Pa'o Karen,10,955
pate1247,Patep,20,1111
peta1245,Petats,9,122
phai1238,Prai,13,677
phal1254,Phalura,13,2948
pila1245,Pilagá,7,119
poli1260,Polish,16,126
pwon1235,Pwo Northern Karen,14,1113
qima1242,Qimant,10,1205
quec1382,Quechan,17,36
rama1270,Rama,11,29
rund1242,Rundi,7,1271
saba1268,Sabanê,5,312
saki1248,Mekens,15,156
sala1272,Salasaca Highland Quichua,9,2483
samb1305,Samba Leko,12,912
samo1303,Samo,6,138
samr1245,Samre of Siem Reap,13,32
sanj1284,San Juan Guelavía Zapotec,15,1612
sanm1287,San Mateo del Mar Huave,7,5
sanu1240,Sanumá,8,121
sasa1249,Sasak,9,297
sata1237,Satawalese,16,0
sava1244,Savara,10,260
sayu1241,Sayula Popoluca,6,70
seco1241,Secoya,7,211
seim1238,Seimat,9,0
sela1259,Selaru,5,39
seme1247,Semelai,18,67
sera1259,Saraiki,25,121
seri1257,Seri,6,188
serr1255,Serrano,15,731
shab1252,Shabo,16,1683
shaw1249,Shawnee,6,313
shon1251,Shona,12,1216
siar1238,Siar-Lak,7,556
sida1246,Sidamo,10,1781
siks1238,Siksika,7,1232
sind1272,Sindhi,17,20
sipa1247,Sipacapense,8,2186
siss1243,Sissano,13,15
slov1268,Slovenian,8,1195
soch1239,Sochiapam Chinantec,9,682
sout2750,Southern Yukaghir,11,0
sout2840,Southern Bobo Madaré,12,321
sout2844,Southern Samo,10,276
sout2856,South Efate,8,236
sout2895,South Nuaulu,5,120
spok1245,Spokane,9,726
stan1289,Catalan,10,619
subi1246,Subiya,14,933
