,language,labiodental,elevation
achi1257,Achinese,1,12
adan1251,Adang,1,316
aheu1239,Thavung,2,150
aman1265,Amanab,1,412
ambe1247,Ambele,1,429
ambu1247,Ambulas,1,101
anei1239,Aneityum,2,557
anti1245,Antigua and Barbuda Creole English,2,24
arag1245,Aragonese,1,657
awin1248,Awing,1,1972
baba1264,Baba,2,1527
baba1266,Babanki,4,1731
bafa1247,Bafaw-Balong,1,98
baga1272,Baga Sitemu,1,3
baga1273,Baga Koga,1,17
bako1249,Bakoko,1,26
bako1250,Bakole,1,31
bamb1265,Bambalang,1,1150
bame1260,Bamenyam,3,1222
bamu1253,Bamun,3,960
bamu1256,Bamunka,2,1171
bang1356,Bangolan,2,1207
baou1238,Baoulé,1,9
bata1285,Batanga,2,46
befa1241,Befang,3,573
beli1260,Belize Kriol English,2,33
bemb1257,Bemba (Zambia),1,1257
berb1259,Berbice Creole Dutch,2,25
bett1235,Betta Kurumba,2,1042
biak1248,Biak,1,187
blan1242,Blang,1,1229
boik1241,Boikin,1,235
bong1285,Bongo,2,504
brok1247,Brokskat,2,3231
buku1249,Bukusu,1,1631
chec1245,Chechen,1,178
chee1238,Che,3,999
chic1270,Chickasaw,1,266
chim1300,Chimalapa Zoque,1,263
choc1276,Choctaw,1,137
croa1245,Croatian Standard,2,92
cupe1243,Cupeño,1,1443
cuvo1236,Cuvok,2,718
czec1258,Czech,2,468
deny1238,Denya,2,133
diml1238,Dimli,2,1667
dutc1256,Dutch,2,-3
east2295,Eastern Yiddish,2,187
east2398,Eastern Karaboro,1,264
east2440,East Makian,3,308
egaa1242,Ega,2,109
eggo1239,Eggon,2,161
elip1238,Elip,1,440
esim1238,Esimbi,2,693
faiw1243,Faiwol,1,1233
fang1246,Fang (Equatorial Guinea),3,625
fili1244,Filipino,1,46
friu1240,Friulian,2,194
furu1242,Furu,2,406
fwee1238,Fwe,3,940
gali1258,Galician,1,1107
gbar1246,Gbari,2,156
gbay1281,Gbaya-Mbodomo,2,697
gida1247,Gidar,2,394
guja1253,Gujari,1,862
haya1250,Haya,1,1435
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,1,1471
huas1242,Huastec,1,69
huay1240,Huaylas Ancash Quechua,1,4528
hung1278,Hungana-Saamba,2,355
iban1261,Ibani,2,5
ibib1240,Ibibio,1,47
imon1245,Imonda,1,284
indo1316,Indonesian,1,556
ingu1240,Ingush,2,661
iseb1246,Isebe,1,258
ital1282,Italian,2,530
izer1241,Izere,2,1041
jama1262,Jamaican Creole English,2,457
jauj1238,Jauja Wanca Quechua,1,4697
jeme1245,Towa,2,1733
kabi1261,Kabiyé,2,191
kaby1243,Kabyle,1,482
kala1381,Kalabari,2,6
kano1245,Kanoê,1,142
kari1301,Karipúna Creole French,2,66
kens1251,Kenswei Nsei,3,1403
keny1279,Kenyang,1,165
keoo1238,Kéo,1,382
khar1287,Kharia,1,376
kima1246,Kimaama,1,6
kinn1249,Kinnauri,2,4637
kiny1244,Kinyarwanda,3,1611
kiri1254,Kirike,2,22
koko1269,Kokota,2,44
konn1242,Konni,2,174
kuot1243,Kuot,1,564
kute1248,Kutep,2,220
kuvi1243,Kuvi,1,554
kwaz1243,Kwaza,2,176
lake1258,Lake Miwok,1,516
lang1320,Langi,2,1236
laoo1244,Lao,1,153
lavu1241,Lavukaleve,1,37
lazz1240,Laz,1,1469
leal1235,Lealao Chinantec,2,1326
liby1240,Libyan Arabic,2,584
liji1238,Lijili,2,138
lisu1250,Lisu,2,383
luch1239,Luchazi,1,1061
lund1266,Lunda,2,1225
mace1250,Macedonian,2,919
mada1293,Mada (Cameroon),2,491
madi1261,Madi (Papua New Guinea),3,67
maib1239,Maybrat-Karon,1,114
mako1251,Makonde,1,55
mamb1294,Mambai,2,229
mamm1241,Mam,1,1816
mand1415,Mandarin Chinese,1,88
mand1436,Mandinka,1,45
marw1260,Marwari (India),2,364
matb1237,Matbat,1,158
maza1291,Mazanderani,2,1715
medu1238,Medumba,2,1311
mich1243,Michif,2,534
ming1252,Mingrelian,1,109
mmen1238,Mmen,4,925
mono1270,Mono (Democratic Republic of Congo),3,413
mose1249,Mosetén-Chimané,1,385
motl1237,Mwotlap,1,31
mpon1254,Mpongmpong,2,594
mufi1238,Mufian,1,173
muna1247,Muna,1,76
mung1266,Mungaka,2,1374
naki1238,Naki,2,738
nang1259,Nangikurrunggurr,1,113
ndem1249,Ndemli,1,115
ngad1261,Ngad'a,2,1186
ngem1255,Ngemba,2,1220
ngom1271,Ngombale,4,1708
ngos1238,Ngoshie,2,1254
nige1257,Nigerian Pidgin,2,278
nort2626,Northern Frisian,2,0
nort2627,Eastern Low German,2,67
nort2845,North Marquesan,2,333
nort2943,North Alaskan Inupiatun,1,0
nubi1253,Nubi,3,1134
nucl1290,Zhenkang Wa,2,1729
nucl1634,Skou,1,36
nyam1276,Nyamwezi,4,1272
nyan1307,Nyankole,2,1431
nyeu1238,Nyeu,1,136
nyon1241,Nyong,2,1179
obol1243,Obolo,1,22
okuu1243,Oku,2,2019
olut1240,Oluta Popoluca,1,62
osse1243,Ossetian,2,852
pagi1243,Pagibete,3,484
phal1254,Phalura,1,2948
poli1260,Polish,2,126
qima1242,Qimant,1,1205
quec1382,Quechan,1,36
rund1242,Rundi,3,1271
samb1305,Samba Leko,2,912
samo1303,Samo,1,138
sanj1284,San Juan Guelavía Zapotec,1,1612
sata1237,Satawalese,2,0
sayu1241,Sayula Popoluca,2,70
sela1259,Selaru,1,39
sera1259,Saraiki,3,121
serr1255,Serrano,1,731
shab1252,Shabo,1,1683
shon1251,Shona,3,1216
sida1246,Sidamo,1,1781
sind1272,Sindhi,2,20
siss1243,Sissano,3,15
slov1268,Slovenian,2,1195
sout2840,Southern Bobo Madaré,2,321
sout2844,Southern Samo,1,276
sout2856,South Efate,1,236
stan1289,Catalan,1,619
subi1246,Subiya,3,933
swed1254,Swedish,2,27
tagw1240,Tagwana Senoufo,2,311
tami1289,Tamil,1,106
tern1247,Ternate,1,1633
tilq1235,Tilquiapan Zapotec,1,1769
tong1325,Tonga (Tonga Islands),2,16
tote1238,Totela,2,1063
tsuv1239,Tsuvadi,2,257
tuvi1240,Tuvinian,2,613
ukra1253,Ukrainian,2,1349
urii1240,Uri,1,1275
utes1238,Ute-Southern Paiute,1,1842
vaii1241,Vai,2,17
woge1237,Wogeo,2,239
yalu1240,Yalunka,1,490
yape1248,Yapese,2,37
yawa1260,Yawanawa,1,261
yekh1238,Yekhee,2,296
yeyi1239,Yeyi,3,948
yuch1247,Yuchi,2,247
zoog1238,Zoogocho Zapotec,1,2507
0,Cavineña,0,173
1,Chamicuro,0,129
2,Chepang,0,1595
3,Eastern Mari,0,45
4,Chol,0,260
5,Chrau,0,182
6,Barbareño,0,315
7,Coeur d'Alene,0,803
8,Comanche,0,332
9,Nepali Kurux,0,77
10,Usarufa,0,1982
11,Binumarien,0,883
12,Ekpeye,0,15
14,Karadjeri,0,135
15,Golin,0,1743
16,Guajajára,0,308
17,Bininj Kun-Wok,0,72
19,Huichol,0,1170
20,San Mateo del Mar Huave,0,5
21,Luyi,0,1030
22,I'saka,0,542
23,Madi,0,96
24,Kayabí,0,345
25,Kamasau,0,96
26,Chong of Chanthaburi,0,21
27,Kulung (Nepal),0,1775
28,Kusunda,0,2429
29,Leh-Kenhat,0,5176
30,Oroko,0,386
31,Manam,0,1346
32,Manange,0,3673
33,Marra,0,10
34,Moken,0,0
35,Namia,0,63
36,Mescalero-Chiricahua Apache,0,2442
37,Nankina,0,1140
38,Nandi,0,2146
39,Michoacán Nahuatl,0,148
40,Naga Pidgin,0,1361
41,Ngalakgan,0,123
42,Nuu-chah-nulth,0,614
43,Northern Khmer,0,220
44,Northern Paiute,0,1165
45,Nuer,0,409
46,Palauan,0,19
47,Orokaiva,0,201
48,Yil,0,818
49,Ningil,0,418
50,Dobu,0,32
51,Prai,0,677
52,Mal,0,996
53,Rama,0,29
54,Samre of Siem Reap,0,32
55,Sabanê,0,312
57,Sasak,0,297
58,Savara,0,260
59,Secoya,0,211
60,Seediq,0,1174
61,Seimat,0,0
62,Semelai,0,67
63,Siar-Lak,0,556
64,Shawnee,0,313
65,Spokane,0,726
66,Ulwa,0,9
67,Hupdë,0,156
68,Loxicha Zapotec,0,207
69,Yuki,0,681
70,Yurok,0,756
71,Yuracaré,0,209
72,Southern Yukaghir,0,0
73,Wambon,0,79
74,Washo,0,1925
75,Wayana,0,182
76,Huarijio,0,1203
77,Tok Pisin,0,197
78,Baruga,0,63
79,Tatuyo,0,219
80,Pa'o Karen,0,955
81,Toba,0,139
82,Tamambo,0,157
83,Gayo,0,1067
84,South Nuaulu,0,120
85,Hanga Hundi,0,54
86,Tatana,0,13
87,Tibetan,0,5409
88,Tolowa-Chetco,0,81
89,Pilagá,0,119
90,Baniwa do Icana,0,152
91,Karitiâna,0,125
92,Tzotzil,0,997
93,West Coast Bajau,0,12
94,Chimariko,0,1740
95,Huehuetla Tepehua,0,331
96,Dupaninan Agta,0,759
97,Juang,0,282
98,Apurinã,0,138
99,Aklanon,0,140
100,Arhuaco,0,3650
102,Batak Toba,0,948
103,Bondo,0,100
104,Siksika,0,1232
105,Biloxi,0,81
106,Koasati,0,14
107,Comox,0,42
108,Sochiapam Chinantec,0,682
109,Kotiria,0,143
110,Halkomelem,0,94
111,Iloko,0,287
112,Kadiwéu,0,86
113,Awa-Cuaiquer,0,453
114,Loniu,0,75
115,Molale,0,161
116,Matsés,0,151
117,Manipuri,0,312
118,Mocoví,0,64
119,Mundurukú,0,108
120,Nisga'a,0,22
121,Northern Pame,0,1375
122,Panamint,0,1040
123,Northern Pomo,0,360
124,Texistepec Popoluca,0,25
125,Kazym-Berezover-Suryskarer Khanty,0,54
126,Salasaca Highland Quichua,0,2483
127,Seri,0,188
128,Tukang Besi North,0,137
129,Yine,0,355
130,K'iche',0,1366
131,Sipacapense,0,2186
132,Chimborazo Highland Quichua,0,3888
133,Tlachichilco Tepehua,0,323
134,Abau,0,51
135,Akha,0,1109
136,Alyawarr,0,240
137,Anuak,0,432
138,Arandai,0,20
139,Bumbita Arapesh,0,204
140,Tanacross,0,0
141,Au,0,356
142,Tinputz,0,181
143,Petats,0,122
144,Patep,0,1111
145,Kela (Papua New Guinea),0,27
146,Sursurunga,0,813
147,Awara,0,1281
148,Awtuw,0,241
149,Bariai,0,237
150,Ida'an,0,64
151,Bilinarra,0,254
152,Binandere,0,35
153,Bole,0,450
154,Boro (Ethiopia),0,840
155,Bubia,0,166
156,Önge,0,159
157,Northern Gyalrong,0,4592
158,Tirma-Chai,0,1104
159,Bilua,0,176
160,Hoava,0,254
161,Mekens,0,156
162,Tiwi,0,74
163,Torwali,0,4139
164,Thulung,0,2514
165,Tshangla,0,1920
166,Tsafiki,0,440
167,Tz'utujil,0,2101
168,Pwo Northern Karen,0,1113
169,Mewati,0,210
170,Zaiwa,0,1978
171,Jicarilla Apache,0,2401
172,Adamawa Fulfulde,0,370
173,Western Arrarnta,0,621
174,Sanumá,0,121
175,Wari',0,153
176,Crow,0,1014
177,Lyélé,0,275
