,language,lateral,elevation
achi1257,Achinese,1,12
adam1253,Adamawa Fulfulde,1,370
adan1251,Adang,1,316
aheu1239,Thavung,2,150
akha1245,Akha,1,1109
akla1241,Aklanon,1,140
alya1239,Alyawarr,4,240
ambe1247,Ambele,1,429
ambu1247,Ambulas,1,101
anei1239,Aneityum,1,557
anti1245,Antigua and Barbuda Creole English,1,24
anua1242,Anuak,1,432
arag1245,Aragonese,2,657
awac1239,Awa-Cuaiquer,2,453
awar1248,Awara,1,1281
awin1248,Awing,2,1972
awtu1239,Awtuw,1,241
baba1264,Baba,1,1527
baba1266,Babanki,1,1731
bafa1247,Bafaw-Balong,1,98
baga1272,Baga Sitemu,1,3
baga1273,Baga Koga,1,17
bako1249,Bakoko,1,26
bako1250,Bakole,1,31
bamb1265,Bambalang,1,1150
bame1260,Bamenyam,3,1222
bamu1253,Bamun,1,960
bamu1256,Bamunka,1,1171
bang1356,Bangolan,1,1207
baou1238,Baoulé,1,9
barb1263,Barbareño,4,315
bari1286,Bariai,1,237
bata1285,Batanga,1,46
bata1289,Batak Toba,1,948
befa1241,Befang,2,573
beli1260,Belize Kriol English,1,33
bemb1257,Bemba (Zambia),1,1257
berb1259,Berbice Creole Dutch,1,25
bett1235,Betta Kurumba,2,1042
biak1248,Biak,1,187
bili1250,Bilinarra,3,254
bilu1245,Bilua,1,176
blan1242,Blang,2,1229
boik1241,Boikin,2,235
bond1245,Bondo,1,100
bong1285,Bongo,1,504
boro1277,Boro (Ethiopia),1,840
brok1247,Brokskat,1,3231
bubi1249,Bubia,1,166
buku1249,Bukusu,1,1631
bumb1241,Bumbita Arapesh,1,204
cavi1250,Cavineña,1,173
cham1318,Chamicuro,2,129
chec1245,Chechen,1,178
chee1238,Che,1,999
chep1245,Chepang,1,1595
chic1270,Chickasaw,2,266
chim1300,Chimalapa Zoque,1,263
chim1301,Chimariko,1,1740
chim1302,Chimborazo Highland Quichua,1,3888
choc1276,Choctaw,2,137
chol1282,Chol,1,260
chon1284,Chong of Chanthaburi,1,21
chra1242,Chrau,1,182
coeu1236,Coeur d'Alene,3,803
colo1256,Tsafiki,1,440
como1259,Comox,3,42
croa1245,Croatian Standard,2,92
cupe1243,Cupeño,2,1443
cuvo1236,Cuvok,3,718
czec1258,Czech,1,468
deny1238,Denya,1,133
diml1238,Dimli,2,1667
dobu1241,Dobu,1,32
dupa1235,Dupaninan Agta,1,759
dutc1256,Dutch,2,-3
east2295,Eastern Yiddish,2,187
east2328,Eastern Mari,2,45
east2398,Eastern Karaboro,1,264
east2440,East Makian,3,308
egaa1242,Ega,1,109
eggo1239,Eggon,1,161
elip1238,Elip,1,440
esim1238,Esimbi,1,693
faiw1243,Faiwol,1,1233
fang1246,Fang (Equatorial Guinea),1,625
fili1244,Filipino,1,46
friu1240,Friulian,1,194
furu1242,Furu,1,406
fwee1238,Fwe,1,940
gali1258,Galician,1,1107
gayo1244,Gayo,1,1067
gbar1246,Gbari,1,156
gbay1281,Gbaya-Mbodomo,1,697
gida1247,Gidar,1,394
goli1247,Golin,1,1743
guja1253,Gujari,2,862
gunw1252,Bininj Kun-Wok,3,72
halk1245,Halkomelem,2,94
hang1263,Hanga Hundi,1,54
haya1250,Haya,1,1435
hoav1238,Hoava,1,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,2,1471
huas1242,Huastec,1,69
huay1240,Huaylas Ancash Quechua,2,4528
hueh1236,Huehuetla Tepehua,2,331
huic1243,Huichol,1,1170
hung1278,Hungana-Saamba,1,355
iban1261,Ibani,1,5
idaa1241,Ida'an,1,64
ilok1237,Iloko,1,287
imon1245,Imonda,1,284
indo1316,Indonesian,1,556
ingu1240,Ingush,1,661
ital1282,Italian,2,530
izer1241,Izere,1,1041
jama1262,Jamaican Creole English,1,457
jauj1238,Jauja Wanca Quechua,2,4697
jeme1245,Towa,3,1733
jiar1240,Northern Gyalrong,2,4592
jica1244,Jicarilla Apache,2,2401
juan1238,Juang,2,282
kabi1261,Kabiyé,1,191
kadi1248,Kadiwéu,2,86
kala1381,Kalabari,1,6
kara1476,Karadjeri,3,135
kari1301,Karipúna Creole French,1,66
kela1255,Kela (Papua New Guinea),1,27
