,language,long,elevation
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,5,316
aheu1239,Thavung,32,150
alya1239,Alyawarr,3,240
ambu1247,Ambulas,1,101
anti1245,Antigua and Barbuda Creole English,3,24
anua1242,Anuak,10,432
apur1254,Apurinã,10,138
auuu1241,Au,1,356
awin1248,Awing,8,1972
bafa1247,Bafaw-Balong,8,98
bamb1265,Bambalang,8,1150
befa1241,Befang,6,573
beli1260,Belize Kriol English,5,33
bemb1257,Bemba (Zambia),5,1257
bett1235,Betta Kurumba,6,1042
biak1248,Biak,5,187
bili1250,Bilinarra,3,254
binu1245,Binumarien,2,883
bong1285,Bongo,5,504
brok1247,Brokskat,5,3231
bubi1249,Bubia,7,166
buku1249,Bukusu,5,1631
cham1318,Chamicuro,5,129
chec1245,Chechen,8,178
chee1238,Che,8,999
chic1270,Chickasaw,6,266
choc1276,Choctaw,3,137
chon1284,Chong of Chanthaburi,9,21
chra1242,Chrau,8,182
croa1245,Croatian Standard,5,92
crow1244,Crow,5,1014
cupe1243,Cupeño,5,1443
czec1258,Czech,5,468
dutc1256,Dutch,5,-3
east2440,East Makian,14,308
fang1246,Fang (Equatorial Guinea),8,625
fili1244,Filipino,5,46
friu1240,Friulian,7,194
fwee1238,Fwe,3,940
goli1247,Golin,5,1743
guja1253,Gujari,14,862
halk1245,Halkomelem,6,94
haya1250,Haya,5,1435
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,5,1471
huas1242,Huastec,5,69
huay1240,Huaylas Ancash Quechua,5,4528
hueh1236,Huehuetla Tepehua,5,331
huic1243,Huichol,5,1170
hung1278,Hungana-Saamba,5,355
ibib1240,Ibibio,10,47
ingu1240,Ingush,3,661
iseb1246,Isebe,7,258
jama1262,Jamaican Creole English,3,457
jeme1245,Towa,11,1733
jica1244,Jicarilla Apache,8,2401
juan1238,Juang,5,282
kabi1261,Kabiyé,9,191
kadi1248,Kadiwéu,12,86
kara1476,Karadjeri,1,135
kari1311,Karitiâna,4,125
kich1262,K'iche',5,1366
kima1246,Kimaama,9,6
kinn1249,Kinnauri,6,4637
kiny1244,Kinyarwanda,5,1611
koas1236,Koasati,3,14
konn1242,Konni,16,174
kulu1253,Kulung (Nepal),6,1775
kuvi1243,Kuvi,5,554
lake1258,Lake Miwok,5,516
lang1320,Langi,10,1236
luch1239,Luchazi,5,1061
lund1266,Lunda,5,1225
lyel1241,Lyélé,5,275
mall1246,Mal,9,996
mamb1294,Mambai,8,229
mamm1241,Mam,5,1816
mand1436,Mandinka,5,45
mesc1238,Mescalero-Chiricahua Apache,8,2442
moco1246,Mocoví,4,64
moke1242,Moken,4,0
mola1238,Molale,4,161
mose1249,Mosetén-Chimané,2,385
nand1266,Nandi,5,2146
nang1259,Nangikurrunggurr,4,113
ndem1249,Ndemli,9,115
ngom1271,Ngombale,7,1708
nisg1240,Nisga'a,5,22
nort2626,Northern Frisian,6,0
nort2627,Eastern Low German,4,67
nort2684,Northern Khmer,13,220
nort2845,North Marquesan,5,333
nort2954,Northern Paiute,5,1165
nort2966,Northern Pomo,5,360
nucl1695,Bole,5,450
nuer1246,Nuer,14,409
nuuc1236,Nuu-chah-nulth,5,614
nyam1276,Nyamwezi,7,1272
nyeu1238,Nyeu,10,136
nyon1241,Nyong,6,1179
obol1243,Obolo,6,22
olut1240,Oluta Popoluca,6,62
pala1344,Palauan,6,19
pana1305,Panamint,15,1040
pate1247,Patep,7,1111
peta1245,Petats,3,122
phai1238,Prai,9,677
phal1254,Phalura,5,2948
quec1382,Quechan,5,36
rama1270,Rama,4,29
saki1248,Mekens,10,156
samr1245,Samre of Siem Reap,9,32
sanj1284,San Juan Guelavía Zapotec,4,1612
sata1237,Satawalese,18,0
seri1257,Seri,4,188
shab1252,Shabo,5,1683
shaw1249,Shawnee,3,313
sida1246,Sidamo,5,1781
siks1238,Siksika,5,1232
sipa1247,Sipacapense,5,2186
slov1268,Slovenian,8,1195
sout2750,Southern Yukaghir,6,0
sout2840,Southern Bobo Madaré,7,321
swed1254,Swedish,8,27
tagw1240,Tagwana Senoufo,11,311
tami1289,Tamil,5,106
tana1290,Tanacross,4,0
texi1237,Texistepec Popoluca,5,25
tinp1237,Tinputz,6,181
tlac1235,Tlachichilco Tepehua,5,323
toba1269,Toba,3,139
tote1238,Totela,5,1063
tuvi1240,Tuvinian,8,613
tzut1248,Tz'utujil,5,2101
ulwa1239,Ulwa,3,9
urii1240,Uri,2,1275
usar1243,Usarufa,2,1982
utes1238,Ute-Southern Paiute,9,1842
yalu1240,Yalunka,7,490
yape1248,Yapese,8,37
yekh1238,Yekhee,3,296
yeyi1239,Yeyi,5,948
yine1238,Yine,5,355
yuro1248,Yurok,6,756
0,Cavineña,0,173
1,Chepang,0,1595
2,Eastern Mari,0,45
3,Lealao Chinantec,0,1326
4,Chol,0,260
5,Barbareño,0,315
6,Coeur d'Alene,0,803
7,Comanche,0,332
8,Cuvok,0,718
9,Denya,0,133
10,Nepali Kurux,0,77
11,Mufian,0,173
13,Eggon,0,161
14,Ekpeye,0,15
15,Esimbi,0,693
16,Furu,0,406
17,Gbari,0,156
18,Guajajára,0,308
19,Bininj Kun-Wok,0,72
21,San Mateo del Mar Huave,0,5
22,Jauja Wanca Quechua,0,4697
23,Luyi,0,1030
24,Ibani,0,5
25,Imonda,0,284
26,I'saka,0,542
27,Izere,0,1041
28,Madi,0,96
29,Lijili,0,138
30,Kabyle,0,482
31,Gidar,0,394
32,Kayabí,0,345
33,Kamasau,0,96
34,Kanoê,0,142
35,Kenswei Nsei,0,1403
36,Eastern Karaboro,0,264
37,Karipúna Creole French,0,66
38,Kenyang,0,165
39,Kharia,0,376
40,Kirike,0,22
41,Kokota,0,44
42,Bakole,0,31
43,Kuot,0,564
44,Kusunda,0,2429
45,Kwaza,0,176
46,Leh-Kenhat,0,5176
47,Lao,0,153
48,Lavukaleve,0,37
49,Oroko,0,386
50,Macedonian,0,919
51,Mada (Cameroon),0,491
52,Madi (Papua New Guinea),0,67
53,Manam,0,1346
54,Bamenyam,0,1222
55,Manange,0,3673
56,Ngemba,0,1220
57,Marra,0,10
58,Maybrat-Karon,0,114
59,Gbaya-Mbodomo,0,697
60,Medumba,0,1311
61,Mingrelian,0,109
62,Mmen,0,925
63,Mpongmpong,0,594
64,Mungaka,0,1374
66,Mwotlap,0,31
67,Namia,0,63
68,Nankina,0,1140
69,Naki,0,738
70,Michoacán Nahuatl,0,148
71,Naga Pidgin,0,1361
72,Ngoshie,0,1254
73,Ngalakgan,0,123
74,Nubi,0,1134
75,Elip,0,440
77,Faiwol,0,1233
78,Oku,0,2019
79,Ossetian,0,852
80,Orokaiva,0,201
81,Yil,0,818
82,Ningil,0,418
83,Dobu,0,32
84,Samo,0,138
85,Boikin,0,235
86,Matbat,0,158
87,Rundi,0,1271
88,Nyankole,0,1431
89,Marwari (India),0,364
90,Samba Leko,0,912
91,Southern Samo,0,276
92,Sabanê,0,312
94,Sasak,0,297
95,Savara,0,260
96,Sayula Popoluca,0,70
97,Secoya,0,211
98,Seediq,0,1174
99,Seimat,0,0
100,Semelai,0,67
101,Serrano,0,731
102,Yawanawa,0,261
103,Makonde,0,55
104,Shona,0,1216
105,Bamun,0,960
106,Siar-Lak,0,556
107,Saraiki,0,121
108,Skou,0,36
109,South Efate,0,236
110,Spokane,0,726
111,Sissano,0,15
