Glottocode,language,long,elevation
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,5,316
aheu1239,Thavung,32,150
alya1239,Alyawarr,3,240
ambu1247,Ambulas,1,101
anti1245,Antigua and Barbuda Creole English,3,24
anua1242,Anuak,10,432
apur1254,Apurinã,10,138
auuu1241,Au,1,356
awin1248,Awing,8,1972
bafa1247,Bafaw-Balong,8,98
bamb1265,Bambalang,8,1150
befa1241,Befang,6,573
beli1260,Belize Kriol English,5,33
bemb1257,Bemba (Zambia),5,1257
bett1235,Betta Kurumba,6,1042
biak1248,Biak,5,187
bili1250,Bilinarra,3,254
binu1245,Binumarien,2,883
bong1285,Bongo,5,504
brok1247,Brokskat,5,3231
bubi1249,Bubia,7,166
buku1249,Bukusu,5,1631
cham1318,Chamicuro,5,129
chec1245,Chechen,8,178
chee1238,Che,8,999
chic1270,Chickasaw,6,266
choc1276,Choctaw,3,137
chon1284,Chong of Chanthaburi,9,21
chra1242,Chrau,8,182
croa1245,Croatian Standard,5,92
crow1244,Crow,5,1014
cupe1243,Cupeño,5,1443
czec1258,Czech,5,468
dutc1256,Dutch,5,-3
east2440,East Makian,14,308
fang1246,Fang (Equatorial Guinea),8,625
fili1244,Filipino,5,46
friu1240,Friulian,7,194
fwee1238,Fwe,3,940
goli1247,Golin,5,1743
guja1253,Gujari,14,862
halk1245,Halkomelem,6,94
haya1250,Haya,5,1435
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,5,1471
huas1242,Huastec,5,69
huay1240,Huaylas Ancash Quechua,5,4528
hueh1236,Huehuetla Tepehua,5,331
huic1243,Huichol,5,1170
hung1278,Hungana-Saamba,5,355
ibib1240,Ibibio,10,47
ingu1240,Ingush,3,661
iseb1246,Isebe,7,258
jama1262,Jamaican Creole English,3,457
jeme1245,Towa,11,1733
jica1244,Jicarilla Apache,8,2401
juan1238,Juang,5,282
kabi1261,Kabiyé,9,191
kadi1248,Kadiwéu,12,86
kara1476,Karadjeri,1,135
kari1311,Karitiâna,4,125
kich1262,K'iche',5,1366
kima1246,Kimaama,9,6
kinn1249,Kinnauri,6,4637
kiny1244,Kinyarwanda,5,1611
koas1236,Koasati,3,14
konn1242,Konni,16,174
kulu1253,Kulung (Nepal),6,1775
kuvi1243,Kuvi,5,554
lake1258,Lake Miwok,5,516
lang1320,Langi,10,1236
luch1239,Luchazi,5,1061
lund1266,Lunda,5,1225
lyel1241,Lyélé,5,275
mall1246,Mal,9,996
mamb1294,Mambai,8,229
mamm1241,Mam,5,1816
mand1436,Mandinka,5,45
mesc1238,Mescalero-Chiricahua Apache,8,2442
moco1246,Mocoví,4,64
moke1242,Moken,4,0
mola1238,Molale,4,161
mose1249,Mosetén-Chimané,2,385
nand1266,Nandi,5,2146
nang1259,Nangikurrunggurr,4,113
ndem1249,Ndemli,9,115
ngom1271,Ngombale,7,1708
nisg1240,Nisga'a,5,22
nort2626,Northern Frisian,6,0
nort2627,Eastern Low German,4,67
nort2684,Northern Khmer,13,220
nort2845,North Marquesan,5,333
nort2954,Northern Paiute,5,1165
nort2966,Northern Pomo,5,360
nucl1695,Bole,5,450
nuer1246,Nuer,14,409
nuuc1236,Nuu-chah-nulth,5,614
nyam1276,Nyamwezi,7,1272
nyeu1238,Nyeu,10,136
nyon1241,Nyong,6,1179
obol1243,Obolo,6,22
olut1240,Oluta Popoluca,6,62
pala1344,Palauan,6,19
pana1305,Panamint,15,1040
pate1247,Patep,7,1111
peta1245,Petats,3,122
phai1238,Prai,9,677
phal1254,Phalura,5,2948
quec1382,Quechan,5,36
rama1270,Rama,4,29
saki1248,Mekens,10,156
samr1245,Samre of Siem Reap,9,32
sanj1284,San Juan Guelavía Zapotec,4,1612
sata1237,Satawalese,18,0
seri1257,Seri,4,188
shab1252,Shabo,5,1683
shaw1249,Shawnee,3,313
sida1246,Sidamo,5,1781
siks1238,Siksika,5,1232
sipa1247,Sipacapense,5,2186
slov1268,Slovenian,8,1195
sout2750,Southern Yukaghir,6,0
sout2840,Southern Bobo Madaré,7,321
swed1254,Swedish,8,27
tagw1240,Tagwana Senoufo,11,311
tami1289,Tamil,5,106
tana1290,Tanacross,4,0
texi1237,Texistepec Popoluca,5,25
tinp1237,Tinputz,6,181
tlac1235,Tlachichilco Tepehua,5,323
toba1269,Toba,3,139
tote1238,Totela,5,1063
tuvi1240,Tuvinian,8,613
tzut1248,Tz'utujil,5,2101
ulwa1239,Ulwa,3,9
urii1240,Uri,2,1275
usar1243,Usarufa,2,1982
utes1238,Ute-Southern Paiute,9,1842
yalu1240,Yalunka,7,490
yape1248,Yapese,8,37
yekh1238,Yekhee,3,296
yeyi1239,Yeyi,5,948
yine1238,Yine,5,355
yuro1248,Yurok,6,756
