,language,nasal,elevation
abau1245,Abau,2,51
achi1257,Achinese,11,12
adam1253,Adamawa Fulfulde,4,370
adan1251,Adang,4,316
aheu1239,Thavung,8,150
akha1245,Akha,7,1109
akla1241,Aklanon,3,140
alya1239,Alyawarr,6,240
aman1265,Amanab,3,412
ambe1247,Ambele,5,429
ambu1247,Ambulas,4,101
anei1239,Aneityum,5,557
anti1245,Antigua and Barbuda Creole English,3,24
anua1242,Anuak,5,432
apur1254,Apurinã,13,138
arag1245,Aragonese,3,657
aran1237,Arandai,2,20
arhu1242,Arhuaco,2,3650
auuu1241,Au,2,356
awac1239,Awa-Cuaiquer,3,453
awar1248,Awara,4,1281
awin1248,Awing,6,1972
awtu1239,Awtuw,3,241
baba1264,Baba,5,1527
baba1266,Babanki,4,1731
bafa1247,Bafaw-Balong,4,98
baga1272,Baga Sitemu,3,3
baga1273,Baga Koga,4,17
bako1249,Bakoko,4,26
bako1250,Bakole,5,31
bamb1265,Bambalang,5,1150
bame1260,Bamenyam,8,1222
bamu1253,Bamun,5,960
bamu1256,Bamunka,4,1171
bang1356,Bangolan,3,1207
bani1255,Baniwa do Icana,4,152
baou1238,Baoulé,1,9
barb1263,Barbareño,8,315
bari1286,Bariai,3,237
baru1269,Baruga,7,63
bata1285,Batanga,4,46
bata1289,Batak Toba,3,948
befa1241,Befang,6,573
beli1260,Belize Kriol English,5,33
bemb1257,Bemba (Zambia),4,1257
berb1259,Berbice Creole Dutch,2,25
bett1235,Betta Kurumba,4,1042
biak1248,Biak,2,187
bili1250,Bilinarra,5,254
bilo1248,Biloxi,5,81
bilu1245,Bilua,4,176
bina1277,Binandere,11,35
binu1245,Binumarien,2,883
blan1242,Blang,6,1229
boik1241,Boikin,4,235
bond1245,Bondo,5,100
bong1285,Bongo,3,504
boro1277,Boro (Ethiopia),3,840
brok1247,Brokskat,3,3231
bubi1249,Bubia,5,166
buku1249,Bukusu,4,1631
bumb1241,Bumbita Arapesh,3,204
cavi1250,Cavineña,3,173
cham1318,Chamicuro,3,129
chec1245,Chechen,2,178
chee1238,Che,5,999
chep1245,Chepang,3,1595
chic1270,Chickasaw,5,266
chim1300,Chimalapa Zoque,3,263
chim1301,Chimariko,2,1740
chim1302,Chimborazo Highland Quichua,3,3888
choc1276,Choctaw,2,137
chol1282,Chol,2,260
chon1284,Chong of Chanthaburi,4,21
chra1242,Chrau,4,182
coeu1236,Coeur d'Alene,4,803
colo1256,Tsafiki,6,440
coma1245,Comanche,2,332
como1259,Comox,4,42
croa1245,Croatian Standard,3,92
cupe1243,Cupeño,4,1443
cuvo1236,Cuvok,2,718
czec1258,Czech,3,468
deny1238,Denya,4,133
diml1238,Dimli,2,1667
dobu1241,Dobu,3,32
dupa1235,Dupaninan Agta,2,759
dutc1256,Dutch,4,-3
east2295,Eastern Yiddish,4,187
east2328,Eastern Mari,4,45
east2398,Eastern Karaboro,3,264
east2440,East Makian,9,308
egaa1242,Ega,4,109
eggo1239,Eggon,4,161
ekpe1253,Ekpeye,4,15
elip1238,Elip,4,440
esim1238,Esimbi,4,693
faiw1243,Faiwol,2,1233
fang1246,Fang (Equatorial Guinea),4,625
fili1244,Filipino,3,46
friu1240,Friulian,3,194
furu1242,Furu,5,406
fwee1238,Fwe,10,940
gali1258,Galician,4,1107
gayo1244,Gayo,4,1067
gbar1246,Gbari,2,156
gbay1281,Gbaya-Mbodomo,4,697
gida1247,Gidar,3,394
goli1247,Golin,2,1743
guaj1255,Guajajára,4,308
guja1253,Gujari,10,862
gunw1252,Bininj Kun-Wok,5,72
halk1245,Halkomelem,2,94
hang1263,Hanga Hundi,3,54
haya1250,Haya,3,1435
hoav1238,Hoava,3,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,3,1471
huar1255,Huarijio,2,1203
huas1242,Huastec,2,69
huay1240,Huaylas Ancash Quechua,2,4528
hueh1236,Huehuetla Tepehua,2,331
huic1243,Huichol,2,1170
hung1278,Hungana-Saamba,3,355
iban1261,Ibani,4,5
ibib1240,Ibibio,8,47
idaa1241,Ida'an,3,64
ilok1237,Iloko,3,287
imon1245,Imonda,2,284
indo1316,Indonesian,4,556
ingu1240,Ingush,2,661
ital1282,Italian,3,530
izer1241,Izere,4,1041
jama1261,Madi,3,96
jama1262,Jamaican Creole English,3,457
jauj1238,Jauja Wanca Quechua,4,4697
jeme1245,Towa,14,1733
jiar1240,Northern Gyalrong,4,4592
jica1244,Jicarilla Apache,10,2401
juan1238,Juang,5,282
kabi1261,Kabiyé,3,191
kaby1243,Kabyle,2,482
kadi1248,Kadiwéu,4,86
kala1381,Kalabari,11,6
kama1367,Kamasau,4,96
kano1245,Kanoê,10,142
kara1476,Karadjeri,5,135
kari1301,Karipúna Creole French,6,66
kari1311,Karitiâna,9,125
kaya1329,Kayabí,8,345
kela1255,Kela (Papua New Guinea),8,27
kens1251,Kenswei Nsei,6,1403
keny1279,Kenyang,14,165
keoo1238,Kéo,3,382
khan1273,Kazym-Berezover-Suryskarer Khanty,4,54
khar1287,Kharia,5,376
kich1262,K'iche',2,1366
kima1246,Kimaama,4,6
kinn1249,Kinnauri,3,4637
kiny1244,Kinyarwanda,6,1611
kiri1254,Kirike,4,22
koas1236,Koasati,2,14
koko1269,Kokota,6,44
konn1242,Konni,8,174
kulu1253,Kulung (Nepal),3,1775
kuot1243,Kuot,3,564
kusu1250,Kusunda,5,2429
kute1248,Kutep,10,220
kuvi1243,Kuvi,9,554
kwaz1243,Kwaza,11,176
