Glottocode,language,periodicGlottalSource,elevation
abau1245,Abau,10,51
achi1257,Achinese,46,12
adam1253,Adamawa Fulfulde,28,370
adan1251,Adang,32,316
aheu1239,Thavung,95,150
akha1245,Akha,26,1109
akla1241,Aklanon,14,140
alya1239,Alyawarr,20,240
aman1265,Amanab,13,412
ambe1247,Ambele,31,429
ambu1247,Ambulas,20,101
anei1239,Aneityum,16,557
anti1245,Antigua and Barbuda Creole English,28,24
anua1242,Anuak,38,432
apur1254,Apurinã,32,138
arag1245,Aragonese,36,657
aran1237,Arandai,15,20
arhu1242,Arhuaco,25,3650
auuu1241,Au,13,356
awac1239,Awa-Cuaiquer,12,453
awar1248,Awara,18,1281
awin1248,Awing,40,1972
awtu1239,Awtuw,15,241
baba1264,Baba,22,1527
baba1266,Babanki,24,1731
bafa1247,Bafaw-Balong,32,98
baga1272,Baga Sitemu,19,3
baga1273,Baga Koga,19,17
bako1249,Bakoko,26,26
bako1250,Bakole,27,31
bamb1265,Bambalang,36,1150
bame1260,Bamenyam,30,1222
bamu1253,Bamun,27,960
bamu1256,Bamunka,23,1171
bang1356,Bangolan,25,1207
bani1255,Baniwa do Icana,26,152
baou1238,Baoulé,16,9
barb1263,Barbareño,38,315
bari1286,Bariai,13,237
baru1269,Baruga,20,63
bata1285,Batanga,22,46
bata1289,Batak Toba,20,948
befa1241,Befang,41,573
beli1260,Belize Kriol English,27,33
bemb1257,Bemba (Zambia),18,1257
berb1259,Berbice Creole Dutch,17,25
bett1235,Betta Kurumba,30,1042
biak1248,Biak,19,187
bili1250,Bilinarra,19,254
bilo1248,Biloxi,13,81
bilu1245,Bilua,37,176
bina1277,Binandere,32,35
binu1245,Binumarien,10,883
blan1242,Blang,21,1229
boik1241,Boikin,18,235
bond1245,Bondo,21,100
bong1285,Bongo,20,504
boro1277,Boro (Ethiopia),17,840
brok1247,Brokskat,23,3231
bubi1249,Bubia,33,166
buku1249,Bukusu,23,1631
bumb1241,Bumbita Arapesh,15,204
cavi1250,Cavineña,14,173
cham1318,Chamicuro,18,129
chec1245,Chechen,28,178
chee1238,Che,42,999
chep1245,Chepang,17,1595
chic1270,Chickasaw,15,266
chim1300,Chimalapa Zoque,16,263
chim1301,Chimariko,15,1740
chim1302,Chimborazo Highland Quichua,19,3888
choc1276,Choctaw,12,137
chol1282,Chol,12,260
chon1284,Chong of Chanthaburi,29,21
chra1242,Chrau,27,182
coeu1236,Coeur d'Alene,19,803
colo1256,Tsafiki,17,440
coma1245,Comanche,10,332
como1259,Comox,23,42
croa1245,Croatian Standard,26,92
crow1244,Crow,12,1014
cupe1243,Cupeño,23,1443
cuvo1236,Cuvok,21,718
czec1258,Czech,28,468
deny1238,Denya,21,133
diml1238,Dimli,31,1667
dobu1241,Dobu,16,32
dupa1235,Dupaninan Agta,14,759
dutc1256,Dutch,31,-3
east2295,Eastern Yiddish,32,187
east2328,Eastern Mari,21,45
east2398,Eastern Karaboro,18,264
east2440,East Makian,39,308
egaa1242,Ega,28,109
eggo1239,Eggon,26,161
ekpe1253,Ekpeye,25,15
elip1238,Elip,19,440
esim1238,Esimbi,29,693
faiw1243,Faiwol,16,1233
fang1246,Fang (Equatorial Guinea),34,625
fili1244,Filipino,20,46
friu1240,Friulian,30,194
furu1242,Furu,33,406
fwee1238,Fwe,42,940
gali1258,Galician,20,1107
gayo1244,Gayo,20,1067
gbar1246,Gbari,21,156
gbay1281,Gbaya-Mbodomo,28,697
gida1247,Gidar,27,394
goli1247,Golin,19,1743
guaj1255,Guajajára,14,308
guan1269,Kotiria,12,143
guja1253,Gujari,35,862
gunw1252,Bininj Kun-Wok,23,72
halk1245,Halkomelem,19,94
hang1263,Hanga Hundi,19,54
haya1250,Haya,21,1435
hoav1238,Hoava,16,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,22,1471
huar1255,Huarijio,19,1203
huas1242,Huastec,19,69
huay1240,Huaylas Ancash Quechua,20,4528
hueh1236,Huehuetla Tepehua,22,331
huic1243,Huichol,17,1170
hung1278,Hungana-Saamba,22,355
hupd1244,Hupdë,22,156
iban1261,Ibani,27,5
ibib1240,Ibibio,25,47
