,language,retractedTongueRoot,elevation
coeu1236,Coeur d'Alene,2,803
diml1238,Dimli,2,1667
egaa1242,Ega,4,109
ingu1240,Ingush,1,661
kabi1261,Kabiyé,13,191
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Chamicuro,0,129
4,Chechen,0,178
5,Chepang,0,1595
6,Eastern Mari,0,45
7,Lealao Chinantec,0,1326
8,Chol,0,260
9,Chrau,0,182
10,Barbareño,0,315
11,Comanche,0,332
12,Cupeño,0,1443
13,Cuvok,0,718
14,Denya,0,133
15,Nepali Kurux,0,77
16,Mufian,0,173
17,Usarufa,0,1982
19,Binumarien,0,883
20,Eggon,0,161
21,Ekpeye,0,15
23,Esimbi,0,693
24,Fang (Equatorial Guinea),0,625
25,Furu,0,406
26,Karadjeri,0,135
27,Gbari,0,156
28,Golin,0,1743
29,Guajajára,0,308
30,Bininj Kun-Wok,0,72
31,Haya,0,1435
33,Huichol,0,1170
34,Huaylas Ancash Quechua,0,4528
35,San Mateo del Mar Huave,0,5
36,Jauja Wanca Quechua,0,4697
37,Luyi,0,1030
38,Ibani,0,5
39,Imonda,0,284
40,I'saka,0,542
41,Yalunka,0,490
42,Izere,0,1041
43,Madi,0,96
44,Towa,0,1733
45,Lijili,0,138
46,Kabyle,0,482
47,Gidar,0,394
48,Kayabí,0,345
49,Kamasau,0,96
50,Kanoê,0,142
51,Kenswei Nsei,0,1403
52,Eastern Karaboro,0,264
53,Karipúna Creole French,0,66
54,Kenyang,0,165
55,Kharia,0,376
56,Chong of Chanthaburi,0,21
57,Kinyarwanda,0,1611
58,Kirike,0,22
59,Kokota,0,44
60,Bakole,0,31
61,Konni,0,174
63,Kulung (Nepal),0,1775
64,Kuot,0,564
65,Kusunda,0,2429
66,Kuvi,0,554
67,Kwaza,0,176
68,Leh-Kenhat,0,5176
69,Langi,0,1236
70,Lao,0,153
71,Lavukaleve,0,37
72,Bafaw-Balong,0,98
73,Lunda,0,1225
74,Luchazi,0,1061
75,Oroko,0,386
76,Macedonian,0,919
77,Mada (Cameroon),0,491
78,Madi (Papua New Guinea),0,67
79,Manam,0,1346
80,Bamenyam,0,1222
81,Manange,0,3673
82,Ngemba,0,1220
83,Marra,0,10
84,Maybrat-Karon,0,114
85,Gbaya-Mbodomo,0,697
86,Medumba,0,1311
87,Mingrelian,0,109
88,Mmen,0,925
89,Moken,0,0
90,Mosetén-Chimané,0,385
